0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43232 16226	4	 * 	302.82	DCR|4VULN|2DMG|2ASPD|3LIT|1DUR	13aLIT|256aVULN|45ASPD|5aBPWR|7RCR|8DUR|9aDMG
2	14535 11232	5	   	302.27	DCR|4VULN|2DMG|2CDMG|1DUR|1ASPD	18CDMG|2DUR|38DMG|4AART|5678VULN|8BPWR|9RCR|aASPD
3	14535 13232	5	 * 	294.21	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	18CDMG|27DUR|38DMG|4AART|568VULN|8BPWR|9RCR|aASPD
4	14535 11231	5	   	291.26	DCR|4VULN|2DMG|2CDMG|1DUR	18CDMG|2DUR|38DMG|4AART|5678VULN|8BPWR|9RCR|aDMSP
5	14535 11233	5	   	291.26	DCR|4VULN|2DMG|2CDMG|1DUR	18CDMG|2DUR|38DMG|4AART|5678VULN|8BPWR|9RCR|aLWND
6	14535 31232	6	   	287.40	DCR|3VULN|2DMG|2CDMG|2AART|1DUR|1ASPD	18CDMG|2DUR|38DMG|46AART|578VULN|8BPWR|9RCR|aASPD
7	11534 12413	9	 * 	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	18CDMG|2LHND|38DMG|457DUR|689VULN|8BPWR|aRCR
8	21152 12424	3	 * 	286.77	DCR|3VULN|3DMG|2DUR|2AART	19CGEN|24DUR|349DMG|49BPWR|589VULN|6aAART|7RCR
9	13535 11232	5	   	286.02	DCR|4VULN|2DMG|2CDMG|1ASPD	18CDMG|2BEXP|38DMG|4AART|5678VULN|8BPWR|9RCR|aASPD
10	13535 51232	6	   	286.02	DCR|4VULN|2DMG|2CDMG|1ASPD	18CDMG|2BEXP|38DMG|4AART|5678VULN|8BPWR|9RCR|aASPD
11	14335 11232	5	 * 	284.35	DCR|4VULN|3ASPD|2CDMG|1DUR	18CDMG|2DUR|38aASPD|4AART|5678VULN|8BPWR|9RCR
12	14535 13231	5	   	283.21	DCR|3VULN|2DMG|2DUR|2CDMG	18CDMG|27DUR|38DMG|4AART|568VULN|8BPWR|9RCR|aDMSP
13	14535 13233	5	   	283.21	DCR|3VULN|2DMG|2DUR|2CDMG	18CDMG|27DUR|38DMG|4AART|568VULN|8BPWR|9RCR|aLWND
14	45131 21521	9	 * 	281.42	DCR|4VULN|3DUR|3LIT	17aLIT|2LWND|37aDUR|479aVULN|5MBVNT|6AART|7aBPWR|8RCR
15	43134 36121	6	   	281.32	DCR|4VULN|3DUR|3LIT	179LIT|2479VULN|367DUR|5AART|79BPWR|8BBNT|aRCR
16	12313 34331	9	 * 	281.15	DCR|4VULN|2DMG|3CDMG	14aCDMG|2BELT|348aVULN|4aBPWR|5AART|6RCR|7RCVC|9aDMG
17	12315 12636	5	   	280.17	DCR|4VULN|1DMG|2CDMG|1TLV|1DUR	14CDMG|2BELT|346aVULN|4BPWR|5DUR|7DMG|8RCR|9TLV
18	12315 32636	6	   	280.17	DCR|4VULN|1DMG|2CDMG|1TLV|1DUR	14CDMG|2BELT|346aVULN|4BPWR|5DUR|7DMG|8RCR|9TLV
19	14535 21232	6	   	279.63	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18CDMG|2DUR|38DMG|4AART|578VULN|6RCVC|8BPWR|9RCR|aASPD
20	21152 12421	3	   	279.00	DCR|3VULN|3DMG|2DUR	19CGEN|24DUR|349DMG|49BPWR|589VULN|6AART|7RCR|aFEWX
21	21152 12423	3	   	279.00	DCR|3VULN|3DMG|2DUR	19CGEN|24DUR|349DMG|49BPWR|589VULN|6AART|7RCR|aLWND
22	21152 12426	3	   	279.00	DCR|3VULN|3DMG|2DUR	19CGEN|24DUR|349DMG|49BPWR|589VULN|6AART|7RCR|aRPLT
23	21152 12422	3	   	278.90	DCR|3VULN|3DMG|2DUR	19CGEN|24DUR|349DMG|49BPWR|589VULN|6AART|7RCR|aDUST
