0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26844 13713	10	 * 	278.80	DCR|3VULN|3DMG|2DUR|1AART	1AART|2MBVNT|389DMG|478VULN|5RCVC|68DUR|8BPWR|aRCR
2	26844 14724	10	 * 	276.37	DCR|3VULN|3DUR|2DMG|1AART	1AART|2MBVNT|38DMG|489VULN|5RCVC|678DUR|8BPWR|aRCR
3	26844 13722	10	   	274.15	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	1AART|2MBVNT|38DMG|478VULN|5RCVC|68DUR|8BPWR|9RCR|aASPD
4	24211 11615	10	 * 	271.95	DCR|2VULN|3DMG|2DUR|2TLV|1AART	1AART|2RMIN|38TLV|46DUR|589DMG|78VULN|8BPWR|aRCR
5	26844 13734	10	   	271.45	DCR|3VULN|2DMG|2DUR|1AART	1AART|2MBVNT|38DMG|478VULN|5RCVC|68DUR|8BPWR|9LIT|aRCR
6	24146 21122	9	   	271.45	DCR|3VULN|2DMG|2DUR|1AART	1AART|2RMIN|37aVULN|4MBVNT|5LIT|6RCR|8aDMG|9aDUR|aBPWR
7	26846 21222	9	   	271.45	DCR|3VULN|2DMG|2DUR|1AART	1AART|2MBVNT|3aDMG|47aVULN|5LIT|6RCR|8ZMB|9aDUR|aBPWR
8	26335 21326	10	   	271.42	DCR|3VULN|2DUR|1DMG|2LIT|1ASPD|1AART	1AART|2MBVNT|37aVULN|4aLIT|5DMG|6RCR|8ASPD|9aDUR|aBPWR
9	22215 21326	10	   	271.42	DCR|3VULN|2DUR|1DMG|2LIT|1ASPD|1AART	1AART|2aLIT|3MBVNT|47aVULN|5DMG|6RCR|8ASPD|9aDUR|aBPWR
10	26335 21126	10	   	271.35	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1AART|2MBVNT|37aVULN|4LIT|5aDMG|6RCR|8NUKE|9aDUR|aBPWR
11	26321 21583	3	   	270.92	DCR|3VULN|2DMG|2DUR|2AART	16AART|2MBVNT|349VULN|49BPWR|5LHND|79DMG|89DUR|aRCR
12	26351 12183	8	   	270.82	DCR|3VULN|2DMG|2DUR|2AART	15AART|2MBVNT|379VULN|4DUST|69DUR|89DMG|9BPWR|aRCR
13	26361 11132	4	 * 	269.81	DCR|4VULN|2DMG|2LIT|1AART	1AART|2MBVNT|3689VULN|4BELT|58DMG|78LIT|8BPWR|aRCR
14	26363 61132	6	   	269.81	DCR|4VULN|2DMG|2LIT|1AART	1AART|2MBVNT|3589VULN|4BELT|68DMG|78LIT|8BPWR|aRCR
15	26841 11132	5	   	269.81	DCR|4VULN|2DMG|2LIT|1AART	1AART|2MBVNT|38DMG|4689VULN|5BELT|78LIT|8BPWR|aRCR
16	26847 11132	4	   	269.81	DCR|4VULN|2DMG|2LIT|1AART	1AART|2MBVNT|38DMG|4689VULN|5BELT|78LIT|8BPWR|aRCR
17	22215 21734	10	   	269.71	DCR|4VULN|2DMG|2LIT|1AART	1AART|29LIT|3MBVNT|479aVULN|59DMG|6RCR|8LEGI|9BPWR
18	26335 21734	10	   	269.71	DCR|4VULN|2DMG|2LIT|1AART	1AART|2MBVNT|379aVULN|49LIT|59DMG|6RCR|8LEGI|9BPWR
19	24211 11536	10	 * 	269.53	DCR|2VULN|3DUR|2DMG|2TLV|1AART	1AART|2RMIN|3aTLV|468DUR|5aDMG|7aVULN|9RCR|aBPWR
20	22215 21386	8	 * 	268.38	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	1AART|29LIT|3MBVNT|47aVULN|59DMG|6RCR|89ASPD|9BPWR
21	26335 21384	8	   	268.38	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	1AART|2MBVNT|379VULN|4aLIT|59DMG|6RCR|89ASPD|9BPWR
22	23161 13423	1	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|23DMG|3BPWR|4CGEN|5TLV|6RCR|79aVULN|8DUR
23	22288 21422	8	   	263.42	DCR|3VULN|2DMG|1DUR|2LIT|1AART	1AART|2aLIT|3MBVNT|4RMIN|5DUR|6RCR|78aVULN|9aDMG|aBPWR
24	22215 21733	9	   	263.32	DCR|3VULN|2DMG|1DUR|2LIT|1AART	1AART|29LIT|3MBVNT|479VULN|59DMG|6RCR|8LEGI|9BPWR|aDUR
25	22215 26513	9	   	263.32	DCR|3VULN|2DMG|1DUR|2LIT|1AART	1AART|28LIT|3MBVNT|48aVULN|58DMG|6RCR|7DLOT|8BPWR|9DUR
