0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36326 24322	5	 * 	294.33	DCR|5VULN|3ASPD|1DMG|1DUR	1DUR|2RCVC|356ASPD|45689VULN|56BPWR|7DMG|aRCR
2	33335 21213	1	 * 	281.42	DCR|4VULN|3DUR|1DMG|1AART	159DUR|2358VULN|4RCVC|5BPWR|6RCR|7AART|aDMG
3	33335 25513	1	   	281.42	DCR|4VULN|3DUR|1DMG|1AART	159DUR|2357VULN|4RCVC|5BPWR|6RCR|8AART|aDMG
4	33345 21213	1	   	281.42	DCR|4VULN|3DUR|1DMG|1AART	159DUR|2358VULN|4DMSP|5BPWR|6RCR|7AART|aDMG
5	53135 21213	1	   	281.42	DCR|4VULN|3DUR|1DMG|1AART	1258VULN|359DUR|4RCVC|5BPWR|6RCR|7AART|aDMG
6	53145 21213	1	   	281.42	DCR|4VULN|3DUR|1DMG|1AART	1258VULN|359DUR|4DMSP|5BPWR|6RCR|7AART|aDMG
7	33335 23246	1	   	280.41	DCR|4VULN|3DUR|2LIT|1CDMG	15aDUR|235aVULN|4RCVC|5aBPWR|6RCR|7CDMG|8FEWX|9aLIT
8	33335 23513	1	 * 	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|235VULN|4RCVC|5BPWR|6RCR|7CDMG|8aDMG
9	33345 23513	1	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|235VULN|4DMSP|5BPWR|6RCR|7CDMG|8aDMG
10	53135 23513	1	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	125VULN|359DUR|4RCVC|5BPWR|6RCR|7CDMG|8aDMG
11	33335 21226	1	   	279.20	DCR|4VULN|2DUR|1DMG|1ASPD|1AART	15DUR|2358VULN|4RCVC|5BPWR|6RCR|7AART|9ASPD|aDMG
12	33345 21226	1	   	279.20	DCR|4VULN|2DUR|1DMG|1ASPD|1AART	15DUR|2358VULN|4DMSP|5BPWR|6RCR|7AART|9ASPD|aDMG
13	53135 21226	1	   	279.20	DCR|4VULN|2DUR|1DMG|1ASPD|1AART	1258VULN|35DUR|4RCVC|5BPWR|6RCR|7AART|9ASPD|aDMG
14	32241 42352	7	 * 	278.90	DCR|3VULN|3DMG|2DUR|1AART	1aDUR|23BEXP|49aDMG|57aVULN|6AART|8RCR|aBPWR
15	33133 42516	1	   	278.08	DCR|4VULN|2DUR|2LIT|1CDMG|1ASPD	1aDUR|249aVULN|3CDMG|5ASPD|6RCR|7aLIT|8BELT|aBPWR
16	36225 32433	6	 * 	277.98	DCR|5VULN|2DUR|2TLV	18DUR|2RCVC|38TLV|4568aVULN|7BBNT|8BPWR|9RCR
17	36212 41315	9	 * 	277.49	DCR|3VULN|3DUR|3TLV|1DMG	18aDUR|2RCVC|38aTLV|4LIT|5MBVNT|6DMG|78aVULN|8aBPWR|9RCR
18	32241 42362	7	   	276.47	DCR|3VULN|3DUR|2DMG|1AART	19aDUR|23BEXP|4aDMG|57aVULN|6AART|8RCR|aBPWR
19	36325 21411	5	 * 	274.74	DCR|4VULN|2DUR|2ASPD|2LIT	18DUR|2RCVC|36ASPD|4568VULN|68BPWR|78LIT|9RCR|aLWND
20	36325 21412	5	   	274.74	DCR|4VULN|2DUR|2ASPD|2LIT	18DUR|2aRCVC|36ASPD|4568VULN|68BPWR|78LIT|9RCR
21	33335 26312	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	15DUR|235aVULN|4RCVC|5BPWR|6RCR|7ERES|8DMG|9TLV
22	33345 26312	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	15DUR|235aVULN|4DMSP|5BPWR|6RCR|7ERES|8DMG|9TLV
23	53135 26312	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	125aVULN|35DUR|4RCVC|5BPWR|6RCR|7ERES|8DMG|9TLV
24	36325 21413	5	   	274.64	DCR|4VULN|2DUR|2ASPD|2LIT	18DUR|2RCVC|36ASPD|4568VULN|68BPWR|78LIT|9RCR|aTBNT
25	33335 25112	1	   	274.26	DCR|5VULN|2DUR|1TLV	15DUR|2357aVULN|4RCVC|5BPWR|6RCR|8LWND|9TLV
26	33335 25163	1	   	274.26	DCR|5VULN|2DUR|1TLV	15DUR|23579VULN|4RCVC|5BPWR|6RCR|8LWND|aTLV
27	33345 25112	1	   	274.26	DCR|5VULN|2DUR|1TLV	15DUR|2357aVULN|4DMSP|5BPWR|6RCR|8LWND|9TLV
28	36326 25322	5	   	274.26	DCR|5VULN|3ASPD|1DUR	1DUR|2RCVC|356ASPD|45689VULN|56BPWR|7ZMB|aRCR
29	53135 25112	1	   	274.26	DCR|5VULN|2DUR|1TLV	1257aVULN|35DUR|4RCVC|5BPWR|6RCR|8LWND|9TLV
30	33335 25312	1	   	274.16	DCR|5VULN|2DUR|1TLV	15DUR|2357aVULN|4RCVC|5BPWR|6RCR|8DUST|9TLV
31	33335 25633	1	   	274.16	DCR|5VULN|2DUR|1TLV	15DUR|23578VULN|4RCVC|5BPWR|6RCR|9LEGI|aTLV
32	33345 25312	1	   	274.16	DCR|5VULN|2DUR|1TLV	15DUR|2357aVULN|4DMSP|5BPWR|6RCR|8DUST|9TLV
33	36326 23322	5	   	274.16	DCR|5VULN|3ASPD|1DUR|1NUKE	1DUR|2RCVC|356ASPD|45689VULN|56BPWR|7NUKE|aRCR
34	53135 25312	1	   	274.16	DCR|5VULN|2DUR|1TLV	1257aVULN|35DUR|4RCVC|5BPWR|6RCR|8DUST|9TLV
35	33335 23346	1	   	273.86	DCR|4VULN|3DUR|1CDMG	15aDUR|235aVULN|4RCVC|5aBPWR|6RCR|7CDMG|8LIT|9aBEXP
36	33335 23321	1	   	273.66	DCR|4VULN|3DUR|1CDMG	15aDUR|2359VULN|4RCVC|5BPWR|6RCR|7CDMG|8LIT
37	33335 24121	1	   	273.66	DCR|4VULN|3DUR|1CDMG	15aDUR|2359VULN|4RCVC|5BPWR|6RCR|7LIT|8CDMG
38	33345 23321	1	   	273.66	DCR|4VULN|3DUR|1CDMG	15aDUR|2359VULN|4DMSP|5BPWR|6RCR|7CDMG|8LIT
39	33345 24121	1	   	273.66	DCR|4VULN|3DUR|1CDMG	15aDUR|2359VULN|4DMSP|5BPWR|6RCR|7LIT|8CDMG
40	53135 23321	1	   	273.66	DCR|4VULN|3DUR|1CDMG	1259VULN|35aDUR|4RCVC|5BPWR|6RCR|7CDMG|8LIT
41	53135 24121	1	   	273.66	DCR|4VULN|3DUR|1CDMG	1259VULN|35aDUR|4RCVC|5BPWR|6RCR|7LIT|8CDMG
42	53145 23321	1	   	273.66	DCR|4VULN|3DUR|1CDMG	1259VULN|35aDUR|4DMSP|5BPWR|6RCR|7CDMG|8LIT
43	33335 21212	1	   	272.36	DCR|4VULN|3DUR|1ASPD|1AART	159DUR|2358VULN|4RCVC|5BPWR|6RCR|7AART|aASPD
44	33335 25512	1	   	272.36	DCR|4VULN|3DUR|1ASPD|1AART	159DUR|2357VULN|4RCVC|5BPWR|6RCR|8AART|aASPD
45	33345 21212	1	   	272.36	DCR|4VULN|3DUR|1ASPD|1AART	159DUR|2358VULN|4DMSP|5BPWR|6RCR|7AART|aASPD
46	53135 21212	1	   	272.36	DCR|4VULN|3DUR|1ASPD|1AART	1258VULN|359DUR|4RCVC|5BPWR|6RCR|7AART|aASPD
47	53145 21212	1	   	272.36	DCR|4VULN|3DUR|1ASPD|1AART	1258VULN|359DUR|4DMSP|5BPWR|6RCR|7AART|aASPD
48	52133 42216	2	 * 	272.23	DCR|3VULN|2DMG|2ASPD|2CDMG	14aVULN|2BEXP|3aCDMG|59ASPD|6RCR|7LIT|8aDMG|aBPWR
49	33335 23426	1	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	15DUR|235aVULN|4RCVC|5BPWR|6RCR|7CDMG|8MLV|9DMG
50	33335 23535	1	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	15DUR|235aVULN|4RCVC|5BPWR|6RCR|7CDMG|8DMG|9LHND
51	63251 21342	8	 * 	272.01	DCR|3VULN|2DUR|3LIT|1DMG|1TLV	128LIT|3TLV|48DUR|5DMG|6DUST|789VULN|8BPWR|aRCR
52	36225 32431	6	 * 	271.66	DCR|4VULN|3DUR|2TLV	18aDUR|2RCVC|38TLV|4568VULN|7BBNT|8BPWR|9RCR
53	33512 33323	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|268VULN|3TLV|4RPLT|5BEXP|78DMG|8BPWR|9ERES|aRCR
54	33515 13323	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|258VULN|3TLV|4RPLT|6LHND|78DMG|8BPWR|9ERES|aRCR
55	33515 23323	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|258VULN|3TLV|4RPLT|6BEXP|78DMG|8BPWR|9ERES|aRCR
56	33516 33323	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|268VULN|3TLV|4RPLT|5FEWX|78DMG|8BPWR|9ERES|aRCR
57	33521 33323	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|268VULN|3TLV|4FEWX|5RPLT|78DMG|8BPWR|9ERES|aRCR
58	52241 62212	10	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|23BEXP|48DMG|5TLV|6DUST|78DUR|8BPWR|aRCR
59	33541 33323	1	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|268VULN|3TLV|4DUST|5RPLT|78DMG|8BPWR|9ERES|aRCR
60	32621 42342	7	 * 	269.55	DCR|3VULN|3DUR|3ASPD|1AART	14aDUR|2BEXP|39aASPD|57aVULN|6AART|8RCR|aBPWR
61	33621 42342	7	   	269.45	DCR|3VULN|3DUR|3ASPD|1AART	14aDUR|2DUST|39aASPD|57aVULN|6AART|8RCR|aBPWR
62	33335 25362	1	   	268.92	DCR|5VULN|2DUR|1ASPD	15DUR|2357aVULN|4RCVC|5BPWR|6RCR|8DUST|9ASPD
63	33133 43323	1	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DUR|2489VULN|3CDMG|5ASPD|6RCR|7RPLT|aDMG
64	33133 43343	1	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DUR|248aVULN|3CDMG|5ASPD|6RCR|7RPLT|9DMG
65	36212 31315	9	   	268.43	DCR|3VULN|3DUR|3TLV|1ASPD	18aDUR|2RCVC|38aTLV|4LIT|5MBVNT|6ASPD|78aVULN|8aBPWR|9RCR
66	33335 21245	1	   	268.20	DCR|4VULN|2DUR|1DMG|1AART	15DUR|2358VULN|4RCVC|5BPWR|6RCR|7AART|9FEWX|aDMG
67	33335 25135	1	   	268.20	DCR|4VULN|2DUR|1DMG|1AART	15DUR|2357VULN|4RCVC|5BPWR|6RCR|8LWND|9AART|aDMG
68	33335 21235	1	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	15DUR|2358VULN|4RCVC|5BPWR|6RCR|7AART|9DUST|aDMG
69	33335 21265	1	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	15DUR|2358VULN|4RCVC|5BPWR|6RCR|7AART|9LEGI|aDMG
70	33335 21346	1	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	15DUR|2359VULN|4RCVC|5BPWR|6RCR|7AART|8ERES|aDMG
71	33335 25335	1	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	15DUR|2357VULN|4RCVC|5BPWR|6RCR|8DUST|9AART|aDMG
72	33345 21235	1	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	15DUR|2358VULN|4DMSP|5BPWR|6RCR|7AART|9DUST|aDMG
73	53135 21235	1	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	1258VULN|35DUR|4RCVC|5BPWR|6RCR|7AART|9DUST|aDMG
