0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26222 42523	9	 * 	275.00	DCR|4VULN|2ASPD|1TLV|1DUR|1CDMG	1CDMG|24ASPD|346aVULN|4BPWR|5TLV|7LHND|8DUR|9RCR
2	26222 52741	6	 * 	274.77	DCR|4VULN|3CDMG|2ASPD|3TLV|1SELL	18aCDMG|24ASPD|348aVULN|48aBPWR|58aTLV|6SELL|7MBVNT|9RCR
3	56322 11121	3	 * 	271.81	DCR|2VULN|3DMG|2DUR|2TLV|1AART|1SELL	1SELL|2BELT|35aDMG|45DUR|5aBPWR|6RCR|7aVULN|8aTLV|9AART
4	13621 31365	6	 * 	271.10	DCR|4VULN|2DMG|1TLV|1AART	1MLV|2AART|3479VULN|56DMG|8TLV|aRCR
5	21322 26356	7	 * 	269.96	DCR|4VULN|3CDMG|3TLV|1DUR	178CDMG|2478VULN|34ERES|478BPWR|5MLV|678TLV|9DUR|aRCR
6	26333 21723	7	 * 	269.44	DCR|4VULN|2DUR|2CDMG|1ASPD	1aCDMG|2ASPD|3aDUR|4MBVNT|578aVULN|6RCR|9RPLT|aBPWR
7	63242 12213	9	 * 	269.44	DCR|3VULN|3DMG|2DUR	19aLHND|2ZMB|39aVULN|45DUR|6RCR|7BEXP|89aDMG|9aBPWR
8	26131 26241	7	 * 	269.02	DCR|2VULN|3DMG|2ASPD|2CDMG|1TLV	19CDMG|24ASPD|349DMG|49BPWR|5MLV|6TLV|7RCR|89VULN|aBEXP
9	26131 26242	7	   	268.92	DCR|2VULN|3DMG|2ASPD|2CDMG|1TLV	19CDMG|24ASPD|349DMG|49BPWR|5MLV|6TLV|7RCR|89VULN|aDUST
10	26131 26243	7	   	268.78	DCR|2VULN|3DMG|2ASPD|2CDMG|1TLV|1SELL	19CDMG|24ASPD|349DMG|49BPWR|5MLV|6TLV|7RCR|89VULN|aSELL
11	26333 21783	7	   	268.41	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|2ASPD|3DUR|4MBVNT|5789VULN|6RCR|aDMG
12	26221 23122	4	 * 	268.35	DCR|5VULN|2ASPD|2CDMG	18CDMG|24ASPD|3457aVULN|4BPWR|6RMIN|9RCR
13	26221 43122	6	   	268.35	DCR|5VULN|2ASPD|2CDMG	18CDMG|24ASPD|3467aVULN|4BPWR|5RMIN|9RCR
14	26222 14513	9	 * 	268.27	DCR|4VULN|3ASPD|1TLV|1CDMG	1CDMG|249ASPD|347aVULN|4BPWR|5TLV|6BEXP|8RCR
15	21212 43345	3	   	268.20	DCR|4VULN|2DUR|2CDMG|1AART	17CDMG|247aVULN|3BELT|57DUR|6RPLT|7BPWR|8RCR|9AART
16	13622 14313	4	   	268.05	DCR|5VULN|1TLV|2LIT|1AART	18MLV|2AART|3458aVULN|68LIT|7RCR|8BPWR|9TLV
17	21611 43116	10	 * 	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1aCDMG|28aVULN|3RCVC|4AART|59aDMG|6RCR|7BELT|aBPWR
18	22211 43116	10	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1aCDMG|2RCVC|38aVULN|4AART|59aDMG|6RCR|7BELT|aBPWR
19	26133 44213	9	 * 	267.03	DCR|3VULN|2DMG|3ASPD|1CDMG	1CDMG|249ASPD|34DMG|4BPWR|5BEXP|67aVULN|8RCR
20	66242 11133	8	 * 	266.81	DCR|3VULN|3DUR|2DMG	17aLHND|2aDMG|38aVULN|459DUR|6RCR|aBPWR
21	66242 13133	8	   	266.81	DCR|3VULN|3DUR|2DMG	1aLHND|2aDMG|38aVULN|459DUR|6RCR|7DMSP|aBPWR
22	26336 33813	9	 * 	266.27	DCR|3VULN|3DUR|3CDMG|1ASPD	19aCDMG|2ASPD|39aDUR|4MBVNT|5RPLT|69aVULN|7RCVC|8RCR|9aBPWR
23	26143 34213	10	   	265.70	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG	1CDMG|269ASPD|3DMG|4LHND|567VULN|6BPWR|8RCR|aDUR
24	26163 34213	10	   	265.70	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG	1CDMG|269ASPD|3DMG|4LWND|567VULN|6BPWR|8RCR|aDUR
25	26222 43134	6	   	264.96	DCR|4VULN|2ASPD|2CDMG|1TLV	18CDMG|24ASPD|3467VULN|4BPWR|5TLV|9TBNT|aRCR
26	13622 14312	4	   	264.76	DCR|4VULN|1TLV|1DUR|2LIT|1AART	18MLV|2AART|3458VULN|68LIT|7RCR|8BPWR|9TLV|aDUR
27	26135 43222	5	 * 	263.82	DCR|3VULN|2DMG|2ASPD|2CDMG	19CDMG|24ASPD|34DMG|4BPWR|5RCVC|67aVULN|8RCR
28	21212 43363	3	   	263.15	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	17CDMG|247VULN|3BELT|57DUR|6RPLT|7BPWR|8RCR|9ASPD|aTLV
29	21515 35123	9	   	262.93	DCR|4VULN|2DUR|1CDMG|1ASPD	1CDMG|256aVULN|3LEGI|46DUR|6BPWR|7ERES|8ASPD|9RCR
30	26222 43334	6	 * 	262.37	DCR|4VULN|2ASPD|2TLV|1CDMG	1CDMG|24ASPD|3467VULN|4BPWR|59TLV|8BBNT|aRCR
31	21214 35363	1	 * 	262.27	DCR|3VULN|3CDMG|1DMG|1DUR|2LIT	158CDMG|28aVULN|3DUR|4RPLT|6DMG|78LIT|8BPWR|9RCR
32	21214 35363	2	   	262.27	DCR|3VULN|3CDMG|1DMG|1DUR|2LIT	158CDMG|28aVULN|3DUR|4RPLT|6DMG|78LIT|8BPWR|9RCR
33	21236 25621	8	   	261.94	DCR|3VULN|2TLV|2CDMG|1DUR|1ASPD|1AART	1aCDMG|27aVULN|3BELT|4ASPD|5DUR|6aTLV|8RCR|9AART|aBPWR
34	21212 43346	3	   	261.81	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	17CDMG|247VULN|3BELT|57DUR|6RPLT|7BPWR|8RCR|9AART|aTLV
