0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12415 15133	4	 * 	266.26	DCR|4VULN|3DMG|1AART	1DUST|257DMG|358aVULN|4AART|5BPWR|6ASPD|9RCR
2	21314 31315	3	 * 	264.05	DCR|3VULN|2DMG|3LIT|2ASPD|1DUR	178LIT|23ASPD|457VULN|67DMG|7BPWR|9RCR|aDUR
3	21354 31315	1	   	261.31	DCR|3VULN|2DMG|3LIT|1DUR|1CDMG|1SELL	178LIT|2CDMG|357VULN|4SELL|67DMG|7BPWR|9RCR|aDUR
4	21314 31641	3	   	258.94	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	17LIT|23ASPD|457VULN|67DMG|7BPWR|8DUST|9RCR|aDUR
5	26223 45222	1	 * 	258.48	DCR|2VULN|3DMG|1TLV|3LIT|1AART	189LIT|2AART|3TLV|4RPLT|58VULN|6RCR|78aDMG|8BPWR
6	61336 22631	10	 * 	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ZMB|2CDMG|3TLV|47aVULN|5DUR|6DMG|8RCR|9LIT
7	31336 22623	7	 * 	258.18	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1CGEN|2CDMG|39TLV|478VULN|5DUR|6DMG|aRCR
8	31336 56223	8	   	258.18	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1CGEN|2CDMG|39TLV|467VULN|5DUR|8DMG|aRCR
9	41112 45313	4	   	257.25	DCR|4VULN|2DMG|2LIT|1AART	1RMIN|2aDMG|3MBVNT|4AART|579aVULN|6aLIT|8RCR|aBPWR
10	41133 15313	3	   	257.25	DCR|4VULN|2DMG|2LIT|1AART	1RMIN|2aDMG|3MBVNT|479aVULN|5aLIT|6AART|8RCR|aBPWR
11	31336 22254	8	 * 	256.42	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1CGEN|28CDMG|3TLV|47aVULN|5DUR|6DMG|9RCR
12	36132 52423	1	 * 	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|26DMG|3BELT|479VULN|5DUR|8RCR|aTLV
13	21336 31526	1	 * 	252.65	DCR|3VULN|2DMG|3CDMG|2LIT	1aLIT|25aCDMG|349VULN|6FEWX|7aDMG|8RCR|aBPWR
14	12415 32622	4	   	252.56	DCR|2VULN|2DMG|1TLV|2ASPD|1CDMG|1AART	1DUST|25DMG|35VULN|4AART|5BPWR|6TLV|7CDMG|89ASPD|aRCR
15	42232 36412	1	 * 	252.28	DCR|3VULN|3DUR|2TLV	1RMIN|2BBNT|369DUR|49aVULN|59TLV|7RCR|8TBNT|9BPWR
