0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12416 21413	4	 * 	276.50	DCR|4VULN|2DMG|1DUR|2LIT	18LIT|24BEXP|3489VULN|48BPWR|5TBNT|68DMG|7RCR|aDUR
2	32623 63226	8	 * 	276.47	DCR|3VULN|3DUR|2DMG|1AART	139DUR|2AART|39BPWR|49aVULN|5CGEN|6RCR|7FEWX|89DMG
3	11325 52612	8	   	273.91	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	17LIT|2DMSP|3LEGI|467VULN|567DUR|67BPWR|8TLV|9RCR|aCDMG
4	12413 52521	7	   	273.90	DCR|4VULN|2DMG|2LIT|1CDMG	19LIT|24BEXP|349aVULN|49BPWR|5DUST|6CDMG|79DMG|8RCR
5	15325 62321	7	 * 	271.99	DCR|4VULN|2DUR|3LIT|1CDMG	127LIT|27BPWR|3LEGI|467aVULN|57DUR|8RCR|9CDMG
6	12414 25122	9	 * 	271.86	DCR|4VULN|3DUR|3LIT	189LIT|24BEXP|3489VULN|489BPWR|5RPLT|6LEGI|789DUR|aRCR
7	21624 21221	8	   	271.29	DCR|3VULN|2DMG|2AART|1DUR|2LIT	1RPLT|28LIT|34AART|568VULN|78DMG|8BPWR|9DUR|aRCR
8	11325 52613	8	   	271.27	DCR|3VULN|3DUR|1TLV|2LIT|1ASPD	17LIT|2DMSP|3LEGI|467VULN|567DUR|67BPWR|8TLV|9RCR|aASPD
9	36413 11241	4	 * 	270.71	DCR|3VULN|2DUR|2TLV|1DMG|2LIT	16DUR|24LIT|348VULN|46BPWR|56TLV|7DUST|9DMG|aRCR
10	43485 44141	10	 * 	269.28	DCR|3VULN|3DMG|2ASPD|1AART	1aMLV|2MBVNT|36aVULN|4AART|567DMG|6aBPWR|8aASPD|9RCR
11	43545 44141	10	   	269.28	DCR|3VULN|3DMG|2ASPD|1AART	1aMLV|2MBVNT|3AART|46aVULN|567DMG|6aBPWR|8aASPD|9RCR
12	36412 41223	5	 * 	267.95	DCR|5VULN|1DUR|2LIT|1AART	1DUR|24LIT|3478aVULN|4BPWR|5CGEN|6RCR|9AART
13	11525 62331	7	   	267.10	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	17LIT|2DMSP|3LHND|467VULN|57DUR|7BPWR|8DMG|9TLV|aRCR
14	11325 62141	7	   	267.00	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	17LIT|2DMSP|3LEGI|467VULN|57DUR|7BPWR|8TLV|9DMG|aRCR
15	11325 62331	7	   	267.00	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	17LIT|2DMSP|3LEGI|467VULN|57DUR|7BPWR|8DMG|9TLV|aRCR
16	31331 33753	3	   	266.51	DCR|3VULN|3DUR|2DMG	13aDUR|23ERES|3aBPWR|4aDMG|5BBNT|6RCR|7MBVNT|89aVULN
17	31336 33753	3	   	266.51	DCR|3VULN|3DUR|2DMG	13aDUR|23ERES|3aBPWR|4aDMG|5TBNT|6RCR|7MBVNT|89aVULN
18	15325 62311	7	   	265.60	DCR|3VULN|2DUR|3LIT|1TLV|1CDMG	127LIT|27BPWR|3LEGI|467VULN|57DUR|8RCR|9TLV|aCDMG
19	15325 62312	7	   	265.17	DCR|3VULN|3DUR|3LIT|1TLV	127LIT|27BPWR|3LEGI|467VULN|57aDUR|8RCR|9TLV
20	12416 21421	4	   	264.86	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD	18LIT|24BEXP|348VULN|48BPWR|5TBNT|68DMG|7RCR|9ASPD|aTLV
21	12416 21422	4	   	264.86	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	18LIT|24BEXP|348VULN|48BPWR|5TBNT|68DMG|7RCR|9ASPD|aDUR
22	36413 22261	4	   	263.42	DCR|3VULN|1DMG|1TLV|1DUR|2LIT|1ASPD	1DUR|24LIT|348VULN|4BPWR|5TLV|6ASPD|7DMG|9RMIN|aRCR
23	36413 23241	4	   	263.42	DCR|3VULN|1DMG|1TLV|1DUR|2LIT|1ASPD	1DUR|24LIT|348VULN|4BPWR|5TLV|6ASPD|7MLV|9DMG|aRCR
24	36413 22231	4	   	263.32	DCR|3VULN|1DMG|1TLV|1DUR|2LIT|1ASPD	1DUR|24LIT|348VULN|4BPWR|5TLV|6ASPD|7DMG|9ERES|aRCR
25	32623 63223	8	   	263.21	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	139DUR|2AART|39BPWR|49VULN|5CGEN|6RCR|7FEWX|89DMG|aCDMG
26	32623 66223	8	   	263.21	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	139DUR|2AART|39BPWR|49VULN|5CGEN|6RCR|7BEXP|89DMG|aCDMG
27	36412 41323	5	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	18DUR|24LIT|347aVULN|4BPWR|5CGEN|6RCR|9AART
28	52215 14122	7	 * 	262.46	ACR|5VULN|3DUR|1CDMG|1AART	18LHND|2AART|3RCR|4678aVULN|568DUR|68BPWR|9CDMG
29	52215 16122	6	   	262.46	ACR|5VULN|3DUR|1CDMG|1AART	18LHND|2AART|3RCR|4678aVULN|568DUR|68BPWR|9CDMG
30	43434 14181	10	   	261.44	DCR|4VULN|2DMG|1DUR	1MLV|2MBVNT|367aVULN|46DMG|5BELT|6BPWR|8DUR|9RCR
31	43434 14418	9	   	261.44	DCR|4VULN|2DMG|1TLV	1MLV|2MBVNT|367aVULN|46DMG|5BELT|6BPWR|8TLV|9RCR
32	32625 12212	9	   	261.26	DCR|4VULN|3DUR|1AART	135DUR|2AART|3BPWR|478aVULN|6RPLT|9RCR
33	32625 12213	10	   	261.26	DCR|4VULN|3DUR|1AART	135DUR|2AART|3aBPWR|478aVULN|6RPLT|9RCR
34	32625 16212	9	   	261.26	DCR|4VULN|3DUR|1AART	135DUR|2AART|37BPWR|478aVULN|6RPLT|9RCR
35	32625 16213	10	   	261.26	DCR|4VULN|3DUR|1AART	135DUR|2AART|37aBPWR|478aVULN|6RPLT|9RCR
36	42125 11116	10	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1MLV|2AART|3TLV|47aVULN|5DUR|6CDMG|8DMG|9RCR
37	11325 52215	7	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	17LIT|2DMSP|3LEGI|467VULN|567DUR|67BPWR|8CGEN|9RCR|aTLV
38	11325 52611	8	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	17LIT|2DMSP|3LEGI|467VULN|567DUR|67BPWR|8TLV|9RCR|aFEWX
39	12416 21411	4	   	260.25	DCR|4VULN|2DMG|2LIT	18LIT|24BEXP|3489VULN|48BPWR|5TBNT|68DMG|7RCR|aLWND
40	12416 21412	4	   	260.25	DCR|4VULN|2DMG|2LIT	18LIT|24BEXP|3489VULN|48BPWR|5TBNT|68DMG|7RCR|aZMB
41	11325 52632	10	   	260.16	DCR|3VULN|3DUR|1TLV|2LIT	17LIT|2DMSP|3LEGI|467VULN|567DUR|67BPWR|8TLV|9MBVNT|aRCR
42	36411 22315	4	   	260.10	DCR|4VULN|3LIT|1TLV|1DUR	1DUR|245LIT|345aVULN|45BPWR|6BEXP|7RCVC|8RCR|9TLV
