0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22133 43524	8	 * 	311.63	DCR|3VULN|3DMG|3DUR|1ASPD	19aDMG|2ASPD|39aDUR|4AART|5LIT|6CGEN|7RCR|89aVULN|9aBPWR
2	25343 32262	4	 * 	304.96	DCR|4VULN|3DMG|3DUR|1SELL	179DMG|2MBVNT|3FEWX|479DUR|579aVULN|6RCR|79BPWR|8SELL
3	25643 32262	4	 * 	304.96	DCR|4VULN|3DMG|3DUR|1SELL	179DMG|2MBVNT|3BEXP|479DUR|579aVULN|6RCR|79BPWR|8SELL
4	25343 32335	4	   	298.71	DCR|3VULN|3DMG|3DUR|1TLV	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8TBNT|aTLV
5	42113 21243	4	 * 	296.83	DCR|2VULN|3DMG|3DUR|2ASPD|2CDMG	1aASPD|246DMG|345DUR|4aBPWR|7RCR|8aVULN|9aCDMG
6	42143 21243	3	   	296.83	DCR|2VULN|3DMG|3DUR|2ASPD|2CDMG	1aASPD|246DMG|345DUR|4aBPWR|7RCR|8aVULN|9aCDMG
7	25343 32463	4	 * 	295.54	DCR|3VULN|3DMG|2DUR|3CDMG	179DMG|2MBVNT|39aFEWX|47DUR|57aVULN|6RCR|79aBPWR|89aCDMG
8	25157 32333	2	   	292.13	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479VULN|579DUR|6RCR|79BPWR|8TBNT|aAART
9	25357 32333	3	   	292.13	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479VULN|579DUR|6RCR|79BPWR|8TBNT|aAART
10	25343 32333	4	   	292.12	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8TBNT|aAART
11	25343 32833	4	 * 	291.78	DCR|4VULN|3DMG|2DUR	179DMG|2MBVNT|3FEWX|47DUR|578aVULN|6RCR|7BPWR
12	52252 14221	1	   	290.84	DCR|4VULN|3DMG|1DUR|1CDMG	1FEWX|2467VULN|346DMG|46BPWR|5LEGI|8CDMG|9RCR|aDUR
13	24153 15111	4	 * 	289.39	DCR|5VULN|2DMG|1DUR	16DMG|2CGEN|3DUR|4569aVULN|6BPWR|7RCR|8LIT
14	25343 32468	4	   	289.30	DCR|3VULN|3DMG|2DUR|2CDMG	179DMG|2MBVNT|39FEWX|47DUR|57aVULN|6RCR|79BPWR|89CDMG
15	22133 34144	9	   	287.55	DCR|2VULN|3DMG|2DUR|1TLV|1ASPD	16aDMG|2ASPD|3aDUR|4AART|5LIT|7TLV|8aVULN|9RCR|aBPWR
16	21116 64311	5	   	286.22	DCR|3VULN|3DUR|2DMG|1ASPD	19DMG|24MLV|349DUR|49BPWR|5LIT|6RCR|7ASPD|89aVULN
17	21136 64311	5	   	286.12	DCR|3VULN|3DUR|2DMG|1ASPD	19DMG|2MLV|349DUR|5LIT|6RCR|7ASPD|89aVULN|9BPWR
18	12412 42648	4	   	284.69	DCR|5VULN|2DMG|3LIT	129LIT|35689VULN|4MBVNT|79DMG|9BPWR|aRCR
19	32255 13221	1	   	284.55	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	1LHND|246VULN|346DMG|46BPWR|5RMIN|7TLV|8CDMG|9RCR|aDUR
20	52255 13221	1	   	284.55	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	1FEWX|246VULN|346DMG|46BPWR|5RMIN|7TLV|8CDMG|9RCR|aDUR
21	25343 32871	4	   	284.43	DCR|4VULN|2DMG|2DUR	17DMG|2MBVNT|3FEWX|47DUR|578aVULN|6RCR|7BPWR|9LIT
22	52252 14222	1	   	284.26	DCR|4VULN|3DMG|1CDMG	1FEWX|2467VULN|346DMG|46BPWR|5LEGI|8CDMG|9RCR|aAART
23	22133 43521	8	   	282.55	DCR|3VULN|2DMG|2DUR|1ASPD	19DMG|2ASPD|39DUR|4AART|5LIT|6CGEN|7RCR|89aVULN|9BPWR
24	25157 32332	2	   	282.46	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479VULN|579DUR|6RCR|79BPWR|8TBNT|aLWND
25	25157 32334	2	   	282.46	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479VULN|579DUR|6RCR|79BPWR|8TBNT|aRMIN
26	25357 32332	3	   	282.46	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479VULN|579DUR|6RCR|79BPWR|8TBNT|aLWND
27	25357 32334	3	   	282.46	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479VULN|579DUR|6RCR|79BPWR|8TBNT|aRMIN
28	25343 32332	4	   	282.46	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8TBNT|aLWND
29	25343 32334	4	   	282.46	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8TBNT|aRMIN
30	25343 32338	4	   	282.46	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8TBNT|aRPLT
31	25157 32331	2	   	282.36	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479VULN|579DUR|6RCR|79BPWR|8TBNT|aDUST
32	25357 32331	3	   	282.36	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479VULN|579DUR|6RCR|79BPWR|8TBNT|aDUST
33	25343 32331	4	   	282.36	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8TBNT|aDUST
34	25343 32337	4	   	282.36	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8TBNT|aBBNT
35	25643 32833	4	   	282.36	DCR|3VULN|3DMG|3DUR	179DMG|2MBVNT|3BEXP|47aDUR|578VULN|6RCR|7BPWR
36	25343 32261	4	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8SELL|aRPLT
37	25343 32263	4	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8SELL|aRCVC
38	25343 32264	4	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8SELL|aLWND
39	25343 32268	4	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	179DMG|2MBVNT|3aFEWX|479DUR|579VULN|6RCR|79BPWR|8SELL
40	25643 32261	4	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	179DMG|2MBVNT|3BEXP|479DUR|579VULN|6RCR|79BPWR|8SELL|aRPLT
41	25643 32263	4	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	179DMG|2MBVNT|3BEXP|479DUR|579VULN|6RCR|79BPWR|8SELL|aRCVC
42	25643 32264	4	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	179DMG|2MBVNT|3BEXP|479DUR|579VULN|6RCR|79BPWR|8SELL|aLWND
43	25343 32267	4	   	282.22	DCR|3VULN|3DMG|3DUR|1SELL	179DMG|2MBVNT|3FEWX|479DUR|579VULN|6RCR|79BPWR|8SELL|aERES
