0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22226 32551	8	 * 	292.56	DCR|3VULN|3DMG|3TLV|2DUR|1NUKE	17aTLV|2aDUR|367DMG|47aVULN|5RCVC|7aBPWR|8NUKE|9RCR
2	26133 61163	2	 * 	292.44	DCR|4VULN|3DMG|2TLV|1AART	18TLV|2AART|3BELT|478DMG|5689VULN|8BPWR|aRCR
3	23154 42415	9	   	291.58	DCR|4VULN|2DMG|2TLV|1DUR	17TLV|27DMG|3567VULN|4MBVNT|7BPWR|8DUR|9LIT|aRCR
4	64621 33232	8	 * 	290.55	DCR|4VULN|3DUR|2DMG|1CDMG	1348VULN|238DUR|38BPWR|5CDMG|6ERES|78DMG|9RCR|aLWND
5	64621 33233	8	   	290.45	DCR|4VULN|3DUR|2DMG|1CDMG	1348VULN|238DUR|38BPWR|5CDMG|6ERES|78DMG|9RCR|aDUST
6	64621 33231	8	   	290.30	DCR|4VULN|3DUR|2DMG|1CDMG|1SELL	1348VULN|238DUR|38BPWR|5CDMG|6ERES|78DMG|9RCR|aSELL
7	22223 17374	10	 * 	290.03	DCR|3VULN|3DUR|2DMG|2TLV	1aTLV|278DUR|3aDMG|46aVULN|5MBVNT|9RCR|aBPWR
8	22223 61374	10	   	290.03	DCR|3VULN|3DUR|2DMG|2TLV	1aTLV|268DUR|3aDMG|47aVULN|5MBVNT|9RCR|aBPWR
9	22254 17374	10	   	290.03	DCR|3VULN|3DUR|2DMG|2TLV	1aTLV|278DUR|3aDMG|4MBVNT|56aVULN|9RCR|aBPWR
10	22254 61374	10	   	290.03	DCR|3VULN|3DUR|2DMG|2TLV	1aTLV|268DUR|3aDMG|4MBVNT|57aVULN|9RCR|aBPWR
11	22257 41374	10	   	290.03	DCR|3VULN|3DUR|2DMG|2TLV	1aTLV|258DUR|3aDMG|4MBVNT|67aVULN|9RCR|aBPWR
12	63633 61111	5	 * 	289.16	DCR|2VULN|3DMG|3DUR|1TLV|2ASPD	17VULN|25ASPD|347DUR|67aDMG|7BPWR|8TLV|9RCR
13	63612 24211	7	 * 	288.20	DCR|5VULN|2DUR|3ASPD|3LIT	1689aVULN|289ASPD|3aDUR|4aZMB|589LIT|7RCR|89aBPWR
14	23154 42286	10	 * 	285.36	DCR|5VULN|2DMG|2TLV	17TLV|27DMG|35679VULN|4MBVNT|7BPWR|8BEXP|aRCR
15	23154 42386	10	   	285.26	DCR|5VULN|2DMG|2TLV	17TLV|27DMG|35679VULN|4MBVNT|7BPWR|8DUST|aRCR
16	64612 21312	8	   	285.20	DCR|4VULN|3DUR|2DMG|1NUKE	1369VULN|239DUR|39BPWR|4LWND|5LIT|79DMG|8NUKE|aRCR
17	23154 42414	7	   	283.27	DCR|4VULN|2DMG|2TLV|1DUR	17TLV|27DMG|3567VULN|4MBVNT|7BPWR|8RCVC|9RCR|aDUR
18	23154 42488	8	   	283.03	DCR|4VULN|2DMG|2TLV|1DUR|1SELL	17TLV|27DMG|3567VULN|4MBVNT|7BPWR|8DUR|9SELL|aRCR
19	22353 62623	3	   	282.63	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG|1AART	19TLV|29DUR|3RPLT|4DMG|5CDMG|69aVULN|7RCR|8AART|9BPWR
20	23154 42413	7	   	280.67	DCR|4VULN|2DMG|2TLV|1CDMG	17TLV|27DMG|3567VULN|4MBVNT|7BPWR|8RCVC|9RCR|aCDMG
21	35633 41111	6	   	280.61	DCR|3VULN|3DUR|1TLV|1DMG|2ASPD	1RMIN|267VULN|347DUR|57ASPD|7BPWR|8TLV|9RCR|aDMG
22	22222 24311	10	 * 	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|28DUR|3DMG|469aVULN|5LIT|7RCR
23	23632 64122	8	   	277.63	DCR|2VULN|3DMG|2TLV|2DUR|1AART	19TLV|249DMG|34MLV|49BPWR|56VULN|7AART|89DUR|aRCR
24	23632 64322	7	   	277.63	DCR|2VULN|3DMG|2TLV|2DUR|1AART	19TLV|249DMG|34MLV|49BPWR|56VULN|7AART|89DUR|aRCR
25	23136 64122	8	   	277.53	DCR|2VULN|3DMG|2TLV|2DUR|1AART	19TLV|249DMG|36VULN|5MLV|7AART|89DUR|9BPWR|aRCR
26	23136 64322	7	   	277.53	DCR|2VULN|3DMG|2TLV|2DUR|1AART	19TLV|249DMG|36VULN|5MLV|7AART|89DUR|9BPWR|aRCR
