0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61233 21453	3	 * 	288.39	DCR|4VULN|3DUR|2TLV|2LIT	157DUR|28LIT|37TLV|457aVULN|57BPWR|6BBNT|9RCR
2	66261 13133	9	 * 	286.64	DCR|3VULN|3DMG|2DUR|2CDMG	18DUR|24CDMG|348VULN|48BPWR|5CGEN|6ASPD|789DMG|aRCR
3	55313 21431	4	 * 	285.31	DCR|4VULN|3DUR|1TLV|3LIT	1579VULN|2TLV|378LIT|457DUR|57BPWR|6BBNT|aRCR
4	61234 21153	3	   	281.74	DCR|4VULN|3DUR|2TLV	178DUR|2LIT|37TLV|457aVULN|6BBNT|7BPWR|9RCR
5	53113 36613	10	 * 	280.39	DCR|4VULN|2DUR|1TLV|2CDMG	1459VULN|2DUST|39CDMG|6LIT|7TLV|89DUR|9BPWR|aRCR
6	56411 13133	9	   	280.23	DCR|3VULN|3DMG|2DUR|1CDMG	148VULN|2CDMG|38DUR|5CGEN|6ASPD|789DMG|8BPWR|aRCR
7	66211 13133	9	   	280.23	DCR|3VULN|3DMG|2DUR|1CDMG	18DUR|2CDMG|348VULN|5CGEN|6ASPD|789DMG|8BPWR|aRCR
8	51155 13211	3	 * 	279.66	DCR|5VULN|1TLV|3LIT|1DMG	13456VULN|246LIT|46BPWR|7TLV|8FEWX|9DMG|aRCR
9	66111 16323	4	 * 	279.64	DCR|3VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	17DUR|2CDMG|3MBVNT|467VULN|57LIT|7BPWR|8TLV|9RCR|aDMG
10	66114 16323	5	   	279.64	DCR|3VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	17DUR|2CDMG|3MBVNT|467VULN|57LIT|7BPWR|8TLV|9RCR|aDMG
11	51252 36323	6	 * 	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	157VULN|2LIT|37CDMG|4MBVNT|67DUR|7BPWR|8TLV|9RCR|aDMG
12	51252 46323	5	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	157VULN|2LIT|37CDMG|4MBVNT|67DUR|7BPWR|8TLV|9RCR|aDMG
13	51252 46323	4	   	279.41	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	157VULN|2LIT|37CDMG|4MBVNT|67DUR|7BPWR|8TLV|9RCR|aDMG
14	56223 22163	7	   	279.09	DCR|5VULN|1TLV|1DUR|1CDMG|1AART	13569VULN|2CDMG|4AART|7RCR|8TLV|aDUR
15	23326 65332	1	   	275.01	DCR|4VULN|3DUR|1TLV|1AART	1DMSP|2568VULN|3AART|456DUR|56BPWR|7TLV|9BBNT|aRCR
16	36213 36613	10	   	273.98	DCR|4VULN|2DUR|1TLV|1CDMG	19DUST|2CDMG|3459VULN|6LIT|7TLV|89DUR|9BPWR|aRCR
17	51222 24232	2	 * 	273.80	DCR|4VULN|2DMG|1TLV|2LIT	148aVULN|28LIT|3BBNT|58DMG|6RPLT|7RCR|8BPWR|9TLV
18	65133 32261	3	   	273.43	DCR|4VULN|3DUR|2TLV	136DUR|25TLV|4589VULN|5BPWR|7RCVC|aRCR
19	66111 16324	4	   	272.81	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	17aDUR|2CDMG|3MBVNT|467VULN|57LIT|7BPWR|8TLV|9RCR
20	66114 16324	5	   	272.81	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	17aDUR|2CDMG|3MBVNT|467VULN|57LIT|7BPWR|8TLV|9RCR
21	51252 36324	6	 * 	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	157VULN|2LIT|37CDMG|4MBVNT|67aDUR|7BPWR|8TLV|9RCR
22	51252 46324	5	   	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	157VULN|2LIT|37CDMG|4MBVNT|67aDUR|7BPWR|8TLV|9RCR
23	51252 46324	4	   	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	157VULN|2LIT|37CDMG|4MBVNT|67aDUR|7BPWR|8TLV|9RCR
24	61233 21441	3	 * 	272.34	DCR|3VULN|3DUR|2TLV|3LIT	157DUR|289LIT|37TLV|457VULN|57BPWR|6BBNT|aRCR
25	65323 21531	2	   	272.34	DCR|3VULN|3DUR|2TLV|3LIT	157DUR|28TLV|379VULN|457LIT|57BPWR|6BBNT|aRCR
26	51135 11432	3	 * 	272.23	DCR|5VULN|2TLV|2LIT|1AART	13456VULN|26LIT|6BPWR|7RCR|8aTLV|9AART
27	53113 61353	5	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1459VULN|2DUST|39CDMG|6BELT|7RCR|89DUR|9BPWR|aTLV
28	56173 22141	9	 * 	272.09	DCR|4VULN|2DUR|3CDMG|1DMG	1458VULN|248CDMG|3MBVNT|48BPWR|6RMIN|78DUR|9RCR|aDMG
29	55123 21211	3	 * 	271.10	DCR|3VULN|2DUR|1TLV|3LIT|1DMG	157VULN|2TLV|37DUR|457LIT|57BPWR|6BBNT|8FEWX|9DMG|aRCR
30	55123 21611	3	   	271.10	DCR|3VULN|2DUR|1TLV|3LIT|1DMG	157VULN|2TLV|37DUR|457LIT|57BPWR|6BBNT|8LWND|9DMG|aRCR
31	56112 32383	7	   	269.33	DCR|5VULN|1TLV|1DUR|1CDMG	1489aVULN|2CDMG|3MBVNT|5DUR|6RCR|7TLV
32	56163 14433	4	 * 	269.18	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	16aVULN|2CDMG|3MBVNT|4aTLV|5AART|7RCR|8aDMG|9TBNT|aBPWR
33	21534 31244	5	 * 	268.35	DCR|4VULN|3DMG|3LIT	1DMSP|2DLOT|379aVULN|49aDMG|59aLIT|6MBVNT|8RCR|9aBPWR
34	51135 13531	3	   	268.14	DCR|5VULN|1TLV|2LIT|1CDMG	13456VULN|26LIT|6BPWR|7CDMG|8TLV|9RCR|aCGEN
35	51135 13532	3	   	268.14	DCR|5VULN|1TLV|2LIT|1CDMG	13456VULN|26LIT|6BPWR|7CDMG|8TLV|9RCR|aRCVC
36	51135 13533	3	   	268.04	DCR|5VULN|1TLV|2LIT|1CDMG	13456VULN|26LIT|6BPWR|7CDMG|8TLV|9RCR|aTBNT
37	23326 61513	1	   	267.61	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1DMSP|256VULN|3AART|456DUR|56BPWR|7TBNT|8CDMG|9RCR|aTLV
38	56223 22125	8	 * 	267.47	DCR|5VULN|2DUR|1CDMG|1AART	13569VULN|2CDMG|4AART|7RCR|8aDUR
39	56223 22162	8	   	267.47	DCR|5VULN|2DUR|1CDMG|1AART	1356aVULN|2CDMG|4AART|7RCR|89DUR
40	61233 21452	3	   	267.33	DCR|3VULN|3DUR|2TLV|2LIT	157DUR|28LIT|37TLV|457VULN|57BPWR|6BBNT|9RCR|aRCVC
41	55322 31153	3	   	267.23	DCR|3VULN|3DUR|2TLV|2LIT	17aVULN|24TLV|37LIT|5TBNT|678DUR|7BPWR|9RCR
42	61232 21453	3	   	267.23	DCR|3VULN|3DUR|2TLV|2LIT	157DUR|28LIT|37TLV|47aVULN|6BBNT|7BPWR|9RCR
43	61233 21451	3	   	267.09	DCR|3VULN|3DUR|2TLV|2LIT|1SELL	157DUR|28LIT|37TLV|457VULN|57BPWR|6BBNT|9RCR|aSELL
44	51165 31244	5	 * 	266.73	DCR|5VULN|3ASPD|3LIT|1AART	1379aVULN|29aLIT|4AART|59aASPD|6MBVNT|8RCR|9aBPWR
45	51252 43251	10	   	266.40	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	15aVULN|2aLIT|3CDMG|4MBVNT|6RPLT|7TLV|8aDMG|9RCR|aBPWR
46	65124 31132	8	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	138DUR|28TLV|4LHND|5CDMG|678VULN|8BPWR|9RCR|aCGEN
47	65151 31132	8	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	138DUR|28TLV|4CDMG|5LWND|678VULN|8BPWR|9RCR|aCGEN
48	55163 31232	4	 * 	266.03	DCR|3VULN|3DUR|3TLV|1CDMG	168VULN|245TLV|345DUR|45BPWR|7CDMG|9RCR|aRPLT
49	55163 31233	4	   	266.03	DCR|3VULN|3DUR|3TLV|1CDMG	168VULN|245TLV|345DUR|45BPWR|7CDMG|9RCR|aRCVC
50	65133 51232	2	   	266.03	DCR|3VULN|3DUR|3TLV|1CDMG	136DUR|235TLV|35BPWR|458VULN|7CDMG|9RCR|aRPLT
51	65133 51233	2	   	266.03	DCR|3VULN|3DUR|3TLV|1CDMG	136DUR|235TLV|35BPWR|458VULN|7CDMG|9RCR|aRCVC
52	65233 51232	3	   	266.03	DCR|3VULN|3DUR|3TLV|1CDMG	136DUR|235TLV|35BPWR|458VULN|7CDMG|9RCR|aRPLT
53	65233 51233	3	   	266.03	DCR|3VULN|3DUR|3TLV|1CDMG	136DUR|235TLV|35BPWR|458VULN|7CDMG|9RCR|aRCVC
