0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43322 17814	1	 * 	276.40	DCR|4VULN|2DMG|1DUR|2LIT	1BELT|27DMG|3DUR|47LIT|579aVULN|6MBVNT|7BPWR|8RCR
2	33512 22265	5	 * 	273.84	DCR|3VULN|3DUR|1DMG|2LIT|1AART	18BEXP|2AART|346VULN|568DUR|68BPWR|78LIT|9DMG|aRCR
3	33512 22255	5	   	270.03	DCR|3VULN|3DUR|1TLV|2LIT|1AART	18BEXP|2AART|346VULN|568DUR|68BPWR|78LIT|9TLV|aRCR
4	31153 53133	8	 * 	269.24	DCR|3VULN|3DMG|2DUR	134BEXP|2aDUR|59aVULN|68aDMG|7RCR|aBPWR
5	31153 53153	9	   	269.24	DCR|3VULN|3DMG|2DUR	134BEXP|2aDUR|59aVULN|68aDMG|7RCR|aBPWR
6	23364 51225	10	   	263.15	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	19LHND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aTLV
7	31364 51225	10	   	263.15	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	19BEXP|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aTLV
8	53363 51223	10	   	263.15	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	19LWND|29DUR|3MBVNT|4ASPD|5DMG|679VULN|8RCR|9BPWR|aTLV
9	13512 35413	10	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1DUST|2AART|34aVULN|58DUR|6TLV|7DMG|9RCR
10	23372 37421	10	 * 	261.56	DCR|4VULN|3DUR|1AART	148aLHND|248DUR|3MBVNT|48aBPWR|5AART|689aVULN|7RCR
11	23372 37424	10	   	261.46	DCR|4VULN|3DUR|1AART	148LHND|248DUR|3MBVNT|48BPWR|5AART|689aVULN|7RCR
12	23382 37421	10	   	261.46	DCR|4VULN|3DUR|1AART	18aLHND|248DUR|3MBVNT|5AART|689aVULN|7RCR|8aBPWR
13	31312 37421	10	   	261.46	DCR|4VULN|3DUR|1AART	148BEXP|28aDUR|3MBVNT|5AART|689aVULN|7RCR|8aBPWR
14	31372 37412	10	   	261.46	DCR|4VULN|3DUR|1AART	148BEXP|248DUR|3MBVNT|48BPWR|5AART|689aVULN|7RCR
