0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36263 22323	10	 * 	277.45	DCR|4VULN|2DMG|1TLV|1DUR|1SELL	1SELL|2367VULN|4TLV|59DMG|8DUR|aRCR
2	13536 63113	7	 * 	270.81	DCR|4VULN|3DMG|1AART	178CGEN|2ERES|3678VULN|4AART|578DMG|78BPWR|9RCR|aFEWX
3	13536 63111	7	   	270.71	DCR|4VULN|3DMG|1AART	178CGEN|2ERES|3678VULN|4AART|578DMG|78BPWR|9RCR|aLEGI
4	13536 63112	7	   	270.71	DCR|4VULN|3DMG|1AART	178CGEN|2ERES|3678VULN|4AART|578DMG|78BPWR|9RCR|aDUST
5	36214 12235	10	   	269.52	DCR|4VULN|1DMG|1TLV|1DUR|1AART|1SELL	1SELL|2357VULN|4DUR|6TLV|8AART|9DMG|aRCR
6	36225 22235	10	   	269.52	DCR|4VULN|1DMG|1TLV|1DUR|1AART|1SELL	1SELL|2347VULN|5TLV|6DUR|8AART|9DMG|aRCR
7	33345 22316	9	 * 	268.94	DCR|3VULN|3DUR|2TLV|1DMG|1SELL	1SELL|28TLV|3DMG|458DUR|689VULN|7RPLT|8BPWR|aRCR
8	33344 32316	9	 * 	268.94	DCR|3VULN|3DUR|2TLV|1DMG|1SELL	1SELL|28TLV|3DMG|468DUR|589VULN|7RPLT|8BPWR|aRCR
9	33322 62264	4	   	264.27	DCR|4VULN|1DMG|1TLV|1ASPD|1AART|1SELL	1SELL|2TLV|3DMG|4ASPD|5689VULN|7AART|aRCR
10	33365 22363	10	 * 	263.57	DCR|4VULN|2TLV|1DMG|1DUR|1SELL	1SELL|24TLV|3DMG|5679VULN|8DUR|aRCR
11	36263 12363	10	 * 	263.57	DCR|4VULN|2TLV|1DMG|1DUR|1SELL	1SELL|2379VULN|46TLV|5DMG|8DUR|aRCR
12	36334 12235	10	 * 	261.46	DCR|3VULN|2DUR|1DMG|1TLV|1AART|1SELL	1SELL|257VULN|34DUR|6TLV|8AART|9DMG|aRCR
13	33125 22126	8	   	261.30	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2TLV|35CGEN|4567VULN|5BPWR|89DMG|aRCR
14	33225 22126	8	   	261.30	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2TLV|35MLV|4567VULN|5BPWR|89DMG|aRCR
15	33124 22126	8	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2TLV|3CGEN|4567VULN|89DMG|aRCR
16	33224 22126	8	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2TLV|3MLV|4567VULN|89DMG|aRCR
17	36225 32126	8	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2347VULN|5TLV|6ZMB|89DMG|aRCR
18	36263 21326	8	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2368VULN|4TLV|59DMG|7RMIN|aRCR
19	36263 22226	7	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2367VULN|4TLV|59DMG|8RMIN|aRCR
20	36263 22326	7	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2367VULN|4TLV|59DMG|8CGEN|aRCR
21	33524 22126	8	   	261.10	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2TLV|3ERES|4567VULN|89DMG|aRCR
22	33525 22126	8	   	261.10	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2TLV|35ERES|4567VULN|5BPWR|89DMG|aRCR
23	36233 12326	8	   	261.10	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2378VULN|4ERES|59DMG|6TLV|aRCR
24	36263 22126	7	   	261.10	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2367VULN|4TLV|59DMG|8ERES|aRCR
25	36263 22136	9	   	261.10	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2367VULN|4TLV|58DMG|9ERES|aRCR
26	33335 22363	10	   	259.86	DCR|4VULN|1DMG|1TLV|1DUR|1SELL	1SELL|2TLV|3DMG|4RCVC|5679VULN|8DUR|aRCR
27	34163 22363	10	   	259.86	DCR|4VULN|1DMG|1TLV|1DUR|1SELL	1SELL|2RCVC|3679VULN|4TLV|5DMG|8DUR|aRCR
28	36263 32363	10	   	259.86	DCR|4VULN|1DMG|1TLV|1DUR|1SELL	1SELL|2379VULN|4TLV|5DMG|6RCVC|8DUR|aRCR
29	36143 22126	8	 * 	259.77	DCR|3VULN|2DMG|2ASPD|1TLV|1SELL	1SELL|267VULN|35ASPD|4TLV|89DMG|aRCR
30	36221 12316	10	 * 	259.33	DCR|5VULN|1TLV|1DUR|1SELL	1SELL|23478VULN|5FEWX|6TLV|9DUR|aRCR
31	36225 12316	10	 * 	259.33	DCR|5VULN|1TLV|1DUR|1SELL	1SELL|23478VULN|5TLV|6FEWX|9DUR|aRCR
32	36226 12316	10	 * 	259.33	DCR|5VULN|1TLV|1DUR|1SELL	1SELL|23478VULN|5BEXP|6TLV|9DUR|aRCR
33	32422 42112	5	 * 	258.54	DCR|3VULN|3DUR|3TLV|1AART|1SELL	1SELL|2AART|389DUR|4RPLT|589VULN|678TLV|89BPWR|aRCR
34	33365 22323	10	 * 	258.52	DCR|3VULN|2DMG|2TLV|1DUR|1SELL	1SELL|24TLV|39DMG|567VULN|8DUR|aRCR
35	36263 12323	10	 * 	258.52	DCR|3VULN|2DMG|2TLV|1DUR|1SELL	1SELL|237VULN|46TLV|59DMG|8DUR|aRCR
36	33214 52313	9	 * 	258.29	DCR|4VULN|2DUR|3TLV|1SELL	1SELL|268TLV|3MLV|48DUR|568aVULN|68BPWR|7RPLT|9RCR
37	33514 52313	9	 * 	258.19	DCR|4VULN|2DUR|3TLV|1SELL	1SELL|268TLV|3ERES|48DUR|568aVULN|68BPWR|7RPLT|9RCR
38	31125 33336	2	 * 	257.30	DCR|2VULN|2DMG|2DUR|2ASPD|1AART|1SELL	1SELL|2BELT|39DUR|4AART|56DMG|79VULN|89ASPD|9BPWR|aRCR
39	32125 13336	2	 * 	257.30	DCR|2VULN|2DMG|2DUR|2ASPD|1AART|1SELL	1SELL|2AART|39DMG|4BELT|56DUR|79VULN|89ASPD|9BPWR|aRCR
40	22536 42113	5	 * 	256.40	DCR|2VULN|2DMG|2DUR|3TLV|1AART	189LWND|28DUR|39VULN|4AART|59DMG|678TLV|89BPWR|aRCR
