0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31333 62521	7	 * 	314.77	DCR|4VULN|3DMG|3DUR	1489VULN|245DUR|3AART|48BPWR|68aDMG|7RCR
2	31333 62522	7	   	310.12	DCR|4VULN|3DUR|2DMG|1ASPD	1489VULN|245DUR|3AART|48BPWR|68DMG|7RCR|aASPD
3	31333 62615	7	   	307.08	DCR|3VULN|3DMG|3DUR|2LIT	14aVULN|245DUR|3AART|4aBPWR|69aDMG|7RCR|8aLIT
4	31333 62524	7	   	306.88	DCR|4VULN|3DUR|2DMG|2AART	1489VULN|245DUR|3aAART|48BPWR|68DMG|7RCR
5	46121 51322	10	   	305.85	DCR|4VULN|2DMG|2DUR|3LIT	134LIT|2379VULN|39BPWR|5AART|69DMG|89DUR|aRCR
6	32147 15822	8	   	305.53	DCR|4VULN|3DMG|2DUR|1CDMG	1678VULN|2MBVNT|3CDMG|48DUR|568DMG|68BPWR|9LHND|aRCR
7	32147 15832	8	   	305.53	DCR|4VULN|3DMG|2DUR|1CDMG	1678VULN|2MBVNT|3CDMG|48DUR|568DMG|68BPWR|9BEXP|aRCR
8	33626 43132	6	 * 	305.53	DCR|4VULN|3DMG|3ASPD|1CDMG	1678VULN|278DMG|3CDMG|4ERES|578ASPD|78BPWR|9RCR|aCGEN
9	32147 15832	9	   	305.43	DCR|4VULN|3DMG|2DUR|1CDMG	1678VULN|2MBVNT|3CDMG|48DUR|568DMG|68BPWR|9DUST|aRCR
10	33626 43131	6	   	305.43	DCR|4VULN|3DMG|3ASPD|1CDMG	1678VULN|278DMG|3CDMG|4ERES|578ASPD|78BPWR|9RCR|aDUST
11	33626 43133	6	   	305.43	DCR|4VULN|3DMG|3ASPD|1CDMG	1678VULN|278DMG|3CDMG|4aERES|578ASPD|78BPWR|9RCR
12	31333 62541	7	   	303.13	DCR|3VULN|3DMG|3DUR|1ASPD	148VULN|245DUR|3AART|48BPWR|689DMG|7RCR|aASPD
13	31321 55141	8	 * 	302.74	DCR|4VULN|3DUR|2ASPD|1DMG	1567VULN|279DUR|3AART|47ASPD|7BPWR|8RCR|aDMG
14	31321 35213	10	   	302.74	DCR|4VULN|3DUR|2ASPD|1DMG	157aVULN|267DUR|3AART|47ASPD|7BPWR|8DMG|9RCR
15	31321 35461	9	   	302.74	DCR|4VULN|3DUR|2ASPD|1DMG	1578VULN|267DUR|3AART|47ASPD|7BPWR|9RCR|aDMG
16	32333 51164	5	   	302.04	DCR|4VULN|2DMG|2DUR|1TLV	1478VULN|2MBVNT|3AART|47BPWR|57DUR|67DMG|9TLV|aRCR
17	32345 51164	3	   	302.04	DCR|4VULN|2DMG|2DUR|1TLV	1578VULN|2MBVNT|3AART|47DUR|67DMG|7BPWR|9TLV|aRCR
18	31333 62325	10	   	299.21	DCR|4VULN|3DUR|2DMG	149aVULN|245DUR|3AART|49BPWR|69DMG|7RCR|89LHND
19	31333 62425	10	   	299.21	DCR|4VULN|3DUR|2DMG	149aVULN|245DUR|3AART|49BPWR|69DMG|7RCR|89LWND
20	31333 62523	7	   	299.11	DCR|4VULN|3DUR|2DMG	1489VULN|245DUR|3AART|48BPWR|68DMG|7RCR|aLWND
