0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34511 52222	10	 * 	262.92	DCR|3VULN|3DMG|1DUR|1SELL	178ZMB|2SELL|378VULN|4LIT|5CGEN|678DMG|78BPWR|9DUR|aRCR
2	33226 16211	7	 * 	258.88	DCR|3VULN|3DUR|1DMG|1AART	18ZMB|2DMG|389DUR|4RCVC|58aVULN|6AART|7RCR|8BPWR
3	14334 21136	1	 * 	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1BEXP|2459VULN|3DMG|6ERES|7CDMG|8RCR|aTLV
4	13335 61422	2	 * 	257.09	ACR|5VULN|2DMG|1DUR	1BEXP|2RCR|35DMG|4578aVULN|5BPWR|6DUR|9LIT
5	23335 61422	2	   	257.09	ACR|5VULN|2DMG|1DUR	1FEWX|2RCR|35DMG|4578aVULN|5BPWR|6DUR|9LIT
6	53223 52432	10	 * 	254.55	DCR|3VULN|3DMG|1DUR	1RMIN|28FEWX|3DUR|48aDMG|589VULN|6RCR|7DLOT|8BPWR
7	53223 52431	9	 * 	253.48	DCR|3VULN|2DMG|2DUR	1RMIN|28FEWX|3aDUR|48DMG|589VULN|6RCR|7DLOT|8BPWR
8	53223 53321	9	   	253.34	DCR|3VULN|2DMG|2DUR|1SELL	1RMIN|29FEWX|3aDUR|49DMG|579VULN|6RCR|8SELL|9BPWR
9	33226 16242	7	   	252.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	18ZMB|29DMG|38DUR|4RCVC|58VULN|6AART|7RCR|8BPWR|aTLV
10	53223 53322	10	   	252.40	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1RMIN|29FEWX|3DUR|49DMG|579VULN|6RCR|8SELL|9BPWR|aCDMG
11	14333 34134	1	   	251.91	DCR|4VULN|1DMG|1TLV|1SELL	1BEXP|2469VULN|3DMG|5SELL|7TLV|8RCR|aLIT
12	22335 43251	1	   	249.82	DCR|3VULN|3DUR|1ASPD|1AART	18FEWX|2ASPD|348VULN|58aDUR|6AART|7RMIN|8BPWR|9RCR
13	53223 53326	10	   	249.76	DCR|3VULN|2DMG|1DUR|1ASPD|1SELL	1RMIN|29FEWX|3DUR|49DMG|579VULN|6RCR|8SELL|9BPWR|aASPD
14	33226 16241	7	 * 	249.56	DCR|2VULN|3DUR|2DMG|1AART	18ZMB|29DMG|38aDUR|4RCVC|58VULN|6AART|7RCR|8BPWR
15	33226 12411	4	   	249.46	DCR|2VULN|3DUR|2DMG|1AART	1ZMB|25DMG|359DUR|4RCVC|5BPWR|6AART|7RCR|8aVULN
16	33236 12411	3	   	249.46	DCR|2VULN|3DUR|2DMG|1AART	1ZMB|25DMG|359DUR|4RCVC|5BPWR|6AART|7RCR|8aVULN
17	14334 21134	1	   	249.46	DCR|4VULN|1DMG|1CDMG	1BEXP|2459VULN|3DMG|6ERES|7CDMG|8RCR|aLIT
18	24334 31121	1	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1FEWX|245VULN|3DMG|6ZMB|7CDMG|8RCR|9aDUR
19	12334 22225	1	 * 	248.71	DCR|4VULN|2ASPD|1DMG	1BEXP|28ASPD|3457VULN|6ERES|9DMG|aRCR
20	12334 21136	1	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1BEXP|2ASPD|3459VULN|6ERES|7CDMG|8RCR|aTLV
21	13335 21442	2	 * 	248.19	ACR|5VULN|3DMG	1BEXP|2RCR|359DMG|4578aVULN|5BPWR|6LWND
22	13335 31442	2	   	248.19	ACR|5VULN|3DMG	1BEXP|2RCR|359DMG|4578aVULN|5BPWR|6FEWX
23	23335 21442	2	   	248.19	ACR|5VULN|3DMG	1FEWX|2RCR|359DMG|4578aVULN|5BPWR|6LWND
24	14333 34136	1	 * 	247.32	DCR|4VULN|2TLV|1DMG|1SELL	1BEXP|2469VULN|3DMG|5SELL|7aTLV|8RCR
25	23335 42411	2	 * 	247.10	ACR|3VULN|2DMG|2DUR|1TLV|1AART	1FEWX|2RCR|35DMG|458VULN|5BPWR|6AART|7TLV|9aDUR
26	14335 33524	1	   	247.01	DCR|3VULN|2DMG|1DUR	1BEXP|248VULN|36DMG|5DUR|7MBVNT|9LIT|aRCR
27	54313 31162	8	 * 	246.81	DCR|4VULN|2CDMG|1ASPD	1RMIN|2aCDMG|379aVULN|4LIT|5ASPD|6aDUST|8RCR|aBPWR
28	12334 14532	1	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	1BEXP|2ASPD|345VULN|6FEWX|7aDUR|8DMG|9RCR
29	12335 11532	1	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	1BEXP|2ASPD|347VULN|5aDUR|6FEWX|8DMG|9RCR
30	12335 21532	1	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	1BEXP|2ASPD|347VULN|5aDUR|6LWND|8DMG|9RCR
31	14335 11532	1	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	1BEXP|247VULN|3DMG|5aDUR|6FEWX|8ASPD|9RCR
32	14335 21532	1	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	1BEXP|247VULN|3DMG|5aDUR|6LWND|8ASPD|9RCR
33	22334 51532	1	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	1FEWX|2ASPD|345VULN|6aDUR|7LWND|8DMG|9RCR
34	22334 52532	1	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	1FEWX|2ASPD|345VULN|6aDUR|7BEXP|8DMG|9RCR
35	22336 61532	1	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	1FEWX|2ASPD|347VULN|5BEXP|6aDUR|8DMG|9RCR
36	24216 52331	1	 * 	246.75	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG	1FEWX|2aVULN|3DUR|4DUST|5aASPD|6CDMG|7RCR|8BBNT|9aDMG|aBPWR
37	12335 61532	1	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD	1BEXP|2ASPD|347VULN|5aDUR|6DUST|8DMG|9RCR
38	22335 61532	1	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD	1FEWX|2ASPD|347VULN|5aDUR|6DUST|8DMG|9RCR
39	14333 36121	1	   	246.55	DCR|3VULN|2DUR|1DMG|1ASPD|1SELL	1BEXP|246VULN|3DMG|5SELL|7ASPD|8RCR|9aDUR
40	24333 36121	1	   	246.55	DCR|3VULN|2DUR|1DMG|1ASPD|1SELL	1FEWX|246VULN|3DMG|5SELL|7ASPD|8RCR|9aDUR
41	24334 31133	1	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1FEWX|245VULN|3DMG|6ZMB|7CDMG|8RCR|9ASPD|aDUR
42	24333 31413	1	 * 	245.05	DCR|4VULN|2DMG|1SELL	179FEWX|2467VULN|37DMG|5SELL|7BPWR|8TBNT|aRCR
43	52321 31364	5	 * 	245.01	DCR|2VULN|3DMG|2TLV|1CDMG	1RMIN|2aTLV|35aDMG|4CGEN|6RCR|7CDMG|8aVULN|9TBNT|aBPWR
44	23335 61342	2	   	244.90	ACR|4VULN|3DMG|1DUR	18FEWX|2RCR|359DMG|457aVULN|5BPWR|6DUR
45	13335 63624	2	   	244.60	ACR|3VULN|2DMG|2DUR|1CDMG|1AART	18BEXP|2RCR|35DMG|458VULN|58BPWR|68DUR|7MBVNT|9CDMG|aAART
46	12335 32126	1	   	244.45	DCR|2VULN|2DUR|1DMG|1TLV|1ASPD	1BEXP|2ASPD|34VULN|5aDUR|6DMG|7LIT|8TLV|9RCR
47	13335 61421	2	   	244.10	ACR|4VULN|2DMG|1DUR|2LIT	1BEXP|2RCR|35DMG|4578VULN|5BPWR|6DUR|9aLIT
48	23335 61421	2	   	244.10	ACR|4VULN|2DMG|1DUR|2LIT	1FEWX|2RCR|35DMG|4578VULN|5BPWR|6DUR|9aLIT
49	53223 53612	8	   	244.10	DCR|3VULN|2DUR|1DMG	1RMIN|2FEWX|3aDUR|4DMG|578VULN|6RCR|9LIT
50	33266 31422	7	   	244.00	DCR|3VULN|2DUR|1DMG	1ZMB|2DMG|35DUR|4ERES|6RCR|78aVULN|9LIT
51	13335 63612	2	 * 	243.93	ACR|4VULN|2DMG|2DUR	18BEXP|2RCR|35DMG|458aVULN|58BPWR|68DUR|7MBVNT|9LHND
52	23211 62243	5	   	243.93	ACR|4VULN|2DMG|2DUR	147FEWX|2RCR|389aVULN|58DMG|68DUR|8BPWR
53	23511 52243	6	   	243.93	ACR|4VULN|2DMG|2DUR	147FEWX|2RCR|38DUR|58DMG|689aVULN|8BPWR
54	52235 44247	4	   	243.75	DCR|4VULN|1DMG|1TLV	1RMIN|2TLV|3MBVNT|4CGEN|567aVULN|8DMG|9RCR
