0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33111 53164	3	 * 	288.53	DCR|4VULN|1DMG|2CDMG|1TLV|2LIT|1AART	1aLIT|235aVULN|4DMG|6AART|7RCR|8TLV|9aCDMG|aBPWR
2	33123 53653	8	 * 	287.87	DCR|4VULN|3DUR|2ASPD|2LIT	19LIT|238aVULN|49ASPD|579DUR|6RCR|9BPWR
3	33112 26152	7	 * 	286.20	DCR|5VULN|3DUR|2LIT	17LIT|2378aVULN|467DUR|5BELT|7BPWR|9RCR
4	33112 26552	8	   	286.20	DCR|5VULN|3DUR|2LIT	17LIT|2378aVULN|467DUR|5BELT|7BPWR|9RCR
5	33434 13123	5	   	284.72	DCR|4VULN|1DMG|1TLV|1DUR|2LIT|1AART	14LIT|245aVULN|3AART|4BPWR|6DMG|7RCR|8TLV|9DUR
6	33123 55612	9	 * 	280.75	DCR|4VULN|2DMG|1DUR|1ASPD	1LIT|2378VULN|4ASPD|5DUR|6RCR|9aDMG
7	33121 53164	4	   	279.47	DCR|4VULN|2CDMG|1TLV|2LIT|1ASPD|1AART	1aLIT|235aVULN|4ASPD|6AART|7RCR|8TLV|9aCDMG|aBPWR
8	33131 53164	3	   	279.47	DCR|4VULN|2CDMG|1TLV|2LIT|1ASPD|1AART	1aLIT|235aVULN|4ASPD|6AART|7RCR|8TLV|9aCDMG|aBPWR
9	33111 53123	3	   	278.07	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1LIT|235aVULN|4DMG|6AART|7RCR|8TLV|9DUR
10	33511 53123	2	   	278.07	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1LIT|235aVULN|4DMG|6AART|7RCR|8TLV|9DUR
11	33114 21624	10	 * 	277.94	DCR|3VULN|2DMG|2DUR|1TLV	1LIT|238VULN|45DUR|67DMG|9TLV|aRCR
12	33144 11326	3	 * 	276.94	DCR|5VULN|3LIT|1TLV|1CDMG	146LIT|23459VULN|4BPWR|7TLV|8CDMG|aRCR
13	33434 13522	5	   	276.87	DCR|4VULN|1DMG|2LIT|1CDMG|1ASPD|1AART	14LIT|2458VULN|3AART|4BPWR|6DMG|7RCR|9ASPD|aCDMG
14	33434 13513	5	   	276.87	DCR|4VULN|1DMG|2LIT|1CDMG|1ASPD|1AART	14LIT|2458VULN|3AART|4BPWR|6DMG|7RCR|9CDMG|aASPD
15	33111 53542	3	   	275.47	DCR|4VULN|1DMG|1TLV|1CDMG|1AART	1LIT|2358VULN|4DMG|6AART|7RCR|9TLV|aCDMG
16	33133 53443	6	 * 	275.01	DCR|3VULN|2DMG|3LIT|1TLV|1DUR	189LIT|238VULN|4ERES|5DUR|6RCR|78DMG|8BPWR|aTLV
17	33123 53352	8	 * 	274.75	DCR|3VULN|3DUR|3ASPD|2LIT	19LIT|23aVULN|489ASPD|579DUR|6RCR|9BPWR
18	52224 42231	6	 * 	274.40	DCR|5VULN|2TLV|1DUR|1ASPD	1CGEN|26TLV|34567VULN|6BPWR|8ASPD|9RCR|aDUR
19	33111 53525	3	   	272.82	DCR|4VULN|1DMG|1DUR|1ASPD|1AART	1LIT|2358VULN|4DMG|6AART|7RCR|9ASPD|aDUR
20	33123 53612	9	   	272.69	DCR|3VULN|2DMG|2DUR|1ASPD	1LIT|238VULN|4ASPD|57DUR|6RCR|9aDMG
21	33123 55412	9	   	272.69	DCR|3VULN|2DMG|2DUR|1ASPD	1LIT|237VULN|4ASPD|58DUR|6RCR|9aDMG
22	33111 53264	3	   	272.28	DCR|4VULN|1DMG|2CDMG|2LIT|1AART	1aLIT|235aVULN|4DMG|6AART|7RCR|8MLV|9aCDMG|aBPWR
23	33113 26153	7	 * 	272.01	ACR|4VULN|3DUR|2DMG|2LIT	19LIT|236aVULN|479DUR|5RCR|89DMG|9BPWR
24	33113 53153	6	   	272.01	ACR|4VULN|3DUR|2DMG|2LIT	19LIT|237aVULN|469DUR|5RCR|89DMG|9BPWR
25	33433 13164	5	 * 	271.00	DCR|3VULN|3LIT|1DMG|2CDMG|1TLV|1AART	14aLIT|24aVULN|3AART|4aBPWR|5RCVC|6DMG|7RCR|8TLV|9aCDMG
26	33123 53663	8	   	270.91	DCR|4VULN|3DUR|1ASPD	1LIT|238aVULN|4ASPD|579DUR|6RCR
27	33111 53513	3	   	270.22	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1LIT|2358VULN|4DMG|6AART|7RCR|9CDMG|aASPD
28	33111 53522	3	   	270.22	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1LIT|2358VULN|4DMG|6AART|7RCR|9ASPD|aCDMG
29	33511 53513	2	   	270.22	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1LIT|2358VULN|4DMG|6AART|7RCR|9CDMG|aASPD
30	33511 53522	2	   	270.22	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1LIT|2358VULN|4DMG|6AART|7RCR|9ASPD|aCDMG
31	33133 53413	6	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	18LIT|238VULN|4ERES|5DUR|6RCR|78DMG|8BPWR|9LWND|aTLV
32	33133 53462	6	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	18LIT|238VULN|4ERES|5DUR|6RCR|78DMG|8BPWR|9FEWX|aTLV
33	15621 32112	9	   	269.96	DCR|4VULN|2CDMG|1TLV|1DUR|1AART	137FEWX|2347VULN|37BPWR|5AART|67CDMG|8DUR|9TLV|aRCR
34	33115 21624	10	   	269.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	15LIT|238VULN|4DUR|67DMG|9TLV|aRCR
35	33123 55611	10	   	269.71	DCR|4VULN|1DMG|1DUR|2LIT|1ASPD	1aLIT|2378VULN|4ASPD|5DUR|6RCR|9DMG
36	33123 55613	9	   	269.71	DCR|4VULN|1DMG|1DUR|2LIT|1ASPD	1aLIT|2378VULN|4ASPD|5DUR|6RCR|9DMG
37	33121 66124	4	   	269.71	DCR|4VULN|2CDMG|1DUR|2LIT|1ASPD	19LIT|2359VULN|4ASPD|6DUR|7TBNT|89CDMG|9BPWR|aRCR
38	33131 66124	3	   	269.71	DCR|4VULN|2CDMG|1DUR|2LIT|1ASPD	19LIT|2359VULN|4ASPD|6DUR|7TBNT|89CDMG|9BPWR|aRCR
39	65621 32112	9	   	269.66	DCR|4VULN|2CDMG|1TLV|1DUR|1AART	137DUST|2347VULN|37BPWR|5AART|67CDMG|8DUR|9TLV|aRCR
40	52263 23113	10	 * 	269.62	DCR|4VULN|2TLV|1DMG|1CDMG	1CGEN|24TLV|349aVULN|4BPWR|5LIT|6DMG|7CDMG|8RCR
41	33133 53422	6	 * 	269.41	DCR|3VULN|3DMG|1DUR|2LIT	18LIT|238VULN|4ERES|5DUR|6RCR|78aDMG|8BPWR|9RCVC
42	33133 53452	6	   	269.41	DCR|3VULN|3DMG|1DUR|2LIT	18LIT|238VULN|4ERES|5DUR|6RCR|78aDMG|8BPWR|9DMSP
43	33121 53123	4	   	269.01	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1LIT|235aVULN|4ASPD|6AART|7RCR|8TLV|9DUR
44	33131 53123	3	   	269.01	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1LIT|235aVULN|4ASPD|6AART|7RCR|8TLV|9DUR
45	33531 53123	2	   	269.01	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1LIT|235aVULN|4ASPD|6AART|7RCR|8TLV|9DUR
46	42122 53162	1	 * 	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1AART|29DMG|3BEXP|49aVULN|5ERES|6DUR|79TLV|8RCR|9BPWR
47	33434 13223	5	   	268.47	DCR|4VULN|1DMG|1DUR|2LIT|1AART	14LIT|245aVULN|3AART|4BPWR|6DMG|7RCR|8MLV|9DUR
48	33133 53441	6	   	268.42	DCR|3VULN|2DMG|3LIT|1DUR|1AART	189LIT|238VULN|4ERES|5DUR|6RCR|78DMG|8BPWR|aAART
