0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26348 34431	9	 * 	277.19	DCR|4VULN|3DMG|1DUR	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aDUR
2	26348 34154	8	   	268.20	DCR|3VULN|3DMG|1DUR|1CDMG	1DMSP|2RCVC|3MBVNT|467DMG|567VULN|67BPWR|8CDMG|9DUR|aRCR
3	26348 34174	9	   	268.20	DCR|3VULN|3DMG|1DUR|1CDMG	1DMSP|2RCVC|3MBVNT|467DMG|567VULN|67BPWR|8CDMG|9DUR|aRCR
4	62523 12314	8	 * 	263.83	DCR|2VULN|2DMG|2DUR|2CDMG|2AART|1SELL	1SELL|23AART|48DMG|58DUR|6RCR|78CDMG|8BPWR|9aVULN
5	23242 41611	6	 * 	263.49	DCR|5VULN|1DMG|1DUR	1DMSP|27BEXP|34567VULN|7BPWR|8DUR|9DMG|aRCR
6	11233 34631	1	   	263.46	DCR|3VULN|2DMG|1TLV|1DUR	1ZMB|267VULN|3BEXP|4LIT|56DMG|6BPWR|8TLV|9RCR|aDUR
7	11533 34631	1	   	263.46	DCR|3VULN|2DMG|1TLV|1DUR	1ZMB|267VULN|3FEWX|4LIT|56DMG|6BPWR|8TLV|9RCR|aDUR
8	53233 34631	1	   	263.46	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|267VULN|3ZMB|4LIT|56DMG|6BPWR|8TLV|9RCR|aDUR
9	62512 22834	2	 * 	261.46	DCR|3VULN|2DUR|2CDMG|1TLV|1AART|1SELL	1SELL|2AART|39CDMG|459VULN|6MBVNT|7RCR|89DUR|9BPWR|aTLV
10	26348 34431	10	   	260.94	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aLHND
11	26348 34432	10	   	260.94	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aZMB
12	26348 34433	10	   	260.94	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aLWND
13	26348 34433	9	   	260.94	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aCGEN
14	26348 34434	10	   	260.94	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aCGEN
15	26348 34434	9	   	260.94	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aFEWX
16	26348 34436	10	   	260.94	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aFEWX
17	26348 34437	10	   	260.94	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aBEXP
18	26348 34437	9	   	260.94	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aBEXP
19	23345 21153	1	   	260.94	DCR|4VULN|3DMG	1DMSP|24RMIN|357DMG|6789VULN|7BPWR|aRCR
20	26348 34435	10	   	260.84	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aERES
21	26348 34435	9	   	260.84	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aTBNT
22	26348 34436	9	   	260.84	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aERES
23	26348 34438	9	   	260.84	DCR|4VULN|3DMG	1DMSP|2RCVC|3MBVNT|467DMG|5678VULN|67BPWR|9RCR|aDUST
24	24611 41333	2	   	258.85	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	1DMSP|29aDMG|3aVULN|4BELT|5TLV|6DUR|7RCR|8aLIT|aBPWR
25	26611 41333	1	   	258.85	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	1DMSP|29aDMG|3aVULN|4BELT|5TLV|6DUR|7RCR|8aLIT|aBPWR
26	46623 21121	3	 * 	257.75	DCR|3VULN|2DUR|2TLV|1CDMG	1LEGI|25aVULN|3CDMG|4aDUR|6LIT|7LHND|8RCR|9aTLV|aBPWR
27	46612 21121	3	   	257.75	DCR|3VULN|2DUR|2TLV|1CDMG	1LEGI|24aVULN|3CDMG|5aDUR|6LIT|7LHND|8RCR|9aTLV|aBPWR
28	46612 21121	4	   	257.75	DCR|3VULN|2DUR|2TLV|1CDMG	1LEGI|24aVULN|3CDMG|5aDUR|6LIT|7LHND|8RCR|9aTLV|aBPWR
29	46612 22121	4	   	257.65	DCR|3VULN|2DUR|2TLV|1CDMG	1LEGI|24aVULN|3CDMG|5aDUR|6LIT|7DUST|8RCR|9aTLV|aBPWR
30	46612 22121	3	   	257.65	DCR|3VULN|2DUR|2TLV|1CDMG	1LEGI|24aVULN|3CDMG|5aDUR|6LIT|7DUST|8RCR|9aTLV|aBPWR
31	46623 22121	3	   	257.65	DCR|3VULN|2DUR|2TLV|1CDMG	1LEGI|25aVULN|3CDMG|4aDUR|6LIT|7DUST|8RCR|9aTLV|aBPWR
32	11315 31242	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1ZMB|2358VULN|4BELT|6DMG|7ASPD|9DUR|aRCR
33	11315 41242	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1ZMB|2358VULN|4BELT|6ASPD|7DMG|9DUR|aRCR
34	31315 31242	1	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD	1ERES|2358VULN|4BELT|6DMG|7ASPD|9DUR|aRCR
35	31315 41242	1	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD	1ERES|2358VULN|4BELT|6ASPD|7DMG|9DUR|aRCR
