0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56124 33333	8	 * 	281.32	DCR|4VULN|3DUR|1DMG|1AART	16aDUR|2357VULN|4AART|8DMG|9RCR
2	51112 34132	9	 * 	276.47	DCR|3VULN|3DUR|2DMG|1AART	145DUR|2aLWND|37aVULN|6aDMG|8RCR|9AART|aBPWR
3	56124 33332	8	   	276.40	DCR|4VULN|2DUR|1DMG|1AART	16DUR|2357VULN|4AART|8DMG|9RCR|aLIT
4	53225 42264	6	   	276.37	DCR|3VULN|3DUR|2DMG|1AART	137DUR|2MBVNT|4AART|579VULN|67DMG|7BPWR|8RPLT|aRCR
5	22234 65133	7	 * 	276.02	DCR|4VULN|2DMG|2DUR	1LEGI|27DMG|3DUST|457aVULN|67DUR|7BPWR|8CGEN|9RCR
6	53113 33183	3	   	276.02	DCR|4VULN|2DMG|2DUR	19DUR|2MBVNT|349aVULN|5CGEN|6DUST|79DMG|8RCR|9BPWR
7	53813 33183	2	   	276.02	DCR|4VULN|2DMG|2DUR	19DUR|2MBVNT|349aVULN|5CGEN|6DUST|79DMG|8RCR|9BPWR
8	53835 22431	7	 * 	274.69	DCR|4VULN|2DUR|2CDMG|1TLV	1aDUR|2MBVNT|3TLV|457aVULN|6DMSP|8RCR|9aCDMG|aBPWR
9	56141 31123	3	   	273.56	DCR|4VULN|3DUR|1CDMG	169DUR|237aVULN|4CDMG|5LIT|8RCR
10	53111 37333	4	 * 	271.76	DCR|4VULN|3DUR|3LIT	147DUR|2MBVNT|367aVULN|57aLIT|7aBPWR|8aBEXP|9RCR
11	53131 37333	4	   	271.76	DCR|4VULN|3DUR|3LIT	157DUR|2MBVNT|367aVULN|47aLIT|7aBPWR|8aBEXP|9RCR
12	53131 37333	3	   	271.76	DCR|4VULN|3DUR|3LIT	147DUR|2MBVNT|367aVULN|57aLIT|7aBPWR|8aBEXP|9RCR
13	53831 37333	2	   	271.76	DCR|4VULN|3DUR|3LIT	147DUR|2MBVNT|367aVULN|57aLIT|7aBPWR|8aBEXP|9RCR
14	53115 63343	8	 * 	270.77	DCR|2VULN|3DUR|2DMG|2TLV|1ASPD	147DUR|2MBVNT|3aVULN|5ASPD|6aTLV|8aDMG|9RCR|aBPWR
15	53146 21216	8	 * 	270.23	DCR|3VULN|3DUR|2ASPD|2CDMG	167DUR|2MBVNT|359VULN|49CDMG|89ASPD|9BPWR|aRCR
16	56122 11253	5	   	269.85	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG|1AART	17DUR|23VULN|4AART|57DMG|67TLV|7BPWR|8TBNT|9RCR|aCDMG
17	51133 36211	4	 * 	269.09	DCR|3VULN|3DUR|3LIT|1DMG	178DUR|2LWND|367VULN|457LIT|7BPWR|9RCR|aDMG
18	53115 21328	3	 * 	268.99	DCR|3VULN|3DUR|1DMG|2CDMG	18aDUR|2MBVNT|348VULN|5TBNT|6RCR|78CDMG|8BPWR|9DMG
19	53118 21328	3	   	268.99	DCR|3VULN|3DUR|1DMG|2CDMG	18aDUR|2MBVNT|348VULN|5BBNT|6RCR|78CDMG|8BPWR|9DMG
20	53142 24547	6	 * 	268.99	DCR|3VULN|3DUR|2TLV|2CDMG	178DUR|2MBVNT|39aVULN|47CDMG|57TLV|6RCR|7BPWR
21	53146 24241	9	   	268.99	DCR|3VULN|3DUR|2TLV|2CDMG	16aDUR|2MBVNT|359VULN|4aCDMG|7aTLV|8RCR|aBPWR
22	56141 31112	3	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	16DUR|237VULN|4CDMG|5LIT|8RCR|9ASPD|aDMG
23	53146 24247	10	   	268.17	DCR|4VULN|2DUR|1TLV|1CDMG	16DUR|2MBVNT|359aVULN|4CDMG|7TLV|8RCR
24	56124 33233	7	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	16DUR|2357VULN|4AART|8RCR|9MLV|aDMG
25	56124 33331	8	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	16DUR|2357VULN|4AART|8DMG|9RCR|aMLV
26	53112 27633	7	   	268.07	DCR|2VULN|3DUR|2DMG|2TLV	145DUR|2MBVNT|3aVULN|6LIT|7aDMG|8aTLV|9RCR|aBPWR
27	53112 27733	8	   	268.07	DCR|2VULN|3DUR|2DMG|2TLV	145DUR|2MBVNT|3aVULN|6LIT|7aDMG|8aTLV|9RCR|aBPWR
28	51153 25322	7	   	267.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	17DUR|27LWND|39VULN|4CDMG|57DMG|6RCR|7BPWR|8TLV|aASPD
29	55125 33323	8	 * 	267.11	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG|1AART	1DUR|278DMG|3TLV|4AART|5CDMG|69VULN|aRCR
30	53142 23652	5	   	266.90	DCR|3VULN|2DUR|2CDMG|1TLV|2LIT	19DUR|2MBVNT|39aVULN|48CDMG|5TLV|69LIT|7RCR|9BPWR
31	53141 48341	9	   	266.88	DCR|4VULN|2DUR|2LIT|1CDMG	19DUR|2MBVNT|369aVULN|4CDMG|5DUST|7RCR|89LIT|9BPWR
32	56132 13141	10	   	266.86	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	19DUR|239VULN|4RCVC|5ASPD|6ERES|7RCR|89CDMG|9BPWR|aDMG
33	51111 36311	4	   	266.66	DCR|4VULN|3DUR|2LIT	147DUR|2LWND|367aVULN|57LIT|7BPWR|8BEXP|9RCR
34	51131 36311	4	   	266.66	DCR|4VULN|3DUR|2LIT	157DUR|2LWND|367aVULN|47LIT|7BPWR|8BEXP|9RCR
35	53113 33186	4	   	266.61	DCR|3VULN|3DUR|2DMG	149DUR|2MBVNT|39aVULN|5CGEN|6DUST|79DMG|8RCR|9BPWR
36	53133 33186	3	   	266.61	DCR|3VULN|3DUR|2DMG	149DUR|2MBVNT|39aVULN|5CGEN|6DUST|79DMG|8RCR|9BPWR
37	53124 62428	9	   	266.61	DCR|3VULN|3DUR|2DMG	19aDUR|2MBVNT|38aVULN|4LHND|5ERES|6RCR|7aDMG|aBPWR
38	53111 37331	4	   	266.56	DCR|4VULN|3DUR|2LIT	147DUR|2MBVNT|367aVULN|57LIT|7BPWR|8BEXP|9RCR
39	53131 37331	4	   	266.56	DCR|4VULN|3DUR|2LIT	157DUR|2MBVNT|367aVULN|47LIT|7BPWR|8BEXP|9RCR
40	53131 37331	3	   	266.56	DCR|4VULN|3DUR|2LIT	147DUR|2MBVNT|367aVULN|57LIT|7BPWR|8BEXP|9RCR
41	53831 37331	2	   	266.56	DCR|4VULN|3DUR|2LIT	147DUR|2MBVNT|367aVULN|57LIT|7BPWR|8BEXP|9RCR
42	53144 37435	10	   	266.14	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	18DUR|2MBVNT|38VULN|4CDMG|5FEWX|6AART|78DMG|8BPWR|9TLV|aRCR
43	53141 37435	10	   	266.04	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	18DUR|2MBVNT|38VULN|4CDMG|5DUST|6AART|78DMG|8BPWR|9TLV|aRCR
44	53218 27421	6	   	265.71	DCR|2VULN|3DUR|2DMG|1TLV|1AART	139DUR|2MBVNT|4CGEN|59DMG|6AART|7RCR|89VULN|9BPWR|aTLV
45	51133 36215	4	   	265.27	DCR|3VULN|3DUR|3LIT|1TLV	178DUR|2LWND|367VULN|457LIT|7BPWR|9RCR|aTLV
46	53836 22431	7	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	15aDUR|2MBVNT|3TLV|47aVULN|6DMSP|8RCR|9aCDMG|aBPWR
47	53112 41248	6	   	265.15	DCR|4VULN|3DUR|1CDMG	145DUR|2MBVNT|369aVULN|7CDMG|8RCR
48	53146 21248	7	   	265.15	DCR|4VULN|3DUR|1CDMG	167DUR|2MBVNT|359aVULN|4CDMG|8RCR
49	56133 22116	3	   	265.15	DCR|4VULN|3DUR|1CDMG	157DUR|237aVULN|4BBNT|6TBNT|7BPWR|8RCR|9CDMG
50	22432 35123	8	 * 	265.13	ACR|3VULN|3DMG|3DUR|2LIT	1LEGI|27aDMG|3RCR|47aVULN|567DUR|7aBPWR|8aLIT|9RMIN
51	22432 35223	7	   	265.13	ACR|3VULN|3DMG|3DUR|2LIT	1LEGI|27aDMG|3RCR|47aVULN|567DUR|7aBPWR|8aLIT|9RMIN
52	22334 24225	10	 * 	264.21	DCR|3VULN|3DMG|1DUR|1AART	1LEGI|278DMG|38LWND|458VULN|6AART|8BPWR|9RCR|aDUR
53	22124 11421	8	   	263.49	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1AART	1LEGI|29DMG|3TLV|49DUR|5ASPD|6CGEN|79VULN|8AART|9BPWR|aRCR
54	53112 32543	6	 * 	263.39	DCR|2VULN|3DUR|2ASPD|2TLV|1DMG	145DUR|2MBVNT|3aVULN|6DMG|7aASPD|8aTLV|9RCR|aBPWR
55	56132 43231	8	   	263.15	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	1aDUR|23aVULN|4RCVC|5ASPD|6TLV|7RCR|8RMIN|9aCDMG|aBPWR
