0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11163 43236	6	 * 	307.95	橙4易伤2等级2伤害1时间1暴击	19等级2金币生成3689易伤4时间5暴击79伤害9序列升级a核
2	12132 31554	5	 * 	303.47	橙4易伤3伤害3等级	189等级2589易伤34双倍矿689伤害7核89序列升级a全技能
3	11163 53236	5	 * 	301.49	橙3易伤2等级2伤害2时间1暴击	19等级2金币生成389易伤46时间5暴击79伤害9序列升级a核
4	12132 31533	5	   	294.30	橙4易伤2等级2伤害1时间	18等级258a易伤34双倍矿68伤害7核8序列升级9时间
5	12132 31551	5	   	293.81	橙4易伤3伤害3等级	189等级2589易伤34双倍矿689伤害7核89序列升级a金币生成
6	12132 31555	5	   	293.81	橙4易伤3伤害3等级	189等级2589易伤34双倍矿689伤害7核89序列升级a立即金币
7	12132 31556	5	   	293.81	橙4易伤3伤害3等级	189等级2589易伤34双倍矿689伤害7核89序列升级a最后敌人
8	12132 31552	5	   	293.71	橙4易伤3伤害3等级	189等级2589易伤34双倍矿689伤害7核89序列升级a赏金邻近
9	12132 31553	5	   	293.71	橙4易伤3伤害3等级	189等级2589易伤34双倍矿689伤害7核89序列升级a挖尘
10	11133 11236	3	 * 	293.19	橙4易伤2等级2时间1暴击	19等级2金币生成3789易伤4攻速5暴击69时间9序列升级a核
11	11133 42536	8	   	291.71	橙4易伤2等级2伤害1暴击	19等级2金币生成3679易伤4最后敌人5暴击89伤害9序列升级a核
12	12211 62218	1	 * 	289.38	橙5易伤2等级2时间1核弹	18等级2加一35689易伤48时间7核弹8序列升级a核
13	12323 21236	4	   	287.02	橙5易伤2等级2暴击	19等级2789a易伤3攻速4金币生成59暴击6核9序列升级
14	12326 21236	5	   	287.02	橙5易伤2等级2暴击	19等级2789a易伤3攻速4金币生成59暴击6核9序列升级
15	12333 21236	2	   	287.02	橙5易伤2等级2暴击	19等级2789a易伤3金币生成4攻速59暴击6核9序列升级
16	11163 43361	6	   	286.90	橙3易伤2等级2伤害1时间1暴击	1a等级2金币生成36a易伤4时间5暴击7a伤害8核9平台a序列升级
17	11163 32536	8	   	286.90	橙3易伤2等级2伤害1时间1暴击	19等级26金币生成379易伤4时间5暴击89伤害9序列升级a核
18	11163 33236	6	   	286.90	橙3易伤2等级2伤害1时间1暴击	19等级26金币生成389易伤4时间5暴击79伤害9序列升级a核
19	11163 33236	5	   	286.90	橙3易伤2等级2伤害1时间1暴击	19等级2金币生成389易伤4时间5暴击6立即金币79伤害9序列升级a核
20	21345 41661	2	   	286.76	橙3易伤2等级2时间1伤害	18时间248易伤3加一5雷电6攻速78等级8序列升级9伤害a核
21	11163 42336	7	   	286.45	橙4易伤2等级2攻速1时间1暴击	19等级2金币生成3679易伤4时间5暴击89攻速9序列升级a核
22	25211 33221	2	 * 	284.46	橙4易伤2等级3时间	148时间2随机矿3589易伤68等级7核8序列升级a低血量敌人
23	25211 33222	2	   	284.46	橙4易伤2等级3时间	148时间2随机矿3589易伤68等级7核8序列升级a敌人爆炸
24	25211 33223	2	   	284.46	橙4易伤2等级3时间	148时间2随机矿3589易伤68等级7核8序列升级a矿等
25	25211 33225	2	   	284.46	橙4易伤2等级3时间	148时间2随机矿3589易伤68等级7核8序列升级a基地爆炸
26	25211 33242	2	   	284.46	橙4易伤2等级3时间	148时间2随机矿358a易伤68等级7核8序列升级9敌人爆炸
27	25211 33252	2	   	284.46	橙4易伤2等级3时间	148时间2随机矿358a易伤68等级7核8序列升级9最后敌人
28	25211 33263	2	   	283.48	橙3易伤2等级3时间1伤害	148时间2随机矿358易伤68等级7核8序列升级9平台a伤害
29	21125 23536	8	   	282.57	橙3易伤2伤害2时间1等级1暴击	19时间235易伤459金币生成59序列升级6等级7暴击89伤害a核
30	21121 23536	8	   	282.47	橙3易伤2伤害2时间1等级1暴击	19时间235易伤49金币生成6等级7暴击89伤害9序列升级a核
31	23453 23236	4	   	282.47	橙3易伤2伤害2时间1等级1暴击	19时间2立即金币3等级489易伤5暴击6金币生成79伤害9序列升级a核
32	12132 31511	5	   	280.96	橙3易伤3伤害2等级	18等级258易伤34双倍矿689伤害7核8序列升级a雷电
33	12323 11236	4	   	279.99	橙3易伤2等级2时间2攻速1暴击	19等级278易伤39攻速4金币生成5暴击69时间9序列升级a核
34	12326 11236	5	   	279.99	橙3易伤2等级2时间2攻速1暴击	19等级278易伤39攻速4金币生成5暴击69时间9序列升级a核
35	12325 52236	4	   	279.30	橙4易伤2等级2时间1卖塔	19等级2689易伤3攻速4金币生成59时间7卖塔9序列升级a核
36	12335 52236	2	   	279.30	橙4易伤2等级2时间1卖塔	19等级2689易伤3金币生成4攻速59时间7卖塔9序列升级a核
37	12113 12212	2	   	278.90	橙4易伤3时间1等级1暴击	1等级279a易伤346时间5暴击8核
38	12423 21236	4	   	278.71	橙5易伤2等级2暴击	19等级2789a易伤3策反4金币生成59暴击6核9序列升级
39	12426 21236	5	   	278.71	橙5易伤2等级2暴击	19等级2789a易伤3策反4金币生成59暴击6核9序列升级
40	12523 38621	1	   	278.46	橙3易伤2等级2时间1伤害	1a等级2加一3金币生成4a时间5伤害6攻速78a易伤9核a序列升级
