0	Index      	 *	Score 	Summary	Detail	Bounty	
1	34141 22263	 * 	308.00	橙3易伤2等级2伤害2时间2暴击	1随机矿27a易伤3立即金币4a等级57暴击67伤害7a序列升级8a时间9核	8
2	42313 31652	 * 	292.68	橙3易伤3伤害2时间1等级	148易伤289伤害3掉矿5雷电68时间7核8序列升级a等级	10
3	41212 33441	   	286.86	橙3易伤2等级2时间1伤害	168易伤28时间3伤害4攻速5随机矿78等级8序列升级9雷电a核	2
4	42315 31412	 * 	283.97	橙3易伤3时间1等级1伤害1核弹	19a易伤2伤害39a金币生成4等级5核弹6核7雷电89a时间9a序列升级	2
5	34141 21363	   	283.90	橙3易伤2等级2时间1伤害1暴击	1随机矿29a易伤3立即金币4a等级5暴击6伤害7核8a时间a序列升级	5
6	34141 21363	   	283.90	橙3易伤2等级2时间1伤害1暴击	1随机矿29a易伤3立即金币4a等级5暴击6伤害7核8a时间a序列升级	6
7	42143 31623	   	283.68	橙3易伤2伤害2时间1等级2雷电	189易伤28伤害3立即金币4等级5a雷电68时间7核8序列升级	8
8	33125 32363	   	282.47	橙3易伤2伤害2时间1等级1暴击	12随机矿3a时间45a易伤6等级7暴击8a伤害9核a序列升级	5
9	42313 31512	   	279.66	橙2易伤2等级2伤害2时间	14易伤2a伤害3掉矿5雷电6a时间7核8攻速9a等级a序列升级	7
10	34311 22636	 * 	278.90	橙4易伤2伤害1等级2暴击	1随机矿247a易伤3掉矿57暴击67伤害7序列升级8等级9核	10
11	42313 31623	 * 	278.43	橙4易伤2伤害2时间2雷电	1489易伤28伤害3掉矿5a雷电68时间7核8序列升级	8
12	42326 11432	 * 	278.10	橙3易伤3伤害3暴击1时间	178易伤278伤害3掉矿4时间578暴击6随机矿78序列升级9雷电a核	9
