0	Index      	 *	Score 	Summary	Detail	
1	42325 22334	 * 	402.33	DCR|3VULN|1MDPS|1CDMG|1DUR	145VULN|2MULHEA|3LHND|6CGEN|7CDMG|8RCR|9DUR|aMDPS
2	63351 53332	   	395.09	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2LHND|347VULN|5BEXP|6RCR|8ZMB|9DMG|aMDPS
3	63342 53332	   	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2LHND|357VULN|4DUST|6RCR|8ZMB|9DMG|aMDPS
4	63351 51232	   	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2LHND|348VULN|5BEXP|6RCR|7AME|9DMG|aMDPS
5	63351 53232	   	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2LHND|347VULN|5BEXP|6RCR|8ASPD|9DMG|aMDPS
6	63342 51232	   	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2LHND|358VULN|4DUST|6RCR|7AME|9DMG|aMDPS
7	63342 53232	   	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1DUR|2LHND|357VULN|4DUST|6RCR|8ASPD|9DMG|aMDPS
8	63353 13316	   	391.36	DCR|2VULN|1MDPS|1CDMG|2DUR|1DMG	18DUR|28LHND|34VULN|5CDMG|68MLV|7RCR|8BPWR|9DMG|aMDPS
9	43433 53121	   	387.48	DCR|3VULN|1MDPS|2DUR	157VULN|2LHND|39DUR|4LWND|6RCR|8DMSP|aMDPS
10	63333 53121	   	387.48	DCR|3VULN|1MDPS|2DUR	19DUR|2LHND|357VULN|4LWND|6RCR|8DMSP|aMDPS
11	63333 53421	   	387.48	DCR|3VULN|1MDPS|2DUR	19DUR|28LHND|357VULN|4LWND|6RCR|aMDPS
12	34331 26422	 * 	384.07	ACR|2MDPS|1VULN|3DUR|1CDMG|1TLV	1TLV|269DUR|3VULN|4RCR|5VENICY|7CDMG|8aMDPS
13	34332 22136	 * 	381.80	ACR|2VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR	17TLV|2DUR|38VULN|4RCR|5DMG|6CDMG|9LHND|aMDPS
14	34332 22146	   	381.80	ACR|2VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR	17TLV|2DUR|38VULN|4RCR|5DMG|6CDMG|9FEWX|aMDPS
15	34332 22121	   	381.70	ACR|2VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR	17TLV|2DUR|38VULN|4RCR|5DMG|6CDMG|9MDPS|aRMIN
16	34332 22122	   	381.70	ACR|2VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR	17TLV|2DUR|38VULN|4RCR|5DMG|6CDMG|9MDPS|aLWND
17	34332 22123	   	381.70	ACR|2VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR	17TLV|2DUR|38VULN|4RCR|5DMG|6CDMG|9MDPS|aLHND
18	34332 22124	   	381.70	ACR|2VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR	17TLV|2DUR|38VULN|4RCR|5DMG|6CDMG|9MDPS|aCGEN
19	34332 22126	   	381.70	ACR|2VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR	17TLV|2DUR|38VULN|4RCR|5DMG|6CDMG|9MDPS|aRAT
20	34332 22166	   	381.70	ACR|2VULN|1MDPS|2TLV|1CDMG|1DMG|1DUR	17TLV|2DUR|38VULN|4RCR|5DMG|6CDMG|9DUST|aMDPS
21	63353 13116	   	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2LHND|34VULN|5CDMG|68MLV|7RCR|9DMG|aMDPS
22	34341 53332	   	377.51	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2DUR|37VULN|4CGEN|5BEXP|6RCR|8ZMB|9DMG|aMDPS
23	34136 53332	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2DUR|3ERES|4FEWX|57VULN|6RCR|8ZMB|9DMG|aMDPS
24	34341 51232	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2DUR|38VULN|4CGEN|5BEXP|6RCR|7AME|9DMG|aMDPS
25	34341 53232	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2DUR|37VULN|4CGEN|5BEXP|6RCR|8ASPD|9DMG|aMDPS
26	34136 51232	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2DUR|3ERES|4FEWX|58VULN|6RCR|7AME|9DMG|aMDPS
27	34136 53232	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2DUR|3ERES|4FEWX|57VULN|6RCR|8ASPD|9DMG|aMDPS
28	63333 23266	   	375.03	DCR|3VULN|1MDPS|1DUR	1DUR|2LHND|356VULN|4LWND|7BEXP|8RCR|9FEWX|aMDPS
29	63333 23256	   	374.93	DCR|3VULN|1MDPS|1DUR|1MSE	1DUR|2LHND|356VULN|4LWND|7BEXP|8RCR|9MSE|aMDPS
30	63333 52348	   	374.83	DCR|3VULN|1MDPS|1DUR	1DUR|2LHND|359VULN|4LWND|6RCR|7MBVNT|8AME|aMDPS
31	34312 43125	 * 	373.08	DCR|1MDPS|1VULN|2TLV|2CDMG|2DUR	17TLV|27DUR|3VULN|4LWND|57CDMG|6BBNT|7BPWR|8RCR|9LHND|aMDPS
32	34312 43135	   	372.98	DCR|1MDPS|1VULN|2TLV|2CDMG|2DUR|1MSE	17TLV|27DUR|3VULN|4LWND|57CDMG|6BBNT|7BPWR|8RCR|9MSE|aMDPS
