0	Index      	 *	Score 	Summary	Detail	
1	56223 21243	 * 	378.71	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1RAT|28VULN|3MLV|4DMG|5AAC|6RCR|7CDMG|9DUR|aMDPS
2	34112 25731	 * 	374.93	DCR|3VULN|1MDPS|1DUR	1AAC|237VULN|3BPWR|4MBVNT|56LIT|8RCR|9DUR|aMDPS
3	53635 31412	 * 	359.34	DCR|DCR|2VULN|1CDMG|1DMG|1DUR	1RAT|2AAC|3DMG|4DUR|5MBVNT|68VULN|79RCR|aCDMG
4	22324 51233	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1LHND|2DMSP|3CDMG|4ZMB|58VULN|6RCR|7RAT|9DUR|aMDPS
5	31324 51243	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1AAC|2MLV|3CDMG|4ZMB|58VULN|6RCR|7RAT|9DUR|aMDPS
6	32314 51243	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1AAC|2ZMB|3CDMG|4CGEN|58VULN|6RCR|7RAT|9DUR|aMDPS
7	33324 51243	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1AAC|2CGEN|3CDMG|4ZMB|58VULN|6RCR|7RAT|9DUR|aMDPS
8	56113 21243	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1RAT|28VULN|3ASPD|4AME|5AAC|6RCR|7CDMG|9DUR|aMDPS
9	34134 22311	 * 	355.87	DCR|2MDPS|3VULN|1DUR	1AAC|238VULN|38BPWR|4aMDPS|58LWND|6RCR|78CGEN|9DUR
10	34136 22311	   	355.67	DCR|2MDPS|3VULN|1DUR	1AAC|238VULN|38BPWR|4aMDPS|5LEGI|6RCR|78CGEN|9DUR
11	12516 32231	 * 	350.53	DCR|DCR|2VULN|2DUR|1TLV	1BEXP|2LEGI|36VULN|46DUR|5RMIN|6BPWR|7TLV|8DUST|9aRCR
