0	Index      	 *	Score 	Summary	Detail	
1	36251 62311	 * 	387.79	DCR|2VULN|1MDPS|2TLV|1DUR|1AART	1ERES|23VULN|48TLV|5DUR|6AART|7AME|9RCR|aMDPS
2	36232 21153	 * 	373.95	ACR|4VULN|1MDPS|1DUR	1ERES|2357VULN|4RCR|6CGEN|8RAT|9DUR|aMDPS
3	36232 21514	   	373.95	ACR|4VULN|1MDPS|1DUR	1ERES|2357VULN|4RCR|6CGEN|8DUR|9ZMB|aMDPS
4	36232 12352	   	373.85	ACR|4VULN|1MDPS|1DUR	1ERES|2358VULN|4RCR|6LWND|7SPLARM|9DUR|aMDPS
5	36232 42352	   	373.85	ACR|4VULN|1MDPS|1DUR	1ERES|2358VULN|4RCR|6LHND|7SPLARM|9DUR|aMDPS
6	36232 52352	   	373.85	ACR|4VULN|1MDPS|1DUR	1ERES|2358VULN|4RCR|6BEXP|7SPLARM|9DUR|aMDPS
7	36252 15211	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	18ERES|23VULN|4TLV|5CGEN|6DUR|7AART|9RCR|aMDPS
8	32222 51534	 * 	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	15ERES|2CDMG|3CGEN|45DUR|5BPWR|67VULN|8RCR|9BASICY|aMDPS
9	36251 62111	   	370.80	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1ERES|23VULN|4TLV|5DUR|6AART|78AME|9RCR|aMDPS
10	36232 11641	 * 	361.03	ACR|3VULN|1MDPS|2DUR|1AART	1ERES|235VULN|4RCR|6LWND|78DUR|9AART|aMDPS
11	36232 51631	   	361.03	ACR|3VULN|1MDPS|2DUR|1AART	1ERES|235VULN|4RCR|6BEXP|78DUR|9AART|aMDPS
12	36253 53311	 * 	359.18	DCR|3VULN|2TLV|1CDMG|1DUR|1AART	157ERES|237VULN|47TLV|6AART|7BPWR|8DUR|9CDMG|aRCR
