0	Index      	 *	Score 	Summary	Detail	
1	61436 22364	 * 	239.20	紫1基础对甲2伤害2基地爆炸2暴击1全技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8时间9基础对甲a全技能
2	61436 22464	   	239.20	紫1基础对甲2伤害2基地爆炸2暴击1全技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8敌人爆炸9基础对甲a全技能
3	61436 22264	   	239.10	紫1基础对甲2伤害2基地爆炸2暴击1全技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8挖尘9基础对甲a全技能
4	61436 22361	   	233.85	紫1基础对甲2伤害2基地爆炸2暴击1技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8时间9基础对甲a技能
5	61436 22461	   	233.85	紫1基础对甲2伤害2基地爆炸2暴击1技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8敌人爆炸9基础对甲a技能
6	61436 22261	   	233.75	紫1基础对甲2伤害2基地爆炸2暴击1技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8挖尘9基础对甲a技能
7	61436 22512	 * 	228.40	紫2攻速2伤害2基地爆炸2暴击1全技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8全技能9a攻速
8	61436 22363	   	225.55	紫1基础对甲2伤害2基地爆炸2暴击	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8时间9基础对甲a金币生成
9	61436 22463	   	225.55	紫1基础对甲2伤害2基地爆炸2暴击	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8敌人爆炸9基础对甲a金币生成
10	61436 22263	   	225.45	紫1基础对甲2伤害2基地爆炸2暴击	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8挖尘9基础对甲a金币生成
11	61436 22362	   	225.45	紫1基础对甲2伤害2基地爆炸2暴击	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8时间9基础对甲a磁铁减费
12	61436 22462	   	225.45	紫1基础对甲2伤害2基地爆炸2暴击	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8敌人爆炸9基础对甲a磁铁减费
13	61436 22262	   	225.35	紫1基础对甲2伤害2基地爆炸2暴击	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8挖尘9基础对甲a磁铁减费
14	56213 11342	 * 	221.92	紫1基础对甲2攻速2易伤1伤害	17时间2核37攻速4伤害5喷火对黄67易伤7序列升级89挖尘a基础对甲
15	56213 11362	   	221.92	紫1基础对甲2攻速2易伤1伤害	17时间2核37攻速4伤害59喷火对黄67易伤7序列升级8挖尘a基础对甲
16	56213 53331	 * 	219.70	紫1基础对甲2基地爆炸1攻速1伤害	1时间2核3攻速4伤害5喷火对黄67基地爆炸8挖尘9基础对甲a易伤
17	61436 22532	   	219.12	紫2伤害2基地爆炸1攻速2暴击1全技能1技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8全技能9技能a攻速
18	56313 13162	 * 	217.51	紫3伤害1基础对甲2易伤	18时间2核358等级457伤害58序列升级68易伤9激光对冰a基础对甲
19	61436 22823	 * 	216.74	紫3基地爆炸2伤害1攻速2暴击1技能	17暴击2加一3核4雷电57a基地爆炸67伤害7序列升级8攻速9技能
20	61463 34435	 * 	215.50	紫1基础对甲1基础对冰1基地爆炸1全技能1暴击1技能	1暴击2加一3核4额外掉落5基地爆炸6易伤7基础对冰8全技能9基础对甲a技能
21	61436 24147	   	215.09	紫1基础对甲2基地爆炸1伤害1全技能1暴击	1暴击2加一3核4雷电5a基地爆炸6伤害7全技能8敌人爆炸9基础对甲
22	61436 24347	   	215.09	紫1基础对甲2基地爆炸1伤害1全技能1暴击	1暴击2加一3核4雷电5a基地爆炸6伤害7全技能8时间9基础对甲
23	61451 46323	   	214.75	紫2攻速2伤害2基地爆炸2暴击	1a暴击2加一3核4a攻速5最后敌人69基地爆炸7随机矿8a伤害a序列升级
24	56213 53333	   	212.76	紫1基础对甲2基地爆炸1攻速1伤害	1时间2核3攻速4伤害5喷火对黄67基地爆炸8挖尘9基础对甲a矿等
25	56213 53332	   	212.66	紫1基础对甲2基地爆炸1攻速1伤害	1时间2核3攻速4伤害5喷火对黄67基地爆炸8挖尘9基础对甲a技能点
26	56211 23315	   	211.77	紫1基础对甲1攻速1伤害1暴击1全技能	15时间2核3攻速4伤害6低血量敌人7暴击8全技能9额外掉落a基础对甲
27	61453 41181	 * 	211.16	紫3攻速3基地爆炸1暴击1全技能	1暴击2加一3核459攻速68a基地爆炸7全技能
28	61436 22511	   	210.82	紫2伤害2基地爆炸1攻速2暴击1全技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8全技能9攻速a低血量敌人
29	61436 22513	   	210.82	紫2伤害2基地爆炸1攻速2暴击1全技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8全技能9攻速a金币生成
30	61436 22514	   	210.82	紫2伤害2基地爆炸1攻速2暴击1全技能	17暴击2加一3核4雷电57基地爆炸67伤害7序列升级8全技能9攻速a敌人爆炸
31	61436 22534	   	210.33	紫3基地爆炸2伤害2暴击1全技能1技能	17暴击2加一3核4雷电57a基地爆炸67伤害7序列升级8全技能9技能
32	61436 22212	 * 	210.06	紫3伤害3基地爆炸3暴击	17a暴击2加一3核4雷电579基地爆炸67a伤害7a序列升级8a挖尘
33	61453 41427	   	209.43	紫2攻速2易伤1伤害1暴击1基地爆炸1全技能	1暴击2加一3核45攻速6基地爆炸7全技能8伤害9a易伤
