0	Index      	Bounty	 *	Score 	Summary	Detail	
1	38771 43332	10	 * 	310.73	橙3易伤2等级3时间2伤害	1加一29伤害358时间459易伤59序列升级69等级7全技能a核
2	38771 34233	7	 * 	308.89	橙5易伤3时间2伤害1暴击	1加一27伤害356时间45679易伤567序列升级8暴击a核
3	38771 34244	7	 * 	306.20	橙4易伤3伤害3时间1暴击	1加一279伤害356时间4567易伤567序列升级8暴击a核
4	38771 34343	7	   	303.55	橙5易伤3时间2伤害	1加一27伤害356时间45678易伤567序列升级9核a攻速
5	38771 34344	7	   	303.55	橙5易伤3时间2伤害	1加一27伤害356时间45678易伤567序列升级9核a雷电
6	38664 23113	8	 * 	303.37	橙4易伤3伤害2等级	1加一247伤害3479易伤47序列升级57等级6全技能8基地爆炸a核
7	38664 23213	8	   	303.37	橙4易伤3伤害2等级	1加一247伤害3479易伤47序列升级57等级6全技能8低血量敌人a核
8	38664 23313	8	   	303.37	橙4易伤3伤害2等级	1加一247伤害3479易伤47序列升级57等级6全技能8最后敌人a核
9	38664 23412	7	 * 	303.37	橙4易伤3伤害3等级	1加一247伤害3478易伤478序列升级578等级6全技能9核a金币生成
10	38664 23413	7	   	303.37	橙4易伤3伤害3等级	1加一247伤害3478易伤478序列升级578等级6全技能9核a敌人爆炸
11	38664 23414	7	   	303.37	橙4易伤3伤害3等级	1加一247伤害3478易伤478序列升级578等级6全技能9核a最后敌人
12	38664 23213	7	   	303.27	橙4易伤3伤害2等级	1加一247伤害3479易伤47序列升级57等级6全技能8挖尘a核
13	38664 23411	7	   	303.27	橙4易伤3伤害3等级	1加一247伤害3478易伤478序列升级578等级6全技能9核a掉矿
14	38771 31223	10	 * 	303.00	橙4易伤3时间2伤害1等级	1加一27伤害356时间456a易伤56序列升级8等级9核
15	38426 23383	7	   	298.47	橙3易伤3伤害2等级1时间	1加一278伤害37等级457易伤6全技能7序列升级9时间a核
16	11461 32332	9	 * 	297.77	橙5易伤3伤害2时间	1a基地爆炸256伤害3挖青4569a易伤56a序列升级7a时间8核
17	38771 34341	7	   	295.24	橙5易伤3时间2伤害	1加一27伤害356时间45678易伤567序列升级9核a敌人爆炸
18	38771 34342	7	   	295.24	橙5易伤3时间2伤害	1加一27伤害356时间45678易伤567序列升级9核a矿等
19	11461 32342	8	   	292.65	橙4易伤3伤害3时间	1a基地爆炸256伤害3挖青456a易伤56a序列升级79a时间8核
20	11461 32335	9	   	290.84	橙4易伤3伤害1等级1时间	1基地爆炸256伤害3挖青4569易伤56序列升级7时间8核a等级
21	38664 23133	7	   	290.63	橙3易伤3伤害2等级	1加一247伤害347易伤47序列升级57等级6全技能8金币生成9攻速a核
22	38664 23323	6	   	290.53	橙3易伤3伤害2等级	1加一248伤害348易伤48序列升级58等级6全技能7赏金塔9雷电a核
23	38664 23333	7	   	290.53	橙3易伤3伤害2等级	1加一247伤害347易伤47序列升级57等级6全技能8掉矿9攻速a核
24	38664 23243	8	   	290.09	橙3易伤3伤害2等级2全技能	1加一247伤害347易伤47序列升级57等级69全技能8低血量敌人a核
25	38664 23343	8	   	290.09	橙3易伤3伤害2等级2全技能	1加一247伤害347易伤47序列升级57等级69全技能8最后敌人a核
26	38612 51434	6	   	288.91	橙3易伤3伤害3等级1时间	1加一289伤害389易伤4平台5策反6时间789等级89序列升级a核
27	38426 23315	6	   	287.52	橙4易伤2等级2伤害	1加一28伤害38等级4589易伤6全技能7赏金塔8序列升级a核
28	38426 23425	8	   	287.52	橙4易伤2等级2伤害	1加一27伤害37等级4578易伤6全技能7序列升级9赏金邻近a核
29	31358 24232	10	   	286.80	橙5易伤3伤害3雷电	1加一278雷电35678易伤478伤害78序列升级9敌人爆炸a核
30	38771 34421	9	   	286.56	橙4易伤3时间2伤害	1加一27伤害356时间4567易伤567序列升级8全技能9双倍矿a核
