0	Index      	 *	Score 	Summary	Detail	Bounty	
1	13344 61112	 * 	312.59	橙3易伤3伤害3等级3攻速1时间	157攻速248易伤347等级478序列升级678伤害9核a时间	8
2	21315 64333	 * 	300.43	橙2易伤3伤害2等级3时间	168时间258伤害3金币生成46易伤68序列升级78等级9核a攻速	1
3	25315 24331	 * 	299.61	橙4易伤2等级2时间1伤害	18时间2348易伤5攻速6金币生成78等级8序列升级9核a伤害	3
4	13344 61111	   	296.34	橙3易伤3伤害3等级3攻速	157攻速248易伤347等级478序列升级678伤害9核a平台	8
5	13344 61113	   	296.34	橙3易伤3伤害3等级3攻速	157攻速248易伤347等级478序列升级678伤害9核a双倍矿	8
6	26152 36332	   	294.55	橙4易伤2等级2时间1暴击	1a时间2暴击359a易伤4全技能6额外掉落7a等级8核a序列升级	2
7	21315 64331	   	292.13	橙2易伤3伤害2等级3时间	168时间258伤害3a金币生成46易伤68序列升级78等级9核	1
8	21315 64332	   	292.03	橙2易伤3伤害2等级3时间	168时间258伤害3金币生成46易伤68序列升级78等级9核a赏金邻近	1
9	13341 22543	 * 	287.97	橙3易伤2等级3时间2攻速	19攻速249易伤34等级49序列升级5雷电6立即金币789时间a核	4
10	13346 25331	   	286.50	橙3易伤2等级2时间1伤害2攻速	18攻速248易伤34等级48序列升级56金币生成78时间9核a伤害	4
