0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35326 12511	8	 * 	277.67	橙4易伤1等级1伤害2暴击1时间	18基地爆炸2时间358a易伤4伤害6等级78暴击8序列升级9核
2	13241 43332	4	 * 	273.94	橙5易伤3时间2攻速	1a攻速2平台3567a易伤456时间56a序列升级8a策反9核
3	13261 43332	3	   	273.94	橙5易伤3时间2攻速	1a攻速2平台3567a易伤456时间56a序列升级8a策反9核
4	32113 11344	10	 * 	273.61	橙3易伤3伤害1等级3雷电	1基地爆炸29a易伤3金币生成4掉矿59a伤害6等级7核89a雷电9a序列升级
5	32113 11346	9	   	273.61	橙3易伤3伤害1等级3雷电	1基地爆炸29a易伤3金币生成4掉矿59a伤害6等级7核89a雷电9a序列升级
6	42113 11344	10	   	273.51	橙3易伤3伤害1等级3雷电	1挖尘29a易伤3金币生成4掉矿59a伤害6等级7核89a雷电9a序列升级
7	42113 11346	9	   	273.51	橙3易伤3伤害1等级3雷电	1挖尘29a易伤3金币生成4掉矿59a伤害6等级7核89a雷电9a序列升级
8	35335 51331	10	 * 	272.09	橙4易伤2时间1等级1伤害	1基地爆炸25时间3459易伤5序列升级6加一7核8等级a伤害
9	13231 54135	8	 * 	271.17	橙4易伤1等级3暴击3攻速	189攻速2平台3789易伤4等级5低血量敌人689暴击89序列升级a核
10	32362 33511	3	   	271.15	橙4易伤1等级1伤害1时间1暴击	1基地爆炸234a易伤5伤害6等级7暴击8时间9核
11	42362 33511	3	   	271.05	橙4易伤1等级1伤害1时间1暴击	1挖尘234a易伤5伤害6等级7暴击8时间9核
12	32362 15133	3	 * 	268.60	橙4易伤2伤害1等级1全技能	17基地爆炸2346易伤56伤害6序列升级8核9等级a全技能
13	32342 13133	4	   	268.60	橙4易伤2伤害1等级1全技能	14基地爆炸2367易伤56伤害6序列升级8核9等级a全技能
14	32662 13133	2	   	268.60	橙4易伤2伤害1等级1全技能	13基地爆炸2467易伤56伤害6序列升级8核9等级a全技能
15	42162 13133	2	   	268.40	橙4易伤2伤害1等级1全技能	13挖尘2467易伤56伤害6序列升级8核9等级a全技能
16	42332 13133	3	   	268.40	橙4易伤2伤害1等级1全技能	14挖尘2367易伤56伤害6序列升级8核9等级a全技能
17	32362 15342	3	 * 	267.33	橙5易伤2伤害1时间	17基地爆炸2346a易伤56伤害6序列升级8时间9核
18	32342 13342	4	   	267.33	橙5易伤2伤害1时间	14基地爆炸2367a易伤56伤害6序列升级8时间9核
19	32662 13342	2	   	267.33	橙5易伤2伤害1时间	13基地爆炸2467a易伤56伤害6序列升级8时间9核
20	32362 15136	3	   	267.25	橙4易伤2伤害1等级	17基地爆炸2346易伤56伤害6序列升级8核9等级a雷电
21	32342 13136	4	   	267.25	橙4易伤2伤害1等级	14基地爆炸2367易伤56伤害6序列升级8核9等级a雷电
22	32662 13136	2	   	267.25	橙4易伤2伤害1等级	13基地爆炸2467易伤56伤害6序列升级8核9等级a雷电
23	42162 13342	2	   	267.13	橙5易伤2伤害1时间	13挖尘2467a易伤56伤害6序列升级8时间9核
24	42332 13342	3	   	267.13	橙5易伤2伤害1时间	14挖尘2367a易伤56伤害6序列升级8时间9核
25	42162 13136	2	   	267.05	橙4易伤2伤害1等级	13挖尘2467易伤56伤害6序列升级8核9等级a雷电
26	42332 13136	3	   	267.05	橙4易伤2伤害1等级	14挖尘2367易伤56伤害6序列升级8核9等级a雷电
27	32362 15134	3	 * 	267.02	橙4易伤2伤害2等级	17基地爆炸2346易伤56伤害6序列升级8核9a等级
28	32342 13134	4	   	267.02	橙4易伤2伤害2等级	14基地爆炸2367易伤56伤害6序列升级8核9a等级
29	32662 13134	2	   	267.02	橙4易伤2伤害2等级	13基地爆炸2467易伤56伤害6序列升级8核9a等级
30	42162 13134	2	   	266.82	橙4易伤2伤害2等级	13挖尘2467易伤56伤害6序列升级8核9a等级
31	42332 13134	3	   	266.82	橙4易伤2伤害2等级	14挖尘2367易伤56伤害6序列升级8核9a等级
32	35333 12511	8	   	265.91	橙4易伤1等级2暴击1时间	18基地爆炸2时间348a易伤5攻速6等级78暴击8序列升级9核
