0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66213 34311	5	 * 	298.86	橙3易伤3伤害2时间2等级	1全技能2a时间34等级58a易伤67a伤害9核a序列升级
2	66213 35311	5	 * 	296.43	橙3易伤3时间2伤害2等级	1全技能27a时间34等级58a易伤6a伤害9核a序列升级
3	21136 24234	3	 * 	295.86	橙4易伤3伤害2暴击2雷电	134a易伤25暴击69a伤害7a雷电8核a序列升级
4	22154 23341	1	 * 	291.30	橙5易伤3时间3等级	1378a易伤278时间4双倍矿578等级6加一78序列升级9核
5	24154 23341	2	   	291.30	橙5易伤3时间3等级	1378a易伤278时间4双倍矿578等级6加一78序列升级9核
6	26333 16213	5	 * 	291.20	橙5易伤3时间3雷电	1459a易伤2a掉矿389雷电69a时间7核9a序列升级
7	26333 44213	7	   	291.20	橙5易伤3时间3雷电	1459a易伤2a掉矿389雷电69a时间7核9a序列升级
8	26333 46213	6	   	291.20	橙5易伤3时间3雷电	1459a易伤2a掉矿389雷电69a时间7核9a序列升级
9	66213 36311	5	   	283.21	橙3易伤2伤害2时间2等级	1全技能2a时间34等级58a易伤6a伤害7立即金币9核a序列升级
10	21162 41411	8	   	281.22	橙5易伤2时间1暴击	13569易伤2暴击47时间8核a全技能
11	21162 41611	7	   	281.22	橙5易伤2时间1暴击	13569易伤2暴击47时间8核a全技能
12	22164 23162	2	   	278.18	橙5易伤2时间2等级	13479易伤24低血量敌人47序列升级57等级67时间8核a金币生成
13	22164 23163	2	   	278.18	橙5易伤2时间2等级	13479易伤24低血量敌人47序列升级57等级67时间8核a最后敌人
14	23164 23162	1	   	278.18	橙5易伤2时间2等级	13479易伤24低血量敌人47序列升级57等级67时间8核a金币生成
15	23164 23163	1	   	278.18	橙5易伤2时间2等级	13479易伤24低血量敌人47序列升级57等级67时间8核a最后敌人
16	23124 63162	2	   	278.08	橙5易伤2时间2等级	1379a易伤24敌人爆炸57等级67时间7序列升级8核
17	22164 23134	2	   	278.08	橙5易伤2时间2等级	1347a易伤24低血量敌人47序列升级57等级67时间8核9挖尘
18	22164 23161	2	   	278.08	橙5易伤2时间2等级	13479易伤24低血量敌人47序列升级57等级67时间8核a挖尘
19	23164 23134	1	   	278.08	橙5易伤2时间2等级	1347a易伤24低血量敌人47序列升级57等级67时间8核9挖尘
20	23164 23161	1	   	278.08	橙5易伤2时间2等级	13479易伤24低血量敌人47序列升级57等级67时间8核a挖尘
21	22123 45162	1	 * 	277.98	橙5易伤2时间1伤害	1379a易伤25时间4敌人爆炸6伤害8核
22	23133 45162	2	   	277.98	橙5易伤2时间1伤害	1379a易伤2敌人爆炸45时间6伤害8核
23	21162 41413	8	 * 	277.88	橙5易伤2时间2暴击	13569易伤2a暴击47时间8核
24	21162 41613	7	   	277.88	橙5易伤2时间2暴击	13569易伤2a暴击47时间8核
25	21122 41436	10	   	277.04	橙5易伤1伤害1时间1暴击	13568易伤2暴击4基地爆炸7时间9伤害a核
26	21122 42662	7	   	277.04	橙5易伤1伤害1等级1暴击	13569易伤2暴击4基地爆炸7伤害8核a等级
27	21132 64231	3	   	276.81	橙4易伤1伤害1时间1暴击1攻速	1346易伤2暴击5攻速7雷电8核9伤害a时间
28	21135 64231	4	   	276.81	橙4易伤1伤害1时间1暴击1攻速	1356易伤2暴击4攻速7雷电8核9伤害a时间
29	21162 41412	10	   	276.58	橙4易伤2时间1等级1暴击	1356易伤2暴击47时间8核9雷电a等级
30	21134 14236	3	   	276.41	橙3易伤3伤害1等级1暴击	134易伤2暴击569伤害7雷电8核a等级
31	21162 41433	8	   	276.25	橙4易伤3时间1暴击1攻速	1356易伤2暴击47a时间8核9攻速
32	21162 41633	7	   	276.25	橙4易伤3时间1暴击1攻速	1356易伤2暴击47a时间8核9攻速
33	22131 63663	1	   	276.25	橙4易伤3时间1暴击1攻速	1379易伤25a时间4暴击6攻速8核
