0	Index      	 *	Score 	Summary	Detail	
1	21343 31344	 * 	404.67	DCR|2VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR|1SELL	1SELL|2DMG|3TLV|49VULN|5CDMG|6RCR|7DUR|8BELT|aMDPS
2	21225 41472	 * 	395.52	DCR|2MDPS|1VULN|2DMG|1DUR|1SELL	1SELL|26DMG|3RPLT|4MBVNT|5VULN|7DUR|8RCR|9aMDPS
3	12651 31321	 * 	394.99	DCR|3VULN|1MDPS|1DMG|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5DUR|6RCR|7DMG|9BEXP|aMDPS
4	22321 31523	 * 	381.10	DCR|2VULN|1MDPS|2DMG|2DUR|1SELL	1SELL|2BBNT|39VULN|4MBVNT|59DUR|6RCR|79DMG|8RPLT|9BPWR|aMDPS
5	26221 31523	 * 	381.10	DCR|2VULN|1MDPS|2DMG|2DUR|1SELL	1SELL|2MBVNT|3TBNT|49VULN|59DUR|6RCR|79DMG|8RPLT|9BPWR|aMDPS
6	26283 31523	 * 	381.10	DCR|2VULN|1MDPS|2DMG|2DUR|1SELL	1SELL|2MBVNT|3TBNT|49DUR|59VULN|6RCR|79DMG|8RPLT|9BPWR|aMDPS
7	21225 21472	 * 	377.93	DCR|2MDPS|1VULN|1DMG|1DUR|1SELL	1SELL|2DMG|3RPLT|4MBVNT|5VULN|6RCVC|7DUR|8RCR|9aMDPS
8	12651 24231	   	374.93	DCR|3VULN|1MDPS|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5DUR|6ZMB|7BEXP|9RCR|aMDPS
9	12651 61231	   	374.93	DCR|3VULN|1MDPS|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5DUR|6LHND|7ZMB|9RCR|aMDPS
10	12653 14231	   	374.93	DCR|3VULN|1MDPS|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5CGEN|6DUR|7BEXP|9RCR|aMDPS
11	12651 34321	   	374.93	DCR|3VULN|1MDPS|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5DUR|6RCR|7CGEN|9BEXP|aMDPS
12	12651 14231	   	374.83	DCR|3VULN|1MDPS|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5DUR|6ERES|7BEXP|9RCR|aMDPS
13	12651 21231	   	374.83	DCR|3VULN|1MDPS|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5DUR|6ZMB|7DUST|9RCR|aMDPS
14	12651 23231	   	374.83	DCR|3VULN|1MDPS|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5DUR|6ZMB|7AETHUN|9RCR|aMDPS
15	12653 11231	   	374.83	DCR|3VULN|1MDPS|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5CGEN|6DUR|7DUST|9RCR|aMDPS
16	12651 11231	   	374.73	DCR|3VULN|1MDPS|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5DUR|6ERES|7DUST|9RCR|aMDPS
17	12651 41231	   	374.73	DCR|3VULN|1MDPS|1DUR	1RPLT|248VULN|3TBNT|4BPWR|5DUR|6AME|7DUST|9RCR|aMDPS
