0	Index      	 *	Score 	Summary	Detail	
1	13443 43676	 * 	374.83	DCR|3VULN|1MDPS|1DUR	1LWND|2MBVNT|378VULN|4ASPD|5BOSS|6DUR|9RCR|aMDPS
2	25213 24111	 * 	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1LEGI|25VULN|3AIRARM|4DUR|6RCR|7BBNT|8CDMG|9MDPS|aSPLJET
3	25213 24112	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1LEGI|25VULN|3AIRARM|4DUR|6RCR|7BBNT|8CDMG|9MDPS|aAME
4	25213 24113	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1LEGI|25VULN|3AIRARM|4DUR|6RCR|7BBNT|8CDMG|9MDPS|aDMG
5	25213 24114	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1LEGI|25VULN|3AIRARM|4DUR|6RCR|7BBNT|8CDMG|9MDPS|aRPLT
6	25213 24115	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1LEGI|25VULN|3AIRARM|4DUR|6RCR|7BBNT|8CDMG|9MDPS|aMSE
7	25213 24116	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1LEGI|25VULN|3AIRARM|4DUR|6RCR|7BBNT|8CDMG|9MDPS|aLIT
8	12363 13748	 * 	355.57	2MDPS|3VULN|1DUR	1LWND|2BEXP|3MBVNT|457VULN|6SPLARM|8DUR|9aMDPS
9	13423 13748	   	355.57	2MDPS|3VULN|1DUR	1LWND|2MBVNT|357VULN|4BEXP|6SPLARM|8DUR|9aMDPS
10	13423 53748	   	355.57	2MDPS|3VULN|1DUR	1LWND|2MBVNT|357VULN|4BEXP|6SNITOX|8DUR|9aMDPS
11	13423 83748	   	355.57	2MDPS|3VULN|1DUR	1LWND|2MBVNT|357VULN|4BEXP|6FLTFST|8DUR|9aMDPS
12	13263 63348	   	355.47	2MDPS|3VULN|1DUR	1LWND|2MBVNT|3BLASTR|4DUST|578VULN|6DUR|9aMDPS
13	13463 13748	   	355.47	2MDPS|3VULN|1DUR	1LWND|2MBVNT|347VULN|5DUST|6SPLARM|8DUR|9aMDPS
14	16313 33348	   	355.47	2MDPS|3VULN|1DUR	1LWND|2DUST|3MBVNT|4DUR|578VULN|6LSRREG|9aMDPS
15	16313 63348	   	355.47	2MDPS|3VULN|1DUR	1LWND|2DUST|3MBVNT|4DUR|578VULN|6SPLJET|9aMDPS
16	32222 11256	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1LIT|26VULN|34ERES|5DUR|7AEFRZ|8RCR|9DMG|aMDPS
