0	Index      	 *	Score 	Summary	Detail	
1	55336 13433	 * 	392.89	DCR|2VULN|1MDPS|3DUR|2DMG	127DUR|37VULN|49RPLT|57DMG|6MBVNT|7BPWR|8RCR|aMDPS
2	35611 13161	 * 	391.84	ACR|2MDPS|2VULN|1DMG|1DUR	1VENICY|2LWND|3DUR|4RCR|5ZMB|67VULN|8DMG|9aMDPS
3	11155 13161	   	391.74	ACR|2MDPS|2VULN|1DMG|1DUR	1LWND|2RCR|3ASPD|4BLAICY|5DUR|67VULN|8DMG|9aMDPS
4	11165 13161	   	391.74	ACR|2MDPS|2VULN|1DMG|1DUR	1LWND|2RCR|3ASPD|4AIRARM|5DUR|67VULN|8DMG|9aMDPS
5	51422 33162	 * 	384.13	ACR|DCR|2VULN|1MDPS|2DUR	17DUR|29RCR|3DUST|47VULN|5LEGI|67MSLFST|7BPWR|8RCVC|aMDPS
6	51423 21162	   	371.68	ACR|DCR|2VULN|1MDPS|1DUR	1DUR|29RCR|3DUST|46VULN|5LWND|7BASHEA|8RCVC|aMDPS
7	51423 21262	   	371.68	ACR|DCR|2VULN|1MDPS|1DUR	1DUR|29RCR|3DUST|46VULN|58LWND|7BASHEA|aMDPS
8	11422 11562	   	371.68	ACR|DCR|2VULN|1MDPS|1DUR	1LWND|29RCR|3DUST|47VULN|5DMSP|6CANTOX|8DUR|aMDPS
9	11152 31561	   	371.68	ACR|2MDPS|2VULN|1DUR	1LWND|2RCR|3ASPD|4BLAICY|57VULN|6ZMB|8DUR|9aMDPS
10	11162 31561	   	371.68	ACR|2MDPS|2VULN|1DUR	1LWND|2RCR|3ASPD|4AIRARM|57VULN|6ZMB|8DUR|9aMDPS
11	55322 51213	 * 	371.58	DCR|5VULN|3DUR	128DUR|34567VULN|9RCR|aLHND
12	55322 53123	   	371.58	DCR|5VULN|3DUR	12aDUR|3456aVULN|7RCR|8aERES|9RPLT|aBPWR
13	51422 21162	   	371.58	ACR|DCR|2VULN|1MDPS|1DUR	1DUR|29RCR|3DUST|46VULN|5LEGI|7BASHEA|8RCVC|aMDPS
14	55322 51211	   	371.48	DCR|5VULN|3DUR	128DUR|34567VULN|9RCR|aMBVNT
15	55322 51212	   	371.48	DCR|5VULN|3DUR|1MSE	128DUR|34567VULN|9RCR|aMSE
