0	Index      	 *	Score 	Summary	Detail	
1	11422 56232	 * 	407.61	DCR|4VULN|3TLV|1CDMG|2DUR	135TLV|2378VULN|37BPWR|47CGEN|67DUR|9CDMG|aRCR
2	11315 31126	 * 	401.13	DCR|3VULN|1MDPS|1TLV|1DUR	1TLV|245VULN|3LIT|6DUST|7DUR|8RCR|9BEXP|aMDPS
3	11315 31136	   	401.13	DCR|3VULN|1MDPS|1TLV|1DUR	1TLV|245VULN|3LIT|6DUST|7DUR|8RCR|9LWND|aMDPS
4	11315 34326	   	401.13	DCR|3VULN|1MDPS|1TLV|1DUR	1TLV|245VULN|3LIT|6DUST|7RCR|8DUR|9BEXP|aMDPS
5	11315 34336	   	401.13	DCR|3VULN|1MDPS|1TLV|1DUR	1TLV|245VULN|3LIT|6DUST|7RCR|8DUR|9LWND|aMDPS
6	11315 31116	   	401.03	DCR|3VULN|1MDPS|1TLV|1DUR	1TLV|245VULN|3LIT|6DUST|7DUR|8RCR|9ASPD|aMDPS
7	11315 34226	   	401.03	DCR|3VULN|1MDPS|1TLV|1DUR	1TLV|245VULN|3LIT|6DUST|7RCR|8ASPD|9DUR|aMDPS
8	11315 34316	   	401.03	DCR|3VULN|1MDPS|1TLV|1DUR	1TLV|245VULN|3LIT|6DUST|7RCR|8DUR|9ASPD|aMDPS
9	11421 36151	 * 	398.76	DCR|2MDPS|3VULN|2TLV|1DUR|1MSE	13TLV|237VULN|3BPWR|4CGEN|59MDPS|6DUR|8RCR|aMSE
10	11421 36152	 * 	398.76	DCR|2MDPS|3VULN|2TLV|1DUR	13TLV|237VULN|3BPWR|4CGEN|59MDPS|6DUR|8RCR|aDUST
11	11421 36153	 * 	398.76	DCR|2MDPS|3VULN|2TLV|1CDMG|1DUR	13TLV|237VULN|3BPWR|4CGEN|59MDPS|6DUR|8RCR|aCDMG
12	11433 52126	 * 	397.80	2MDPS|2VULN|3TLV|1CDMG|2DUR|1DMG	135TLV|23VULN|3BPWR|4DMG|67DUR|8aMDPS|9CDMG
13	11423 15126	 * 	397.30	DCR|2VULN|1MDPS|3TLV|2DUR	139TLV|23VULN|39BPWR|49CGEN|5FEWX|6LWND|79DUR|8RCR|aMDPS
14	11432 32326	 * 	394.90	4VULN|1MDPS|2TLV|2DMG|1DUR	13TLV|2367VULN|36BPWR|46DMG|5TBNT|8DUR|9BBNT|aMDPS
15	11432 32356	   	394.90	4VULN|1MDPS|2TLV|2DMG|1DUR	13TLV|2367VULN|36BPWR|46DMG|5TBNT|8DUR|9DUST|aMDPS
16	11432 32361	   	394.90	4VULN|1MDPS|2TLV|2DMG|1DUR	13TLV|2367VULN|36BPWR|46DMG|5TBNT|8DUR|9MDPS|aBOSS
17	11432 32362	   	394.90	4VULN|1MDPS|2TLV|2DMG|1DUR	13TLV|2367VULN|36BPWR|46DMG|5TBNT|8DUR|9MDPS|aAAC
18	11432 32363	   	394.90	4VULN|1MDPS|2TLV|2DMG|1DUR	13TLV|2367VULN|36BPWR|46DMG|5TBNT|8DUR|9MDPS|aDUST
19	11432 32364	   	394.90	4VULN|1MDPS|2TLV|2DMG|1DUR	13TLV|2367VULN|36BPWR|46DMG|5TBNT|8DUR|9MDPS|aLWND
20	11432 32366	   	394.90	4VULN|1MDPS|2TLV|2DMG|1DUR	13TLV|2367VULN|36BPWR|46DMG|5TBNT|8DUR|9MDPS|aRAT
21	61315 31112	   	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1DMG|245VULN|3LIT|6DUST|7DUR|8RCR|9ASPD|aMDPS
22	61315 31162	   	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1DMG|245VULN|3LIT|6DUST|7DUR|8RCR|9TBNT|aMDPS
23	61315 31326	   	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1DMG|245VULN|3LIT|6DUST|7DUR|8SNITOX|9RCR|aMDPS
24	61315 34222	   	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1DMG|245VULN|3LIT|6DUST|7RCR|8ASPD|9DUR|aMDPS
25	61315 34312	   	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1DMG|245VULN|3LIT|6DUST|7RCR|8DUR|9ASPD|aMDPS
26	11434 21522	   	394.50	DCR|2VULN|1MDPS|2TLV|1DMG|1DUR	13TLV|23VULN|3BPWR|4DMG|57BEXP|6LIT|8RCR|9DUR|aMDPS
27	11434 22522	   	394.50	DCR|2VULN|1MDPS|2TLV|1DMG|1DUR	13TLV|23VULN|3BPWR|4DMG|5BEXP|67LIT|8RCR|9DUR|aMDPS
28	11436 51112	   	394.40	DCR|2VULN|1MDPS|2TLV|1DMG|1DUR	13TLV|23VULN|3BPWR|4DMG|5LIT|6RMIN|7DUR|8RCR|9ASPD|aMDPS
29	11432 45331	 * 	394.40	DCR|3VULN|3DMG|3TLV|2DUR	137TLV|239VULN|39BPWR|469DMG|5TBNT|89DUR|aRCR
30	11436 21112	   	394.30	DCR|2VULN|1MDPS|2TLV|1DMG|1DUR	13TLV|23VULN|3BPWR|4DMG|5LIT|6ERES|7DUR|8RCR|9ASPD|aMDPS
31	11314 31132	   	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|24VULN|3LIT|56BEXP|7DUR|8RCR|9CDMG|aMDPS
32	11314 34332	   	384.85	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|24VULN|3LIT|56BEXP|7RCR|8DUR|9CDMG|aMDPS
33	11421 36232	 * 	384.65	DCR|4VULN|1MDPS|2TLV|1CDMG|1DUR	13TLV|2378VULN|3BPWR|4CGEN|5MDPS|6DUR|9CDMG|aRCR
34	61433 13242	 * 	384.55	DCR|2VULN|1MDPS|3DMG|1DUR	134DMG|23VULN|3BPWR|5FEWX|6CANSTR|7LIT|8RCR|9DUR|aMDPS
35	11315 31326	 * 	381.87	DCR|DCR|3VULN|1TLV|1DUR	1TLV|245VULN|3LIT|6DUST|7DUR|8FRZARM|9aRCR
36	11432 35361	   	381.84	DCR|3VULN|3DMG|3TLV|1DUR	137TLV|236VULN|36BPWR|469DMG|5TBNT|8DUR|aRCR
37	11315 31626	   	381.77	DCR|DCR|3VULN|1TLV|1DUR	1TLV|245VULN|3LIT|6DUST|7DUR|8SPLARM|9aRCR
38	11422 56212	   	380.11	DCR|4VULN|3TLV|2DUR	135TLV|2378VULN|37BPWR|47CGEN|67DUR|9AEWIND|aRCR
39	61134 33631	   	378.08	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2VULN|3ASPD|4ZMB|5CGEN|6AEPOI|7RCR|8DUR|9aMDPS
40	61136 33631	   	377.98	DCR|2MDPS|1VULN|1DMG|1DUR	1DMG|2VULN|3ASPD|4ZMB|5ERES|6AEPOI|7RCR|8DUR|9aMDPS
