0	Index      	 *	Score 	Summary	Detail	
1	52322 26621	 * 	357.25	DCR|3VULN|1MDPS|1TLV|1DUR	1TSLFST|2BBNT|35aVULN|45LWND|5BPWR|6RCR|7DUR|8TLV|9MDPS
2	52322 26622	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1TSLFST|2BBNT|35VULN|45LWND|5BPWR|6RCR|7DUR|8TLV|9MDPS|aRMIN
3	52322 26623	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1TSLFST|2BBNT|35VULN|45LWND|5BPWR|6RCR|7DUR|8TLV|9MDPS|aBEXP
4	41162 35222	 * 	346.79	ACR|2VULN|1MDPS|2TLV|2DUR	1BOSS|2RCR|3FEWX|49VULN|58TLV|67DUR|aMDPS
5	35512 13262	 * 	344.85	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1LIT|2CDMG|38VULN|4RCR|5DUR|6CGEN|7BELT|9TLV|aMDPS
6	51512 36344	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1TSLFST|2AART|3DLOT|4MBVNT|58VULN|6DUR|7LWND|9RCR|aMDPS
7	51511 18344	   	344.49	DCR|2VULN|1MDPS|1DUR|1AART	1TSLFST|2AART|3DLOT|4MBVNT|5DUST|68VULN|7DUR|9RCR|aMDPS
8	51512 37344	   	344.49	DCR|2VULN|1MDPS|1DUR|1AART	1TSLFST|2AART|3DLOT|4MBVNT|58VULN|6DUR|7DUST|9RCR|aMDPS
9	52322 26262	 * 	343.60	DCR|2VULN|1MDPS|2DUR	1TSLFST|2BBNT|35VULN|459LWND|5BPWR|6RCR|78DUR|aMDPS
10	32316 45312	   	331.04	DCR|2VULN|1MDPS|1DUR	1LIT|2RCVC|3AEFRZ|4DUR|56VULN|7RCR|8MBVNT|9MLV|aMDPS
11	52322 23166	   	331.04	DCR|2VULN|1MDPS|1DUR	1TSLFST|2BBNT|35VULN|45LWND|5BPWR|6RCR|7RAT|8CANTOX|9DUR|aMDPS
12	52322 23266	   	331.04	DCR|2VULN|1MDPS|1DUR	1TSLFST|2BBNT|35VULN|45LWND|5BPWR|6RCR|7RAT|8DUR|9SPLREG|aMDPS
13	52322 26162	   	331.04	DCR|2VULN|1MDPS|1DUR	1TSLFST|2BBNT|35VULN|459LWND|5BPWR|6RCR|7DUR|8AEWIND|aMDPS
14	53313 63216	   	330.94	DCR|2VULN|1MDPS|1DUR	1TSLFST|2AEPOI|3DUR|45VULN|6RAT|7LIT|8RCR|9DUST|aMDPS
15	53313 63263	   	330.94	DCR|2VULN|1MDPS|1DUR	1TSLFST|2AEPOI|3DUR|45VULN|6RAT|7LIT|8RCR|9AME|aMDPS
16	32316 45322	   	330.94	DCR|2VULN|1MDPS|1DUR	1LIT|2RCVC|3AEFRZ|4DUR|56VULN|7RCR|8MBVNT|9ASPD|aMDPS
17	42321 16521	   	330.94	DCR|2VULN|1MDPS|1DUR	1BOSS|2TBNT|3LIT|46AME|56VULN|6BPWR|7DUR|8RCR|9MDPS|aRCVC
18	42321 16522	   	330.94	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2TBNT|3LIT|46AME|56VULN|6BPWR|7DUR|8RCR|9MDPS|aDMG
19	42321 16523	   	330.94	DCR|3VULN|1MDPS|1DUR	1BOSS|2TBNT|3LIT|46AME|56aVULN|6BPWR|7DUR|8RCR|9MDPS
20	42321 36521	   	330.94	DCR|2VULN|1MDPS|1DUR	1BOSS|2TBNT|3LIT|4AME|56VULN|7DUR|8RCR|9MDPS|aRCVC
21	42321 36522	   	330.94	DCR|2VULN|1MDPS|1DMG|1DUR	1BOSS|2TBNT|3LIT|4AME|56VULN|7DUR|8RCR|9MDPS|aDMG
22	42321 36523	   	330.94	DCR|3VULN|1MDPS|1DUR	1BOSS|2TBNT|3LIT|4AME|56aVULN|7DUR|8RCR|9MDPS
23	53314 22344	   	330.94	DCR|2VULN|1MDPS|1DUR	1TSLFST|2AEPOI|3DUR|48VULN|5LIT|6BEXP|7MBVNT|9RCR|aMDPS
24	53364 12344	   	330.94	DCR|2VULN|1MDPS|1DUR	1TSLFST|2AEPOI|3DUR|4BEXP|5LIT|68VULN|7MBVNT|9RCR|aMDPS
25	53314 16444	   	330.84	DCR|2VULN|1MDPS|1DUR	1TSLFST|2AEPOI|3DUR|46VULN|5LIT|7MBVNT|8DUST|9RCR|aMDPS
26	44311 12315	 * 	328.74	3VULN|1MDPS|1CDMG|1TLV|1DUR	1BOSS|259VULN|3RAT|4MLV|6TLV|7DUR|8CDMG|aMDPS
27	44321 62221	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	1BOSS|257VULN|3RAT|4TLV|6DUR|8CDMG|9MDPS|aAME
28	44321 62222	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR	1BOSS|257VULN|3RAT|4TLV|6DUR|8CDMG|9MDPS|aDMG
29	44321 62223	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	1BOSS|257VULN|3RAT|4TLV|6DUR|8CDMG|9MDPS|aFEWX
