0	Index      	 *	Score 	Summary	Detail	
1	26633 33214	 * 	407.75	橙3易伤1双倍秒伤2时间1伤害	19时间29金币生成3伤害458易伤6核79基地爆炸9序列升级a双倍秒伤
2	12321 36325	 * 	405.48	橙橙1双倍秒伤1易伤1暴击1伤害1时间	1多重对愈2伤害3暴击4赏金塔5易伤69核7时间8寒冰对甲a双倍秒伤
3	62321 36325	   	405.48	橙橙1双倍秒伤1易伤1暴击1伤害1时间	1加农对壮2伤害3暴击4赏金塔5易伤69核7时间8寒冰对甲a双倍秒伤
4	21253 11213	 * 	390.78	紫3易伤1双倍秒伤2等级2时间	19时间2核36最后敌人489易伤5随机矿79等级9序列升级a双倍秒伤
5	21356 21213	   	390.68	紫3易伤1双倍秒伤2等级2时间	19时间2核3随机矿489易伤5低血量敌人6风暴减费79等级9序列升级a双倍秒伤
6	22463 35223	 * 	386.79	橙2易伤1双倍秒伤2等级2时间	17时间2最后敌人39等级4金币生成58易伤6核a双倍秒伤
7	22443 35223	   	386.69	橙2易伤1双倍秒伤2等级2时间	17时间2最后敌人39等级4掉矿58易伤6核a双倍秒伤
8	26122 66213	 * 	383.51	橙2易伤1双倍秒伤2暴击2时间1卖塔	19时间29金币生成3敌人爆炸48易伤5卖塔6核79暴击9序列升级a双倍秒伤
9	12231 63533	 * 	382.54	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9敌人爆炸a双倍秒伤
10	12231 63553	   	382.54	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9最后敌人a双倍秒伤
11	62231 63533	   	382.54	橙2易伤1双倍秒伤2伤害1时间1全技能	18加农对壮28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9敌人爆炸a双倍秒伤
12	12231 63511	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9双倍秒伤a低血量敌人
13	12231 63512	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9双倍秒伤a技能点
14	12231 63513	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9双倍秒伤a基地爆炸
15	12231 63514	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9双倍秒伤a火球减费
16	12231 63515	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9双倍秒伤a喷火对黄
17	12231 63516	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能1卖塔	18多重对愈28伤害3全技能4时间5寒冰对冰6核78易伤8序列升级9双倍秒伤a卖塔
18	12232 63533	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9敌人爆炸a双倍秒伤
19	12232 63553	   	382.44	橙2易伤1双倍秒伤2伤害1时间1全技能	18多重对愈28伤害3全技能4时间5导弹对黄6核78易伤8序列升级9最后敌人a双倍秒伤
