0	Index      	 *	Score 	Summary	Detail	
1	41431 21423	 * 	268.99	DCR|DCR|2VULN|1TLV|1AART|1AAC	1CGEN|2AAC|3TLV|4RAT|5AART|69RCR|7BEXP|8aVULN
2	31611 24421	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1RAT|2LWND|3ZMB|4AEBURN|5AART|69RCR|7DUR|8VULN|aTLV
3	31631 24421	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1RAT|2LWND|3ZMB|4AEFRZ|5AART|69RCR|7DUR|8VULN|aTLV
4	31314 46121	 * 	250.30	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1RAT|2LWND|3FEWX|4DUR|5DMG|6CDMG|79RCR|8VULN|aCGEN
5	31314 46122	   	250.30	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1RAT|2LWND|3FEWX|4DUR|5DMG|6CDMG|79RCR|8VULN|aBEXP
6	31314 46123	   	250.30	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1RAT|2LWND|3FEWX|4DUR|5DMG|6CDMG|79RCR|8VULN|aDMSP
7	31115 66121	   	249.63	DCR|DCR|2VULN|1CDMG	1RAT|2LWND|3CDMG|48VULN|5ASPD|6AETHUN|79RCR|aFEWX
8	31115 66122	   	249.63	DCR|DCR|2VULN|1CDMG	1RAT|2LWND|3CDMG|48VULN|5ASPD|6AETHUN|79RCR|aBEXP
9	31115 66123	   	249.53	DCR|DCR|2VULN|1CDMG	1RAT|2LWND|3CDMG|48VULN|5ASPD|6AETHUN|79RCR|aDUST
10	53222 11116	 * 	248.60	DCR|2VULN|3DMG|3DUR|2ASPD	1RCVC|29VULN|3BBNT|467DUR|569DMG|69BPWR|89ASPD|aRCR
11	21522 22321	 * 	245.30	DCR|2VULN|3DUR|2DMG|3CDMG	18AEFBLL|29DMG|389CDMG|46VULN|5FLTHEA|789DUR|89BPWR|aRCR
12	31641 21421	   	242.79	DCR|DCR|1VULN|1TLV|1AART	1RAT|2LWND|34ZMB|5AART|69RCR|7BEXP|8VULN|aTLV
13	31611 21421	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1RAT|2LWND|3ZMB|4AEBURN|5AART|69RCR|7BEXP|8VULN|aTLV
14	31631 21421	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1RAT|2LWND|3ZMB|4AEFRZ|5AART|69RCR|7BEXP|8VULN|aTLV
15	41431 21421	   	242.69	DCR|DCR|1VULN|1TLV|1AART|1AAC	1CGEN|2AAC|3TLV|4RAT|5AART|69RCR|7BEXP|8VULN|aAME
16	41431 21422	   	242.69	DCR|DCR|1VULN|1TLV|1AART|1AAC	1CGEN|2AAC|3TLV|4RAT|5AART|69RCR|7BEXP|8VULN|aERES
17	23548 23347	   	242.39	DCR|DCR|2VULN|1CDMG	1AEFBLL|2BBNT|3MBVNT|4ERES|5CDMG|6aRCR|7LWND|89VULN
