0	Index      	 *	Score 	Summary	Detail	
1	55231 62121	 * 	276.04	DCR|4VULN|2TLV|2MLV|2DUR	137aVULN|2RPLT|48DUR|5aMLV|6RCR|9aTLV|aBPWR
2	33146 32531	 * 	270.17	DCR|DCR|2DMG|1TLV|2CDMG|1MLV	1LIT|28CDMG|39DMG|4TLV|5MLV|6aRCR|7AEBURN
3	52223 14611	 * 	269.20	DCR|3VULN|2TLV|2DUR|1DMG|2CDMG	17aVULN|27DUR|3RMIN|4aCDMG|5DMG|67TLV|7aBPWR|8RCR|9aCGEN
4	52223 14621	 * 	269.15	DCR|3VULN|3TLV|2DUR|1DMG|1CDMG	17aVULN|27DUR|3RMIN|4CDMG|5DMG|679TLV|7BPWR|8RCR
5	13132 14432	 * 	264.81	DCR|DCR|2VULN|1DMG|1MLV	1LHND|2DMG|3FEWX|4aVULN|5LIT|6LWND|78RCR|9MLV
6	13132 24432	   	264.81	DCR|DCR|2VULN|1DMG|1MLV	1LHND|2DMG|3FEWX|4aVULN|5LIT|6BEXP|78RCR|9MLV
7	13132 14434	 * 	264.81	DCR|DCR|1VULN|1FLTARM|1DMG|1MLV	1LHND|2DMG|3FEWX|4VULN|5LIT|6LWND|78RCR|9MLV|aFLTARM
8	13132 24434	   	264.81	DCR|DCR|1VULN|1FLTARM|1DMG|1MLV	1LHND|2DMG|3FEWX|4VULN|5LIT|6BEXP|78RCR|9MLV|aFLTARM
9	13232 21432	   	264.71	DCR|DCR|2VULN|1DMG|1MLV	1LHND|2DMG|3LWND|4aVULN|5LIT|68RCR|7DUST|9MLV
10	53142 21432	   	264.71	DCR|DCR|2VULN|1DMG|1MLV	1aVULN|2DMG|3FEWX|4LWND|5LIT|68RCR|7DUST|9MLV
11	53242 21432	   	264.71	DCR|DCR|2VULN|1DMG|1MLV	1aVULN|2DMG|3LHND|4LWND|5LIT|68RCR|7DUST|9MLV
12	13232 21434	   	264.71	DCR|DCR|1VULN|1FLTARM|1DMG|1MLV	1LHND|2DMG|3LWND|4VULN|5LIT|68RCR|7DUST|9MLV|aFLTARM
13	43125 51211	 * 	264.60	DCR|2VULN|3TLV|3DUR|3CDMG|1AART	1AART|238TLV|4RMIN|59VULN|689DUR|789CDMG|89BPWR|aRCR
14	44434 18134	 * 	258.03	DCR|DCR|1VULN|2MLV|1DUR|1AART	1AART|2MBVNT|3BOSS|45MLV|68RCR|7RPLT|9DUR|aVULN
15	33611 32661	 * 	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1LIT|2CDMG|3TBNT|4VULN|5DUR|6TLV|7RMIN|8aRCR|9BEXP
16	33611 32611	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1LIT|2CDMG|3TBNT|4VULN|5DUR|6TLV|7RMIN|8aRCR|9AETHUN
17	33611 36631	   	256.24	DCR|DCR|1VULN|1TLV|1CDMG|1DUR	1LIT|2CDMG|3TBNT|4VULN|5DUR|6TLV|7ERES|8aRCR|9BEXP
18	53516 33231	 * 	256.14	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3ASPD|4LIT|5ZMB|69RCR|7TLV|8CGEN|aRPLT
19	53516 33232	   	256.14	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3ASPD|4LIT|5ZMB|69RCR|7TLV|8CGEN|aRAT
20	53516 33233	   	256.14	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3ASPD|4LIT|5ZMB|69RCR|7TLV|8CGEN|aMGNSTR
21	53621 61112	 * 	256.09	DCR|3VULN|2DMG|2DUR|1TLV	13aVULN|23DMG|3BPWR|4TLV|5FRZICY|69DUR|7RCR|8TBNT
22	53623 61112	   	255.99	DCR|3VULN|2DMG|2DUR|1TLV	13aVULN|23DMG|3BPWR|4TLV|5LSRREG|69DUR|7RCR|8TBNT
23	33145 32531	   	254.56	DCR|DCR|2DMG|1TLV|2CDMG	1LIT|28CDMG|39DMG|4TLV|5RMIN|6aRCR|7AEBURN
24	13132 14423	 * 	254.24	DCR|DCR|2DMG|1VULN|1DUR	1LHND|2aDMG|3FEWX|4VULN|5LIT|6LWND|78RCR|9DUR
25	13232 21423	   	254.14	DCR|DCR|2DMG|1VULN|1DUR	1LHND|2aDMG|3LWND|4VULN|5LIT|68RCR|7DUST|9DUR
26	53242 21423	   	254.14	DCR|DCR|2DMG|1VULN|1DUR	1VULN|2aDMG|3LHND|4LWND|5LIT|68RCR|7DUST|9DUR
27	13132 14433	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1LHND|2DMG|3FEWX|4VULN|5LIT|6LWND|78RCR|9MLV|aDUR
28	13132 14435	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1LHND|2DMG|3FEWX|4VULN|5LIT|6LWND|78RCR|9MLV|aAAC
29	13132 24433	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1LHND|2DMG|3FEWX|4VULN|5LIT|6BEXP|78RCR|9MLV|aDUR
30	13132 24435	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1LHND|2DMG|3FEWX|4VULN|5LIT|6BEXP|78RCR|9MLV|aAAC
31	13232 21433	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1LHND|2DMG|3LWND|4VULN|5LIT|68RCR|7DUST|9MLV|aDUR
32	13232 21435	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1LHND|2DMG|3LWND|4VULN|5LIT|68RCR|7DUST|9MLV|aAAC
33	53142 21433	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1VULN|2DMG|3FEWX|4LWND|5LIT|68RCR|7DUST|9MLV|aDUR
34	53242 21433	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1VULN|2DMG|3LHND|4LWND|5LIT|68RCR|7DUST|9MLV|aDUR
35	52223 13325	 * 	251.87	DCR|2VULN|2MLV|1TLV|1DMG|2CDMG|1DUR	19VULN|2DUR|3RMIN|49CDMG|5DMG|6TLV|79MLV|8BBNT|9BPWR|aRCR
36	34413 21432	   	251.58	DCR|DCR|2VULN|1MLV	1LIT|2FEWX|3ASPD|4aVULN|5LWND|68RCR|7DUST|9MLV
37	55253 13322	 * 	250.73	DCR|3VULN|2TLV|2MLV|1DMG|1AAC	139VULN|2RPLT|4AAC|5DMG|69TLV|79MLV|8BBNT|9BPWR|aRCR
38	53621 32422	   	250.68	DCR|3VULN|2DMG|1TLV|1AART	139VULN|23DMG|3BPWR|4TLV|5FRZICY|6ASPD|7RCR|8LWND|aAART
39	53621 32511	   	250.68	DCR|3VULN|2DMG|1TLV|1DUR	13aVULN|23DMG|3BPWR|4TLV|5FRZICY|6ASPD|7RCR|8FEWX|9DUR
40	53623 32422	   	250.58	DCR|3VULN|2DMG|1TLV|1AART	139VULN|23DMG|3BPWR|4TLV|5LSRREG|6ASPD|7RCR|8LWND|aAART
41	53623 32511	   	250.58	DCR|3VULN|2DMG|1TLV|1DUR	13aVULN|23DMG|3BPWR|4TLV|5LSRREG|6ASPD|7RCR|8FEWX|9DUR
42	13132 24421	   	250.30	DCR|DCR|1VULN|1DMG|1AART|1DUR	1LHND|2DMG|3FEWX|4VULN|5LIT|6BEXP|78RCR|9DUR|aAART
