0	Index      	 *	Score 	Summary	Detail	
1	53422 53121	 * 	288.86	DCR|DCR|2VULN|2DUR|1DMG|1CDMG	1TBNT|27VULN|34DUR|5DMG|6aRCR|8FEWX|9CDMG
2	53421 52321	 * 	288.86	DCR|DCR|1VULN|2DUR|1TLV|1DMG|1CDMG	1TBNT|2VULN|34DUR|5TLV|6aRCR|7CDMG|8DMG|9CGEN
3	53422 52331	 * 	280.24	DCR|DCR|2DMG|1VULN|2DUR|1CDMG	1TBNT|2VULN|34DUR|58DMG|6aRCR|7CDMG|9FEWX
4	36615 22434	 * 	279.03	DCR|DCR|2TLV|1VULN|2DUR|1CDMG	1MBVNT|25DUR|3CDMG|4TBNT|6VULN|7aRCR|89TLV
5	31345 71184	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MBVNT|2RMIN|35VULN|4TBNT|6MLV|7DUR|89RCR|aDMG
6	33445 71184	   	278.16	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1MBVNT|25VULN|3AME|4TBNT|6MLV|7DUR|89RCR|aDMG
7	33531 26184	   	278.16	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1MBVNT|2VULN|3TLV|4DUR|5MDPS|6LEGI|7MLV|89RCR|aDMG
8	33226 26182	 * 	277.38	DCR|DCR|3VULN|2DUR	1MBVNT|24aVULN|3aLHND|5DMSP|6aDUR|7TBNT|89RCR|aBPWR
9	33226 51182	   	277.38	DCR|DCR|3VULN|2DUR	1MBVNT|24aVULN|3aLHND|5DMSP|6BBNT|7aDUR|89RCR|aBPWR
10	33227 36182	   	277.38	DCR|DCR|3VULN|2DUR	1MBVNT|24aVULN|3aLHND|5aDUR|6RCVC|7TBNT|89RCR|aBPWR
11	33227 46182	   	277.38	DCR|DCR|3VULN|2DUR	1MBVNT|24aVULN|36aLHND|5aDUR|7TBNT|89RCR|aBPWR
12	53511 53121	 * 	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1TBNT|27VULN|3CGEN|4ASPD|5TLV|6aRCR|8FEWX|9CDMG
13	22311 53421	   	275.57	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1MLV|2BEXP|3TBNT|4ASPD|58TLV|6aRCR|7VULN|9CDMG
14	24311 53421	   	275.57	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1MLV|2LWND|3TBNT|4ASPD|58TLV|6aRCR|7VULN|9CDMG
15	25311 53421	   	275.57	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1MLV|2LHND|3TBNT|4ASPD|58TLV|6aRCR|7VULN|9CDMG
16	33821 83184	   	275.01	DCR|DCR|2VULN|2DUR|1DMG	1MBVNT|26VULN|3TBNT|47DUR|5DUST|89RCR|aDMG
17	51121 53421	   	273.61	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1TBNT|2ASPD|3DUR|4CGEN|58TLV|6aRCR|7VULN|9CDMG
18	51131 53421	   	273.51	DCR|DCR|2TLV|1VULN|1DUR|1CDMG	1TBNT|2ASPD|3DUR|4ERES|58TLV|6aRCR|7VULN|9CDMG
19	35633 12134	 * 	272.99	DCR|DCR|2TLV|1VULN|2CDMG|1AART	1MBVNT|2LHND|36CDMG|46TLV|5AART|6BPWR|7VULN|8DUST|9aRCR
20	36532 12217	   	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AART|1AAC	1MBVNT|2DUR|3TLV|4AART|5AAC|6LWND|7aRCR|8VULN|9MLV
21	33151 31437	 * 	271.24	DCR|DCR|3VULN|1DMG	1MBVNT|29aVULN|3DMG|4aAEFRZ|5BOSS|68RCR|7aLHND|aBPWR
22	33151 31436	   	271.14	DCR|DCR|3VULN|1DMG	1MBVNT|29aVULN|3DMG|4AEFRZ|5BOSS|68RCR|7LHND
23	33582 44453	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1MBVNT|26VULN|3TLV|4RMIN|5RCVC|7MLV|8FEWX|9aRCR
24	51114 53121	   	269.89	DCR|DCR|2VULN|2ASPD|1DUR|1CDMG	1TBNT|24ASPD|3DUR|57VULN|6aRCR|8FEWX|9CDMG
