0	Index      	 *	Score 	Summary	Detail	
1	16524 13111	 * 	271.93	DCR|DCR|2DMG|2TLV|2CDMG	1aTLV|2DMSP|3ASPD|4aDMG|5ERES|6AEWIND|7aCDMG|89RCR|aBPWR
2	36633 41452	 * 	271.85	DCR|DCR|2VULN|1MLV|1DUR|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8LHND|aDUR
3	15511 31151	 * 	259.34	DCR|DCR|2TLV|1VULN|1DMG	18TLV|2RAT|3AME|4DMG|5RPLT|6MDPS|7aRCR|9VULN
4	23224 12641	   	258.84	DCR|DCR|2VULN|1MSLTOX|1CDMG	1TBNT|2CDMG|3LIT|4aVULN|5AEFBLL|6RPLT|78RCR|9MSLTOX
5	23231 12641	   	258.84	DCR|DCR|2VULN|1MSLTOX|1CDMG	1TBNT|2CDMG|3LIT|4AEPOI|5aVULN|6RPLT|78RCR|9MSLTOX
6	23224 12642	   	258.84	DCR|DCR|1VULN|1TLV|1MSLTOX|1CDMG	1TBNT|2CDMG|3LIT|4VULN|5AEFBLL|6RPLT|78RCR|9MSLTOX|aTLV
7	23231 12642	   	258.84	DCR|DCR|1VULN|1TLV|1MSLTOX|1CDMG	1TBNT|2CDMG|3LIT|4AEPOI|5VULN|6RPLT|78RCR|9MSLTOX|aTLV
8	36633 41151	   	258.20	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8BEXP|aLHND
9	36633 41154	   	258.20	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8BEXP|aRPLT
10	36633 41251	   	258.20	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8FEWX|aLHND
11	36633 41254	   	258.20	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8FEWX|aRPLT
12	36633 41453	   	258.20	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8LHND|aRMIN
13	36633 41152	   	258.10	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8BEXP|aBBNT
14	36633 41153	   	258.10	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8BEXP|aAME
15	36633 41252	   	258.10	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8FEWX|aBBNT
16	36633 41253	   	258.10	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8FEWX|aAME
17	36633 41451	   	258.10	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8LHND|aLEGI
18	36633 41454	   	258.10	DCR|DCR|2VULN|1MLV|1AART	1MDPS|2MLV|34VULN|5MBVNT|6AART|79RCR|8LHND|aBBNT
19	31341 41162	   	257.99	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MDPS|2AEFBLL|3TLV|4VULN|5CDMG|6aRCR|7DUST|8MLV|9VENFST
20	36243 41452	 * 	257.93	DCR|DCR|1VULN|2MLV|1DUR|1AART	1MDPS|23MLV|3BPWR|4VULN|5MBVNT|6AART|79RCR|8LHND|aDUR
21	15351 13123	 * 	255.14	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1TLV|28RAT|37VULN|4DMG|59RCR|6LIT|aCDMG
22	15351 13124	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AART	1TLV|28RAT|37VULN|4DMG|59RCR|6LIT|aAART
23	14321 22463	 * 	254.94	DCR|DCR|1VULN|1TLV|3CDMG	1TLV|2ERES|3LWND|478CDMG|5AME|69RCR|aVULN
24	16524 13112	   	253.10	DCR|DCR|1TLV|1DMG|1MLV|1CDMG	1TLV|2DMSP|3ASPD|4DMG|5ERES|6AEWIND|7CDMG|89RCR|aMLV
25	23231 12644	   	252.70	DCR|DCR|1VULN|1DMG|1MSLTOX|1CDMG	1TBNT|2CDMG|3LIT|4AEPOI|5VULN|6RPLT|78RCR|9MSLTOX|aDMG
26	23224 12625	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1TBNT|2CDMG|3LIT|4VULN|5AEFBLL|6RPLT|78RCR|9DMG|aMLV
27	23231 12625	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1TBNT|2CDMG|3LIT|4AEPOI|5VULN|6RPLT|78RCR|9DMG|aMLV
28	65133 11621	   	249.20	DCR|DCR|1VULN|1TLV|1DMG	1CGEN|2RAT|3RPLT|4BEXP|5TLV|6DMG|7VULN|8aRCR|9FEWX
29	15131 31621	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2RAT|3RPLT|4BEXP|5DMG|6AME|7VULN|8aRCR|9FEWX
30	15136 11621	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2RAT|3RPLT|4BEXP|5AME|6DMG|7VULN|8aRCR|9FEWX
