0	Index      	 *	Score 	Summary	Detail	
1	42153 23135	 * 	262.70	DCR|DCR|1TLV|3CDMG|1FLTARM|1DUR	1DUR|2TLV|367CDMG|4DUST|5MDPS|8aRCR|9FLTARM
2	12223 31555	 * 	251.38	DCR|DCR|3VULN	138RAT|235ZMB|35BPWR|457VULN|6SPLARM|9aRCR
3	22255 31343	 * 	242.69	DCR|DCR|1VULN|1TLV|1AART|1AAC	1TBNT|2RCVC|3AAC|4LIT|5TLV|6AART|79RCR|8LWND|aVULN
4	32435 33354	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1BEXP|2TLV|3VENTOX|4RPLT|5AART|6MBVNT|7VULN|8DUST|9aRCR
5	32635 33354	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1BEXP|2TLV|3MULARM|4RPLT|5AART|6MBVNT|7VULN|8DUST|9aRCR
6	12263 53623	 * 	240.89	DCR|DCR|2DMG|1VULN	138RAT|238ZMB|38BPWR|4BEXP|5VULN|68DMG|79RCR|aBOSS
7	12243 53623	   	240.79	DCR|DCR|2DMG|1VULN	138RAT|238ZMB|38BPWR|4DUST|5VULN|68DMG|79RCR|aBOSS
8	12263 53621	   	240.79	DCR|DCR|2DMG|1VULN	138RAT|238ZMB|38BPWR|4BEXP|5VULN|68DMG|79RCR|aTBNT
9	12263 53622	   	240.79	DCR|DCR|2DMG|1VULN	138RAT|238ZMB|38BPWR|4BEXP|5VULN|68DMG|79RCR|aLEGI
10	12243 53621	   	240.69	DCR|DCR|2DMG|1VULN	138RAT|238ZMB|38BPWR|4DUST|5VULN|68DMG|79RCR|aTBNT
11	12243 53622	   	240.69	DCR|DCR|2DMG|1VULN	138RAT|238ZMB|38BPWR|4DUST|5VULN|68DMG|79RCR|aLEGI
12	32112 23464	 * 	234.97	ACR|DCR|1VULN|1FLTARM|1TLV|1CDMG	1BEXP|2TLV|3CDMG|4aRCR|5FLTARM|6FEWX|7VULN|8ZMB|9DUST
13	42116 26212	 * 	234.29	ACR|DCR|3DUR|1TLV|1DMG|1CDMG|1AAC	19aDUR|2TLV|3CDMG|48RCR|5AAC|6ERES|7DMG
