0	Index      	 *	Score 	Summary	Detail	
1	33211 32163	 * 	250.98	DCR|DCR|3VULN	1CANARM|2MDPS|3RAT|46aVULN|5BEXP|7BBNT|89RCR
2	12364 32361	 * 	249.53	DCR|DCR|1VULN|1FLTARM|1AART	1DUST|2LHND|3RAT|4AART|5FLTARM|69RCR|7BBNT|8ASPD|aVULN
3	14334 32361	   	249.53	DCR|DCR|1VULN|1FLTARM|1AART	1DUST|2AART|3LHND|4RAT|5FLTARM|69RCR|7BBNT|8ASPD|aVULN
4	51334 11118	 * 	249.00	DCR|DCR|2VULN|1DMG	1LHND|2RCVC|37VULN|4BEXP|5MDPS|6aRCR|8DMG|9MBVNT
5	52334 11118	   	249.00	DCR|DCR|2VULN|1DMG	12LHND|37VULN|4BEXP|5MDPS|6aRCR|8DMG|9MBVNT
6	11161 32634	 * 	248.62	ACR|DCR|2VULN|1TLV|1AART|1CDMG	1DUST|2RCVC|3aRCR|4TLV|5CDMG|6AART|79VULN|8LIT
7	42312 11122	 * 	245.74	DCR|3VULN|3DMG|2DUR	19DUR|2LHND|379VULN|4BEXP|5FEWX|6RCR|89aDMG|9BPWR
8	43312 11122	   	245.74	DCR|3VULN|3DMG|2DUR	19DUR|2LWND|379VULN|4BEXP|5FEWX|6RCR|89aDMG|9BPWR
9	42314 11122	   	245.64	DCR|3VULN|3DMG|2DUR	19DUR|2LHND|379VULN|4BEXP|5DUST|6RCR|89aDMG|9BPWR
10	43314 11122	   	245.64	DCR|3VULN|3DMG|2DUR	19DUR|2LWND|379VULN|4BEXP|5DUST|6RCR|89aDMG|9BPWR
11	16262 21512	   	240.65	DCR|DCR|1DMG|1MLV|1AAC|1DUR|1AART	1DUST|2DMG|3MLV|4DUR|5AAC|69RCR|7ASPD|8RAT|aAART
12	16532 21513	 * 	239.55	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1DUST|2DMG|3TLV|4FEWX|5AAC|69RCR|7ASPD|8RAT|aMLV
13	11332 26338	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2RCVC|3VULN|4FEWX|5DMG|6aRCR|7LHND|8MBVNT|9MLV
14	62332 26338	   	238.30	DCR|DCR|1VULN|1DMG|1MLV	1AEFBLL|2DUST|3VULN|4FEWX|5DMG|6aRCR|7LHND|8MBVNT|9MLV
15	16532 21512	   	237.60	DCR|DCR|1TLV|1DMG|1AART|1AAC	1DUST|2DMG|3TLV|4FEWX|5AAC|69RCR|7ASPD|8RAT|aAART
16	11611 22632	 * 	237.01	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	18DUST|2RCVC|3TLV|48DMG|5CANARM|6MLV|78VULN|8BPWR|9DUR|aRCR
17	44332 32361	   	236.98	DCR|DCR|1VULN|1DUR|1AART	1DUR|2AART|3LHND|4RAT|5CANTOX|69RCR|7BBNT|8ASPD|aVULN
18	62161 22623	   	234.97	ACR|DCR|2VULN|1TLV|1CDMG	1AEFBLL|2aDUST|39RCR|4TLV|5CDMG|6aVULN|7MGNSTR|8aLIT|aBPWR
19	16262 21511	   	233.61	DCR|DCR|1DMG|1MLV|1AAC|1DUR|2ASPD	1DUST|2DMG|3MLV|4DUR|5AAC|69RCR|7aASPD|8RAT
20	54312 11122	   	233.29	DCR|3VULN|3DMG|1DUR	19LHND|2DUR|379VULN|4BEXP|5FEWX|6RCR|89aDMG|9BPWR
21	54314 11122	   	233.19	DCR|3VULN|3DMG|1DUR	19LHND|2DUR|379VULN|4BEXP|5DUST|6RCR|89aDMG|9BPWR
22	43232 16312	 * 	232.09	DCR|2FLTARM|1VULN|2DUR|1TLV|1AART	16DUR|2LWND|3BELT|4TLV|58FLTARM|7VULN|9AART|aRCR
23	16532 21511	   	230.56	DCR|DCR|1TLV|1DMG|2ASPD|1AAC	1DUST|2DMG|3TLV|4FEWX|5AAC|69RCR|7aASPD|8RAT
24	32245 28232	   	230.36	DCR|DCR|1TLV|1DMG|1AART	1CANARM|2TBNT|3AEWIND|4CGEN|5MBVNT|69RCR|7DMG|8TLV|aAART
25	61125 28232	   	230.26	DCR|DCR|1TLV|1DMG|1AART	1AEFBLL|2AME|3SPLREG|4TBNT|5MBVNT|69RCR|7DMG|8TLV|aAART
26	61325 28232	   	230.26	DCR|DCR|1TLV|1DMG|1AART	1AEFBLL|2AME|3MULHEA|4TBNT|5MBVNT|69RCR|7DMG|8TLV|aAART
27	42312 11123	   	230.09	DCR|3VULN|2DMG|2DUR	19DUR|2LHND|379VULN|4BEXP|5FEWX|6RCR|89DMG|9BPWR|aZMB
28	42312 11126	   	230.09	DCR|3VULN|2DMG|2DUR	19DUR|2LHND|379VULN|4aBEXP|5FEWX|6RCR|89DMG|9BPWR
29	43312 11123	   	230.09	DCR|3VULN|2DMG|2DUR	19DUR|2LWND|379VULN|4BEXP|5FEWX|6RCR|89DMG|9BPWR|aZMB
30	43312 11126	   	230.09	DCR|3VULN|2DMG|2DUR	19DUR|2LWND|379VULN|4aBEXP|5FEWX|6RCR|89DMG|9BPWR
31	42312 11121	   	229.99	DCR|3VULN|2DMG|2DUR	19DUR|2LHND|379VULN|4BEXP|5FEWX|6RCR|89DMG|9BPWR|aAEFRZ
32	42312 11124	   	229.99	DCR|3VULN|2DMG|2DUR	19DUR|2LHND|379VULN|4BEXP|5FEWX|6RCR|89DMG|9BPWR|aAEFBLL
33	42312 11125	   	229.99	DCR|3VULN|2DMG|2DUR|1MSE	19DUR|2LHND|379VULN|4BEXP|5FEWX|6RCR|89DMG|9BPWR|aMSE
34	42314 11123	   	229.99	DCR|3VULN|2DMG|2DUR	19DUR|2LHND|379VULN|4BEXP|5DUST|6RCR|89DMG|9BPWR|aZMB
35	42314 11126	   	229.99	DCR|3VULN|2DMG|2DUR	19DUR|2LHND|379VULN|4aBEXP|5DUST|6RCR|89DMG|9BPWR
36	43312 11121	   	229.99	DCR|3VULN|2DMG|2DUR	19DUR|2LWND|379VULN|4BEXP|5FEWX|6RCR|89DMG|9BPWR|aAEFRZ
37	43312 11124	   	229.99	DCR|3VULN|2DMG|2DUR	19DUR|2LWND|379VULN|4BEXP|5FEWX|6RCR|89DMG|9BPWR|aAEFBLL
38	43312 11125	   	229.99	DCR|3VULN|2DMG|2DUR|1MSE	19DUR|2LWND|379VULN|4BEXP|5FEWX|6RCR|89DMG|9BPWR|aMSE
39	43314 11123	   	229.99	DCR|3VULN|2DMG|2DUR	19DUR|2LWND|379VULN|4BEXP|5DUST|6RCR|89DMG|9BPWR|aZMB
40	43314 11126	   	229.99	DCR|3VULN|2DMG|2DUR	19DUR|2LWND|379VULN|4aBEXP|5DUST|6RCR|89DMG|9BPWR
41	42314 11121	   	229.89	DCR|3VULN|2DMG|2DUR	19DUR|2LHND|379VULN|4BEXP|5DUST|6RCR|89DMG|9BPWR|aAEFRZ
42	42314 11124	   	229.89	DCR|3VULN|2DMG|2DUR	19DUR|2LHND|379VULN|4BEXP|5DUST|6RCR|89DMG|9BPWR|aAEFBLL
43	42314 11125	   	229.89	DCR|3VULN|2DMG|2DUR|1MSE	19DUR|2LHND|379VULN|4BEXP|5DUST|6RCR|89DMG|9BPWR|aMSE
44	43314 11121	   	229.89	DCR|3VULN|2DMG|2DUR	19DUR|2LWND|379VULN|4BEXP|5DUST|6RCR|89DMG|9BPWR|aAEFRZ
45	43314 11124	   	229.89	DCR|3VULN|2DMG|2DUR	19DUR|2LWND|379VULN|4BEXP|5DUST|6RCR|89DMG|9BPWR|aAEFBLL
46	43314 11125	   	229.89	DCR|3VULN|2DMG|2DUR|1MSE	19DUR|2LWND|379VULN|4BEXP|5DUST|6RCR|89DMG|9BPWR|aMSE
47	11326 32612	 * 	229.85	DCR|2VULN|2TLV|2CDMG|1MLV|1DUR	1DUST|2RCVC|3aVULN|4VENTOX|5MLV|6RCR|7aTLV|8DUR|9aCDMG|aBPWR
48	33215 12115	 * 	228.94	DCR|DCR|1VULN|1TLV	1CANARM|2MDPS|3RAT|4VULN|5LIT|6aRCR|7FEWX|8RMIN|9TLV
49	33211 32162	   	228.84	DCR|DCR|2VULN	1CANARM|2MDPS|3RAT|46VULN|5BEXP|7BBNT|89RCR|aRPLT
50	33211 32164	   	228.84	DCR|DCR|2VULN	1CANARM|2MDPS|3RAT|46VULN|5BEXP|7BBNT|89RCR|aFEWX
51	33211 32166	   	228.84	DCR|DCR|2VULN	1CANARM|2MDPS|3RAT|46VULN|5BEXP|7BBNT|89RCR|aLHND
52	33211 52163	   	228.84	DCR|DCR|2VULN	1CANARM|2MDPS|36RAT|4aVULN|5BEXP|7BBNT|89RCR
53	61222 43236	 * 	228.84	DCR|DCR|1VULN|2DUR|1AAC	1AEFBLL|2AME|3RAT|4AAC|5LWND|69RCR|7VULN|8aDUR
54	11121 26624	 * 	228.83	ACR|DCR|1VULN|1TLV|1DMG|1CDMG	1DUST|2RCVC|38RCR|4CGEN|5CDMG|6VULN|7FEWX|9DMG|aTLV
55	33211 32161	   	228.74	DCR|DCR|2VULN	1CANARM|2MDPS|3RAT|46VULN|5BEXP|7BBNT|89RCR|aERES
56	33211 12163	   	228.74	DCR|DCR|2VULN	1CANARM|2MDPS|3RAT|4aVULN|5BEXP|6AEWIND|7BBNT|89RCR
57	16533 21123	   	228.54	DCR|2VULN|2DMG|1TLV|1AART	1DUST|2aDMG|3TLV|4FEWX|5aCGEN|6RCR|7ASPD|8aVULN|9AART|aBPWR
58	41356 31331	 * 	227.65	DCR|2VULN|2TLV|1DMG|1DUR|1CDMG|1SELL	1DUR|2RCVC|35VULN|45TLV|5BPWR|6SELL|7DMG|8LEGI|9CDMG|aRCR
59	44231 31363	   	227.05	DCR|3VULN|1DMG|1DUR|1AART|1CDMG	1DUR|2AART|3BOSS|479VULN|5CDMG|6ERES|8DMG|aRCR
60	16232 21512	   	227.00	DCR|DCR|1DMG|1MLV|1AAC|1AART	1DUST|2DMG|3MLV|4FEWX|5AAC|69RCR|7ASPD|8RAT|aAART
61	16232 21515	   	227.00	DCR|DCR|1DMG|1MLV|1CDMG|1AAC	1DUST|2DMG|3MLV|4FEWX|5AAC|69RCR|7ASPD|8RAT|aCDMG
62	16432 21512	   	227.00	DCR|DCR|1DMG|1MLV|1AART	1DUST|2DMG|3ZMB|4FEWX|5MLV|69RCR|7ASPD|8RAT|aAART
63	16262 21513	   	226.90	DCR|DCR|1DMG|1MLV|1DUR|1AAC	1DUST|2DMG|3MLV|4DUR|5AAC|69RCR|7ASPD|8RAT|aAME
64	41356 33221	 * 	226.46	DCR|2VULN|2TLV|2DUR|1DMG|1SELL	18DUR|2RCVC|35VULN|45TLV|5BPWR|6SELL|7MDPS|9DMG|aRCR
65	41332 23245	 * 	226.05	DCR|3VULN|1TLV|1DMG|1DUR	1DUR|2RCVC|39aVULN|4BEXP|5DMG|6RCR|7LIT|8TLV
