0	Index      	 *	Score 	Summary	Detail	
1	25155 23131	 * 	268.69	DCR|DCR|2VULN|1TLV|1DUR	1RAT|2BASHEA|3DUR|4BBNT|5TLV|69VULN|7aRCR|8TSLFST
2	41146 11331	   	268.69	DCR|DCR|2VULN|1TLV|1AART	1TBNT|23VULN|3BPWR|4BBNT|5AART|6aRCR|7BOSS|8TLV|9MBVNT
3	41316 11331	   	268.69	DCR|DCR|2VULN|1TLV|1AART	1TBNT|24VULN|3BBNT|5AART|6aRCR|7BOSS|8TLV|9MBVNT
4	15261 11131	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2AIRBOS|3RAT|45VULN|6LIT|7CDMG|89RCR|aFEWX
5	15261 11133	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2AIRBOS|3RAT|45VULN|6LIT|7CDMG|89RCR|aBEXP
6	15261 11134	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2AIRBOS|3RAT|45VULN|6LIT|7CDMG|89RCR|aRMIN
7	25161 11131	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1RAT|2BASHEA|3DUR|45VULN|6LIT|7CDMG|89RCR|aFEWX
8	25161 11133	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1RAT|2BASHEA|3DUR|45VULN|6LIT|7CDMG|89RCR|aBEXP
9	25161 11134	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1RAT|2BASHEA|3DUR|45VULN|6LIT|7CDMG|89RCR|aRMIN
10	15261 11132	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2AIRBOS|3RAT|45VULN|6LIT|7CDMG|89RCR|aAEBURN
11	15261 11135	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG|1SELL	1DUR|2AIRBOS|3RAT|45VULN|6LIT|7CDMG|89RCR|aSELL
12	15261 11136	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2AIRBOS|3RAT|45VULN|6LIT|7CDMG|89RCR|aBBNT
