0	Index      	 *	Score 	Summary	Detail	
1	31261 52612	 * 	262.95	DCR|2VULN|3DMG|2TLV|1MLV|1AART|1SELL	1SELL|27VULN|3MLV|47aDMG|5BBNT|67TLV|7BPWR|8AART|9RCR
2	61651 31332	 * 	251.50	ACR|DCR|3VULN|1CDMG|1AAC	1CDMG|267VULN|3FEWX|48RCR|5ASPD|9TBNT|aAAC
3	61151 61332	   	251.40	ACR|DCR|3VULN|1CDMG|1AAC	1CDMG|267VULN|3DUST|48RCR|5ASPD|9TBNT|aAAC
4	31261 52611	 * 	247.29	DCR|2VULN|2DMG|2TLV|1MLV|1AART|1SELL	1SELL|27VULN|3MLV|47DMG|5BBNT|67TLV|7BPWR|8AART|9RCR|aCGEN
5	31261 52613	 * 	247.19	DCR|2VULN|2DMG|2TLV|1MLV|1AART|1SELL	1SELL|27VULN|3MLV|47DMG|5BBNT|67TLV|7BPWR|8AART|9RCR|aMULARM
6	54211 32322	 * 	244.54	DCR|DCR|2VULN|1MLV	17BEXP|2MULHEA|3LIT|4aVULN|5DUST|69RCR|8MLV
7	54211 34322	   	244.44	DCR|DCR|2VULN|1MLV	1BEXP|2MULHEA|3LIT|4aVULN|57DUST|69RCR|8MLV
8	22241 36154	 * 	244.31	DCR|DCR|1TLV|1DMG|1DUR|1AAC|1CDMG	1LIT|2BOSS|3DMG|4MBVNT|5DUR|68RCR|7AAC|9TLV|aCDMG
9	22333 34121	   	244.31	DCR|DCR|1TLV|1DMG|1AART|1AAC	1LIT|2BOSS|3LWND|4TLV|5AART|69RCR|7TBNT|8DMG|aAAC
10	31251 52612	 * 	243.26	DCR|2VULN|2TLV|1DMG|1MLV|2ASPD|1AART|1SELL	1SELL|27VULN|3MLV|47ASPD|5BBNT|67TLV|7BPWR|8AART|9RCR|aDMG
11	22333 34124	 * 	243.11	DCR|DCR|2AART|1TLV|1DMG	1LIT|2BOSS|3LWND|4TLV|5aAART|69RCR|7TBNT|8DMG
