0	Index      	 *	Score 	Summary	Detail	
1	31515 12134	 * 	304.78	DCR|DCR|3VULN|1TLV|1AART|1CDMG	1AART|2BEXP|3CDMG|4RAT|5TLV|67aVULN|89RCR
2	31515 12132	   	298.25	DCR|DCR|2VULN|1TLV|1MLV|1AART|1CDMG	1AART|2BEXP|3CDMG|4RAT|5TLV|67VULN|89RCR|aMLV
3	23533 15153	   	295.90	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2ASPD|39VULN|4TLV|5ERES|6aRCR|7BELT|8DUR
4	23533 16253	   	295.90	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1DMG|2ASPD|39VULN|4TLV|5ERES|6aRCR|7DUR|8BELT
5	23513 11235	 * 	289.18	DCR|DCR|2VULN|3DMG	189DMG|2ASPD|38VULN|4AETHUN|58AEFRZ|6aRCR|7TBNT|8BPWR
6	31515 12131	   	288.96	DCR|DCR|2VULN|1TLV|2CDMG|1AART	1AART|2BEXP|3aCDMG|4RAT|5TLV|67VULN|89RCR
7	23533 13342	   	285.20	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AART	1DMG|2ASPD|3VULN|4TLV|5ERES|69RCR|7MSLFST|8MLV|aAART
8	23533 13343	   	285.20	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1DMG|2ASPD|3VULN|4TLV|5ERES|69RCR|7MSLFST|8MLV|aAAC
9	23534 13342	   	285.20	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AART	1DMG|2ASPD|3VULN|4TLV|5AME|69RCR|7MSLFST|8MLV|aAART
10	23534 13343	   	285.20	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1AAC	1DMG|2ASPD|3VULN|4TLV|5AME|69RCR|7MSLFST|8MLV|aAAC
11	31515 11134	   	282.64	DCR|DCR|2VULN|1TLV|1AART|1CDMG	1AART|2BEXP|3CDMG|47RAT|5TLV|6aVULN|89RCR
12	31515 12135	   	282.64	DCR|DCR|2VULN|1TLV|1AART|1CDMG	1AART|2BEXP|3CDMG|4RAT|5TLV|67VULN|89RCR|aZMB
13	31515 12136	   	282.64	DCR|DCR|2VULN|1TLV|1AART|1CDMG	1AART|2BEXP|3CDMG|4RAT|5TLV|67VULN|89RCR|aFEWX
14	31515 12133	   	282.54	DCR|DCR|2VULN|1TLV|1AART|1CDMG	1AART|2BEXP|3CDMG|4RAT|5TLV|67VULN|89RCR|aDUST
15	23533 15113	 * 	282.15	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5ERES|6aRCR|7BELT|89DUR
16	23533 16213	   	282.15	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5ERES|6aRCR|79DUR|8BELT
17	23534 15113	   	282.15	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5AME|6aRCR|7BELT|89DUR
18	23534 16213	   	282.15	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5AME|6aRCR|79DUR|8BELT
19	31215 12133	   	277.14	DCR|DCR|3VULN|1TLV|1AART|1SELL	1AART|2BEXP|3SELL|4RAT|5TLV|67aVULN|89RCR
20	36115 12133	   	277.14	DCR|DCR|3VULN|1TLV|1AART|1SELL	1AART|2SELL|3LHND|4RAT|5TLV|67aVULN|89RCR
21	55215 12133	   	277.14	DCR|DCR|3VULN|1TLV|1AART|1SELL	1BEXP|2AART|3SELL|4RAT|5TLV|67aVULN|89RCR
22	36615 12133	   	277.04	DCR|DCR|3VULN|1TLV|1AART|1SELL	1AART|2SELL|3DUST|4RAT|5TLV|67aVULN|89RCR
