0	Index      	 *	Score 	Summary	Detail	
1	13533 61134	 * 	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1TLV|2BBNT|3FEWX|4DUST|5VULN|6CGEN|7aRCR|8AART|9DUR
2	32633 45122	 * 	250.35	DCR|DCR|2DUR|1TLV|1AART|1CDMG	1FEWX|2CGEN|38DUR|4CDMG|5TLV|6BBNT|7AART|9aRCR
3	32636 36122	   	250.35	DCR|DCR|2DUR|1TLV|1AART|1CDMG	1FEWX|2CGEN|38DUR|4CDMG|5AART|6TBNT|7TLV|9aRCR
4	31345 31464	 * 	249.00	DCR|DCR|1VULN|1TLV|1DMG	1FEWX|2BBNT|3BEXP|4MBVNT|5DMG|6VULN|7aRCR|8RPLT|9TLV
5	21345 31464	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DUST|2BBNT|3BEXP|4MBVNT|5DMG|6VULN|7aRCR|8RPLT|9TLV
6	15313 31222	 * 	248.23	DCR|DCR|2TLV|1DUR|1AART|1CDMG	14TLV|2DUR|3FEWX|5CGEN|6TBNT|7CDMG|8AART|9aRCR
7	32633 44222	   	248.23	DCR|DCR|2TLV|1DUR|1AART|1CDMG	1FEWX|2CGEN|3DUR|4CDMG|57TLV|6BBNT|8AART|9aRCR
8	34613 31222	   	248.23	DCR|DCR|2TLV|1DUR|1AART|1CDMG	1FEWX|24TLV|3DUR|5CGEN|6TBNT|7CDMG|8AART|9aRCR
9	12351 15351	   	246.17	DCR|DCR|1TLV|1DMG|1MLV|1AART|1NUKE	1TLV|2NUKE|3AART|4MLV|5FEWX|6DMG|7aRCR|8LSRICY|9RAT
10	12353 15351	   	246.17	DCR|DCR|1TLV|1DMG|1MLV|1AART|1NUKE	1TLV|2NUKE|3AART|4MLV|5LHND|6DMG|7aRCR|8LSRICY|9RAT
11	12352 15351	   	246.07	DCR|DCR|1TLV|1DMG|1MLV|1AART|1NUKE	1TLV|2NUKE|3AART|4MLV|5LEGI|6DMG|7aRCR|8LSRICY|9RAT
12	11621 61431	 * 	243.54	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|2BELT|3aDMG|4MDPS|569VULN|7CDMG|8RCR
13	31111 45413	 * 	242.59	DCR|DCR|2VULN|1DUR	1FEWX|2BBNT|3LIT|45VULN|6aRCR|7LSRHEA|8DUR|9RPLT
14	21111 45413	   	242.49	DCR|DCR|2VULN|1DUR	1DUST|2BBNT|3LIT|45VULN|6aRCR|7LSRHEA|8DUR|9RPLT
15	11411 22165	 * 	240.99	DCR|DCR|2TLV|1DMG|1CDMG	15TLV|2BELT|3ERES|4CDMG|6DMG|7FEWX|8RCVC|9aRCR
16	11411 21165	   	240.89	DCR|DCR|2TLV|1DMG|1CDMG	15TLV|2BELT|3ERES|4CDMG|6DMG|7DUST|8RCVC|9aRCR
17	12123 63484	   	240.79	DCR|DCR|2TLV|1DMG|1DUR|1NUKE	13TLV|2NUKE|3BPWR|4MBVNT|5MDPS|6aRCR|7DMG|8ZMB|9DUR
18	12123 63614	   	240.79	DCR|DCR|2TLV|1DMG|1DUR|1AAC|1NUKE	13TLV|2NUKE|3BPWR|4MBVNT|5MDPS|6aRCR|7DMG|8DUR|9AAC
19	12123 66238	 * 	238.97	DCR|DCR|2TLV|1VULN|1NUKE	13TLV|2NUKE|3BPWR|4MBVNT|5MDPS|6aRCR|7VULN|8ERES|9BBNT
20	11611 83354	 * 	238.87	DCR|2VULN|2DMG|2TLV|1AAC|1CDMG	17TLV|2BELT|37DMG|4MBVNT|5AAC|67VULN|7BPWR|8ASPD|9CDMG|aRCR
21	31345 31424	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2BBNT|3BEXP|4MBVNT|5DMG|6VULN|7aRCR|8RPLT|9MLV
22	21345 31424	   	238.30	DCR|DCR|1VULN|1DMG|1MLV	1DUST|2BBNT|3BEXP|4MBVNT|5DMG|6VULN|7aRCR|8RPLT|9MLV
23	15132 23562	 * 	238.25	DCR|2VULN|3DUR|2TLV|1DMG	18TLV|278DUR|3BELT|4AEFBLL|5DMG|68VULN|8BPWR|9RAT|aRCR
24	32633 43222	   	237.90	DCR|DCR|1TLV|1DUR|1AART|1CDMG	17FEWX|2CGEN|3DUR|4CDMG|5TLV|6BBNT|8AART|9aRCR
25	34115 31222	   	237.90	DCR|DCR|1TLV|1DUR|1AART|1CDMG	1FEWX|2TLV|3RCVC|4CGEN|5DUR|6TBNT|7CDMG|8AART|9aRCR
26	13514 51222	   	237.80	DCR|DCR|1TLV|1DUR|1AART|1CDMG	1TLV|2BBNT|3FEWX|4CGEN|5AEWIND|6DUR|7CDMG|8AART|9aRCR
27	34315 31222	   	237.80	DCR|DCR|1TLV|1DUR|1AART|1CDMG	1FEWX|2TLV|3AEWIND|4CGEN|5DUR|6TBNT|7CDMG|8AART|9aRCR
28	13512 45122	   	236.46	DCR|DCR|2DUR|1TLV|1AART|1SELL	1TLV|2BBNT|3FEWX|4CGEN|58DUR|6SELL|7AART|9aRCR
29	31248 31613	   	235.88	DCR|DCR|2VULN	1FEWX|2BBNT|3LHND|4MBVNT|5ASPD|69VULN|7aRCR|8ZMB
30	31348 31613	   	235.88	DCR|DCR|2VULN	1FEWX|2BBNT|3BEXP|4MBVNT|5ASPD|69VULN|7aRCR|8ZMB
31	31348 31464	   	235.88	DCR|DCR|1VULN|1TLV	1FEWX|2BBNT|3BEXP|4MBVNT|5ASPD|6VULN|7aRCR|8RPLT|9TLV
32	21248 31613	   	235.78	DCR|DCR|2VULN	1DUST|2BBNT|3LHND|4MBVNT|5ASPD|69VULN|7aRCR|8ZMB
33	21348 31613	   	235.78	DCR|DCR|2VULN	1DUST|2BBNT|3BEXP|4MBVNT|5ASPD|69VULN|7aRCR|8ZMB
34	21348 31464	   	235.78	DCR|DCR|1VULN|1TLV	1DUST|2BBNT|3BEXP|4MBVNT|5ASPD|6VULN|7aRCR|8RPLT|9TLV
35	11333 15563	   	235.49	DCR|3VULN|1TLV|1DMG|1MSLTOX	1TLV|2BELT|3TBNT|469VULN|5MSLTOX|7DMG|8ASPD|aRCR
36	15313 32426	 * 	235.33	DCR|3VULN|3TLV|2DUR	148TLV|28DUR|3FEWX|5CGEN|6TBNT|789VULN|8BPWR|aRCR
37	13353 51222	   	234.58	DCR|DCR|2TLV|1AART|1CDMG	13TLV|2BBNT|4FEWX|5LWND|6CGEN|7CDMG|8AART|9aRCR
38	13354 51222	   	234.58	DCR|DCR|2TLV|1AART|1CDMG	13TLV|2BBNT|4FEWX|5LHND|6CGEN|7CDMG|8AART|9aRCR
39	13426 34222	   	234.58	DCR|DCR|2TLV|1AART|1CDMG	17TLV|2BBNT|3CDMG|4CGEN|5LHND|6FEWX|8AART|9aRCR
