0	Index      	 *	Score 	Summary	Detail	
1	51332 32226	 * 	230.90	DCR|5VULN|3DMG|2AART	1RPLT|24679VULN|347DMG|47BPWR|5aAART|8RCR
2	51332 52223	   	221.96	DCR|5VULN|3DMG|1AART	1RPLT|2479aVULN|347DMG|47BPWR|5AART|6RCVC|8RCR
3	51332 32224	   	220.76	DCR|5VULN|3DMG|1AART	1RPLT|24679VULN|347DMG|47BPWR|5AART|8RCR|aRCVC
4	51332 32222	   	219.45	DCR|5VULN|3DMG|1AART	1RPLT|24679VULN|347DMG|47BPWR|5AART|8RCR|aCGEN
5	51332 32223	   	219.45	DCR|5VULN|3DMG|1AART	1RPLT|24679VULN|347DMG|47BPWR|5AART|8RCR|aLWND
6	51332 32245	   	219.45	DCR|5VULN|3DMG|1AART	1RPLT|2467aVULN|347DMG|47BPWR|5AART|8RCR|9LHND
7	51332 32221	   	219.35	DCR|5VULN|3DMG|1AART	1RPLT|24679VULN|347DMG|47BPWR|5AART|8RCR|aERES
8	51332 32225	   	219.35	DCR|5VULN|3DMG|1AART	1RPLT|24679VULN|347DMG|47BPWR|5AART|8RCR|aLEGI
9	51332 32242	   	218.07	DCR|4VULN|3DMG|2AART	1RPLT|2467VULN|347DMG|47BPWR|5aAART|8RCR|9LHND
10	51332 32212	   	217.97	DCR|4VULN|3DMG|2AART	1RPLT|2467VULN|347DMG|47BPWR|5aAART|8RCR|9DUST
11	51332 32234	   	217.63	DCR|4VULN|3DMG|1AART|1ZMB	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9LIT|aZMB
12	51332 32253	   	217.63	DCR|4VULN|3DMG|1AART|1ZMB	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9CGEN|aZMB
13	51332 32216	   	217.53	DCR|4VULN|3DMG|1AART|1ZMB	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9DUST|aZMB
14	51332 32236	   	213.56	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9LIT|aDUR
15	51332 32241	   	213.56	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9LHND|aASPD
16	51332 32211	   	213.46	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9DUST|aASPD
17	42212 12625	 * 	212.13	DCR|4VULN|2DMG|1AART|2CDMG	1DMSP|27DMG|3AART|4LWND|57CDMG|679aVULN|7BPWR|8RCR
18	42222 12625	   	212.13	DCR|4VULN|2DMG|1AART|2CDMG	1DMSP|27DMG|3AART|4FEWX|57CDMG|679aVULN|7BPWR|8RCR
19	51332 52221	   	209.13	DCR|4VULN|3DMG|1AART	1RPLT|2479VULN|347DMG|47BPWR|5AART|6RCVC|8RCR|aLWND
20	51332 52224	   	209.13	DCR|4VULN|3DMG|1AART	1RPLT|2479VULN|347DMG|47BPWR|5AART|6RCVC|8RCR|aRMIN
21	51332 52225	   	209.13	DCR|4VULN|3DMG|1AART	1RPLT|2479VULN|347DMG|47BPWR|5AART|6RCVC|8RCR|aDMSP
22	42212 12626	   	209.03	DCR|3VULN|2DMG|1AART|2CDMG|1ZMB	1DMSP|27DMG|3AART|4LWND|57CDMG|679VULN|7BPWR|8RCR|aZMB
23	42222 12626	   	209.03	DCR|3VULN|2DMG|1AART|2CDMG|1ZMB	1DMSP|27DMG|3AART|4FEWX|57CDMG|679VULN|7BPWR|8RCR|aZMB
24	51332 52222	   	209.03	DCR|4VULN|3DMG|1AART	1RPLT|2479VULN|347DMG|47BPWR|5AART|6RCVC|8RCR|aDUST
25	51332 32231	   	206.62	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9LIT|aDMSP
26	51332 32233	   	206.62	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9aLIT
27	51332 32235	   	206.62	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9LIT|aLWND
28	51332 32244	   	206.62	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9aLHND
29	51332 32251	   	206.62	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9CGEN|aLHND
30	51332 32254	   	206.62	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9CGEN|aLWND
31	51332 32255	   	206.62	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9CGEN|aRMIN
32	51332 32256	   	206.62	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9CGEN|aFEWX
33	51332 32214	   	206.52	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9DUST|aLHND
34	51332 32232	   	206.52	DCR|4VULN|3DMG|1AART	1RPLT|2467VULN|347DMG|47BPWR|5AART|8RCR|9LIT|aMBVNT
