0	Index      	 *	Score 	Summary	Detail	
1	23531 34215	 * 	204.55	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|2BELT|3aLHND|46aDMG|56VULN|6aBPWR|7LIT|8aCDMG|9AART
2	42435 23323	 * 	202.13	ACR|2AART|2DMG|1VULN|2ASPD|1CDMG|2DUR	1aDUR|2RCR|3BEXP|4aDMG|58AART|6CDMG|7VULN|9aASPD|aBPWR
3	42213 36323	 * 	195.75	ACR|3DMG|1AART|1VULN|3DUR|2ASPD|1SELL	14aDUR|2RCR|34aDMG|4aBPWR|5BEXP|6AART|7VULN|8SELL|9aASPD
4	42214 33131	 * 	195.15	ACR|3DMG|1AART|1VULN|3DUR|1CDMG|1SELL	145DUR|2RCR|345DMG|45BPWR|6SELL|7AART|8CDMG|9FEWX|aVULN
5	42214 33421	 * 	195.15	ACR|3DMG|1AART|1VULN|3DUR|1CDMG|1SELL	145DUR|2RCR|345DMG|45BPWR|6SELL|7AART|8LHND|9CDMG|aVULN
6	42214 33111	 * 	195.05	ACR|3DMG|1AART|1VULN|3DUR|1CDMG|1SELL	145DUR|2RCR|345DMG|45BPWR|6SELL|7AART|8CDMG|9DUST|aVULN
7	42212 43162	 * 	194.30	ACR|3DMG|2VULN|3ASPD|3DUR	145DUR|2RCR|349DMG|49BPWR|6MLV|79VULN|89aASPD
8	42212 53162	   	194.20	ACR|3DMG|2VULN|3ASPD|3DUR	145DUR|2RCR|349DMG|49BPWR|6ERES|79VULN|89aASPD
9	42212 36623	 * 	193.89	ACR|2VULN|2DMG|1AART|3DUR|1ZMB	145DUR|2RCR|34DMG|4BPWR|6ZMB|7AIRHEA|8AART|9aVULN
10	23531 34214	 * 	193.83	ACR|2VULN|2DMG|2AART|1CDMG	1RCR|2BELT|3LHND|46DMG|56VULN|6BPWR|7LIT|8CDMG|9aAART
11	23531 34212	   	193.39	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCR|2BELT|3LHND|46DMG|56VULN|6BPWR|7LIT|8CDMG|9AART|aZMB
12	42133 66312	   	191.72	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18DUR|2RCR|3FEWX|48DMG|5CDMG|6BEXP|78VULN|8BPWR|9RMIN|aAART
13	42133 66323	   	191.72	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18DUR|2RCR|3FEWX|48DMG|5CDMG|6BEXP|78VULN|8BPWR|9RCVC|aAART
14	42133 66333	   	191.72	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18DUR|2RCR|3FEWX|48DMG|5CDMG|69BEXP|78VULN|8BPWR|aAART
15	42433 16312	   	191.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18DUR|2RCR|3BEXP|48DMG|5CDMG|6DUST|78VULN|8BPWR|9RMIN|aAART
16	42433 16323	   	191.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18DUR|2RCR|3BEXP|48DMG|5CDMG|6DUST|78VULN|8BPWR|9RCVC|aAART
17	42433 16333	   	191.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	18DUR|2RCR|39BEXP|48DMG|5CDMG|6DUST|78VULN|8BPWR|aAART
18	42213 32425	   	191.37	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	14DUR|2RCR|34DMG|4BPWR|5BEXP|6AART|7DMSP|8ZMB|9aVULN
19	42213 35331	   	191.37	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	14DUR|2RCR|34DMG|4BPWR|5BEXP|6AART|7ZMB|8RMIN|9aVULN
20	42213 35631	   	191.37	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	14DUR|2RCR|34DMG|4BPWR|5BEXP|6AART|7ZMB|8MLV|9aVULN
21	42213 36151	   	191.37	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	14DUR|2RCR|34DMG|4BPWR|5BEXP|6AART|7aVULN|8CGEN|9ZMB
22	42214 12231	 * 	190.95	ACR|3DMG|1AART|1VULN|3DUR|1ZMB	145DUR|2RCR|345DMG|45BPWR|6MLV|7CGEN|8VULN|9ZMB|aAART
23	42214 12351	   	190.95	ACR|3DMG|1AART|1VULN|3DUR|1ZMB	145DUR|2RCR|345DMG|45BPWR|6MLV|7CGEN|8ZMB|9VULN|aAART
24	42214 15211	   	190.95	ACR|3DMG|1AART|1VULN|3DUR|1ZMB	145DUR|2RCR|345DMG|45BPWR|6MLV|7ZMB|8VULN|9RMIN|aAART
25	42214 15221	   	190.95	ACR|3DMG|1AART|1VULN|3DUR|1ZMB	145DUR|2RCR|345DMG|45BPWR|6MLV|7ZMB|8VULN|9CGEN|aAART
26	42214 23214	   	190.95	ACR|3DMG|1AART|1VULN|3DUR|1ZMB	145DUR|2RCR|345DMG|45BPWR|6LHND|7VULN|8RMIN|9ZMB|aAART
27	42214 23361	   	190.95	ACR|3DMG|1AART|1VULN|3DUR|1ZMB	145DUR|2RCR|345DMG|45BPWR|6LHND|7VULN|8DMSP|9ZMB|aAART
28	42212 11561	   	190.85	ACR|3DMG|1AART|1VULN|3DUR|1ZMB	145DUR|2RCR|347DMG|4BPWR|6VULN|8LHND|9ZMB|aAART
29	42214 11261	   	190.85	ACR|3DMG|1AART|1VULN|3DUR|1ZMB	145DUR|2RCR|345DMG|45BPWR|6MLV|7ERES|8VULN|9ZMB|aAART
30	42214 11351	   	190.85	ACR|3DMG|1AART|1VULN|3DUR|1ZMB	145DUR|2RCR|345DMG|45BPWR|6MLV|7ERES|8ZMB|9VULN|aAART
31	23231 33265	   	190.63	ACR|3DMG|2VULN|1AART|1DUR	1RCR|2BELT|3FEWX|469DMG|56VULN|6BPWR|7DUST|8DUR|aAART
32	42212 23363	 * 	190.09	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|349DMG|49BPWR|6RMIN|79aVULN|89CGEN
33	42214 12243	   	189.99	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|345DMG|45BPWR|6MLV|7CGEN|89aVULN
34	42214 23343	   	189.99	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|345DMG|45BPWR|6LHND|79aVULN|8DMSP
35	42212 11223	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|68aVULN|9LWND
36	42212 11231	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|689VULN|aBELT
37	42212 11232	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|689VULN|aFEWX
38	42212 11234	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|689VULN|aBEXP
39	42212 11236	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|689VULN|aLHND
40	42212 11253	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|68aVULN|9BEXP
41	42212 11263	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|68aVULN|9FEWX
42	42212 11343	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|69aVULN|8FEWX
43	42212 11543	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|69aVULN|8LHND
44	42212 61243	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|6BEXP|89aVULN
45	42212 23663	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|349DMG|49BPWR|6RMIN|79aVULN|89ERES
46	42214 11243	   	189.89	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|345DMG|45BPWR|6MLV|7ERES|89aVULN
47	42212 11213	   	189.79	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|68aVULN|9DUST
48	42212 11233	   	189.79	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|689VULN|aERES
49	42212 11235	   	189.79	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|689VULN|aTLV
50	42212 11653	   	189.79	ACR|3VULN|3DMG|3DUR	145DUR|2RCR|347DMG|4BPWR|69aVULN|8NUKE
51	42214 15333	 * 	189.19	ACR|3DMG|2VULN|3DUR|2ZMB	145DUR|2RCR|345DMG|45BPWR|6MLV|78ZMB|9aVULN
52	21351 35511	 * 	189.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2RCVC|3LIT|4DMG|579VULN|6AART|8CDMG|aDUR
53	22336 33614	   	188.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2CGEN|38aVULN|4DMG|5BASICY|6AART|7DUR|9CDMG
54	22336 33622	   	188.72	ACR|2VULN|2DMG|2AART|1DUR	1RCR|2CGEN|38VULN|4aDMG|5BASICY|69AART|7DUR
55	42214 13311	   	188.69	ACR|3DMG|1AART|1VULN|3DUR|1ASPD	145DUR|2RCR|345DMG|45BPWR|6MLV|7AART|8ASPD|9VULN|aFEWX
56	42214 13312	   	188.69	ACR|3DMG|1AART|1VULN|3DUR|1ASPD	145DUR|2RCR|345DMG|45BPWR|6MLV|7AART|8ASPD|9VULN|aLIT
