0	Index      	 *	Score 	Summary	Detail	
1	32166 42111	 * 	188.94	ACR|3VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|3CGEN|469VULN|5RCR|7RPLT|8AART
2	32215 15211	 * 	186.37	DCR|3VULN|2DMG|2ASPD|1CDMG|1ZMB	1CDMG|25DMG|345VULN|5BPWR|6aASPD|7ZMB|8RCVC|9RCR
3	32215 15214	 * 	186.07	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	1aCDMG|25DMG|345VULN|5BPWR|6ASPD|7ZMB|8RCVC|9RCR
4	25312 26313	   	184.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUST|2DUR|3LWND|4RCR|5AART|69VULN|7aDMG|8CDMG
5	51413 26333	 * 	183.75	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1ASPD	17LWND|2FEWX|37VULN|4RCR|57CDMG|6AART|7BPWR|8ZMB|9DMG|aASPD
6	32215 24262	   	183.67	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	16CDMG|25DMG|345VULN|5BPWR|7DUR|8BELT|9ZMB|aRCR
7	52413 26133	 * 	183.30	ACR|2VULN|2DMG|1AART|2CDMG	17LWND|2DUST|37VULN|4RCR|57CDMG|6AART|7BPWR|8FEWX|9aDMG
8	32215 35332	 * 	182.75	DCR|4VULN|2DMG|1CDMG|1DUR	1CDMG|25DMG|345aVULN|5BPWR|6CGEN|7VENICY|8DUR|9RCR
9	32215 13416	   	182.65	DCR|4VULN|2DMG|1CDMG|1ASPD	1CDMG|25DMG|345aVULN|5BPWR|6ASPD|78ERES|9RCR
10	32653 41111	 * 	180.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|3RCVC|4AART|5RPLT|6RCR|7MLV|89VULN
11	32225 51162	 * 	179.92	DCR|2VULN|2DMG|3CDMG|1AART	148CDMG|25DMG|35VULN|5BPWR|6BEXP|7RPLT|9AART|aRCR
12	32215 62531	 * 	179.80	DCR|3VULN|2DMG|1FLTHEA|1CDMG|1DUR	1CDMG|25DMG|345VULN|5BPWR|6DUR|7DUST|8ERES|9FLTHEA|aRCR
13	32215 15213	   	179.76	DCR|3VULN|2DMG|1CDMG|1ZMB|1ASPD	1CDMG|25DMG|345VULN|5BPWR|6ASPD|7ZMB|8RCVC|9RCR|aLHND
14	32215 15215	   	179.76	DCR|3VULN|2DMG|1CDMG|1ZMB|1ASPD	1CDMG|25DMG|345VULN|5BPWR|6ASPD|7ZMB|8RCVC|9RCR|aFEWX
15	32215 15212	   	179.66	DCR|3VULN|2DMG|1CDMG|1ZMB|1ASPD	1CDMG|25DMG|345VULN|5BPWR|6ASPD|7ZMB|8RCVC|9RCR|aERES
16	32336 16243	 * 	179.59	DCR|2VULN|2DMG|2ZMB|1CDMG|1DUR|1ASPD	1CDMG|29DMG|3DUST|4TLV|59ZMB|6ASPD|7RCR|89VULN|9BPWR|aDUR
17	32211 12516	   	179.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2DMG|34VULN|5LHND|6ASPD|7ZMB|8RCR|9AART|aDUR
18	32213 12513	   	179.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2DMG|34VULN|5LWND|6ASPD|7ZMB|8RCR|9AART|aDUR
19	32231 12516	   	179.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2DMG|35VULN|4LHND|6ASPD|7ZMB|8RCR|9AART|aDUR
20	32511 12513	   	179.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2DMG|3LWND|45VULN|6ASPD|7ZMB|8RCR|9AART|aDUR
21	21412 35633	   	179.39	ACR|3VULN|2DMG|1AART	1DUST|2FEWX|378VULN|4RCR|5AART|6RPLT|9aDMG
22	32236 53333	 * 	179.07	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1CDMG|29aDMG|3VULN|4LHND|5FEWX|6AART|7ASPD|8RCR
23	33226 32561	   	178.79	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2ERES|389VULN|4ASPD|5RCR|6CGEN|7AART|aDMG
24	33226 42111	   	178.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2ERES|369VULN|4ASPD|5RCR|7RPLT|8AART|aDMG
25	32653 42221	   	178.03	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|27aDMG|3RCVC|4AART|5RPLT|6RCR|8TLV|9VULN
26	52413 26231	 * 	177.16	ACR|2VULN|2AART|1DMG|2CDMG	17LWND|2DUST|37VULN|4RCR|57CDMG|6aAART|7BPWR|8CGEN|9DMG
27	52413 26331	   	177.06	ACR|2VULN|2AART|1DMG|2CDMG	17LWND|2DUST|37VULN|4RCR|57CDMG|6aAART|7BPWR|8TLV|9DMG
28	32225 15211	 * 	177.03	DCR|2VULN|2DMG|2CDMG|2ASPD|1ZMB	14CDMG|25DMG|35VULN|5BPWR|6aASPD|7ZMB|8RCVC|9RCR
29	51413 26331	   	176.81	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	17LWND|2FEWX|37VULN|4RCR|57CDMG|6AART|7BPWR|8ZMB|9DMG|aDMSP
30	51413 26332	   	176.81	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	17LWND|2FEWX|37VULN|4RCR|57CDMG|6AART|7BPWR|8ZMB|9DMG|aRMIN
31	52413 21633	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1LWND|2DUST|38VULN|4RCR|5CDMG|6AART|7LHND|9aDMG
32	52413 26233	   	176.71	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	17LWND|2DUST|37VULN|4RCR|57CDMG|6AART|7BPWR|8CGEN|9DMG|aZMB
33	52413 26333	   	176.61	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	17LWND|2DUST|37VULN|4RCR|57CDMG|6AART|7BPWR|8TLV|9DMG|aZMB
34	32225 15214	   	176.46	DCR|2VULN|2DMG|3CDMG|1ZMB|1ASPD	14aCDMG|25DMG|35VULN|5BPWR|6ASPD|7ZMB|8RCVC|9RCR
35	22323 25111	   	176.05	DCR|2VULN|2DMG|1AART|2DUR	12DUST|35DUR|4AART|6aDMG|7RCR|89VULN
36	32215 46233	   	175.92	DCR|4VULN|2DMG|1CDMG	1CDMG|25DMG|345aVULN|5BPWR|67FEWX|8RCVC|9RCR
37	32215 31443	   	175.69	DCR|3VULN|2DMG|1CDMG|1DUR|1ASPD	1CDMG|25DMG|345VULN|5BPWR|6CGEN|7DUR|8LIT|9RCR|aASPD
38	32215 13411	   	175.16	DCR|3VULN|2DMG|2ASPD|1CDMG	1CDMG|25DMG|345VULN|5BPWR|6aASPD|78ERES|9RCR
39	32225 35332	   	174.97	DCR|3VULN|2DMG|2CDMG|1DUR	14CDMG|25DMG|35aVULN|5BPWR|6CGEN|7VENICY|8DUR|9RCR
40	32215 25331	   	174.97	DCR|3VULN|2DMG|2CDMG|1ASPD	16CDMG|25DMG|345VULN|5BPWR|7TLV|8CGEN|9RCR|aASPD
41	51413 21633	   	174.95	ACR|3VULN|1AART|1DMG|1CDMG	1LWND|2FEWX|38aVULN|4RCR|5CDMG|6AART|7LHND|9DMG
42	32215 13414	   	174.87	DCR|3VULN|2DMG|2CDMG|1ASPD	1aCDMG|25DMG|345VULN|5BPWR|6ASPD|78ERES|9RCR
43	32225 13416	   	174.87	DCR|3VULN|2DMG|2CDMG|1ASPD	14CDMG|25DMG|35aVULN|5BPWR|6ASPD|78ERES|9RCR
44	32215 31442	   	174.05	DCR|3VULN|2DMG|1CDMG|2DUR	1CDMG|25DMG|345VULN|5BPWR|6CGEN|7aDUR|8LIT|9RCR
45	32313 51613	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|3DUST|49VULN|5LHND|6AART|7BEXP|8RCR
46	32314 51613	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|3DUST|49VULN|5LWND|6AART|7BEXP|8RCR
47	32351 51613	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|3DUST|4LHND|59VULN|6AART|7BEXP|8RCR
48	32521 51613	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|3LWND|4DUST|59VULN|6AART|7BEXP|8RCR
49	25312 26311	   	173.67	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUST|2DUR|3LWND|4RCR|5AART|69VULN|7DMG|8CDMG|aASPD
50	32166 32111	   	173.28	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|36CGEN|49VULN|5RCR|7RPLT|8AART
51	32166 62111	   	173.28	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2aDMG|3CGEN|49VULN|5RCR|6RCVC|7RPLT|8AART
52	11384 51111	   	173.25	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|2ASPD|3MBVNT|4AART|5aDMG|6RCR|7MLV|89VULN
53	11384 51148	   	173.25	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|2ASPD|3MBVNT|4AART|59DMG|6RCR|7MLV|8aVULN
54	32612 11131	 * 	173.06	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD	1CDMG|2DMG|3RCVC|4ASPD|57AART|6aVULN|8LIT|9RCR
55	32663 54411	 * 	172.93	DCR|3DMG|2VULN|2CDMG	1aCDMG|28aDMG|3RCVC|4LIT|5BEXP|6MBVNT|7RCR|9aVULN|aBPWR
56	32215 42531	   	172.86	DCR|3VULN|2DMG|1CDMG|1FLTHEA	1CDMG|25DMG|345VULN|5BPWR|6FEWX|7DUST|8ERES|9FLTHEA|aRCR
57	32215 52531	   	172.86	DCR|3VULN|2DMG|1CDMG|1FLTHEA	1CDMG|25DMG|345VULN|5BPWR|6BEXP|7DUST|8ERES|9FLTHEA|aRCR
58	11384 53351	 * 	172.82	DCR|3DMG|1AART|2ZMB|2ASPD	1RCVC|29ASPD|3MBVNT|4AART|59aDMG|6RCR|7LEGI|89ZMB|9BPWR
59	32336 16241	   	172.65	DCR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	1CDMG|29DMG|3DUST|4TLV|59ZMB|6ASPD|7RCR|89VULN|9BPWR|aLIT
60	52413 26131	   	172.65	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	17LWND|2DUST|37VULN|4RCR|57CDMG|6AART|7BPWR|8FEWX|9DMG|aASPD
61	32211 12512	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|34VULN|5aLHND|6ASPD|7ZMB|8RCR|9AART
62	32211 12513	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2DMG|34VULN|5LHND|6ASPD|7ZMB|8RCR|9AART|aCGEN
