0	Index      	 *	Score 	Summary	Detail	
1	31315 32115	 * 	190.27	DCR|3VULN|3ZMB|1AART|1DMG	19aBEXP|2RMIN|39aZMB|4MLV|5AART|6DMG|7RCR|89aVULN|9aBPWR
2	42433 16212	 * 	189.79	ACR|3DMG|2VULN|1AART|1ZMB	1RPLT|27aDMG|3aSNIHEL|4RCR|5ZMB|6AART|8ERES|9aVULN|aBPWR
3	42141 33221	 * 	187.18	ACR|3VULN|3DMG|1ZMB|1DUR	1RPLT|29aDMG|3ZMB|4RCR|59aFEWX|6DUST|7DUR|89aVULN|9aBPWR
4	45724 34221	   	187.18	ACR|3VULN|3DMG|1ZMB|1DUR	1RPLT|2MBVNT|39aDMG|4RCR|59aFEWX|6DUR|7ZMB|89aVULN|9aBPWR
5	42234 15221	 * 	185.29	ACR|3VULN|3DMG|3DUR	1RPLT|29aDMG|39aDUR|4RCR|5BEXP|6DUST|7RMIN|89aVULN|9aBPWR
6	42235 31221	   	185.29	ACR|3VULN|3DMG|3DUR	1RPLT|29aDMG|39aDUR|4RCR|5RMIN|6DUST|7FEWX|89aVULN|9aBPWR
7	42235 35221	   	185.29	ACR|3VULN|3DMG|3DUR	1RPLT|29aDMG|39aDUR|4RCR|5RMIN|6DUST|7BEXP|89aVULN|9aBPWR
8	34363 25232	 * 	185.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1BEXP|28DMG|3ZMB|4CGEN|56VULN|7RCR|9CDMG|aAART
9	12352 21256	 * 	183.62	DCR|4VULN|2AART|1CDMG	1RCVC|2CDMG|3FEWX|45AART|6RCR|789aVULN
10	21631 51631	 * 	181.22	DCR|4VULN|1AART|2ZMB|1CDMG	17CGEN|2LIT|37ZMB|4579VULN|6AART|7BPWR|8RCR|aCDMG
11	12352 21662	 * 	180.44	DCR|2AART|2VULN|1DMG|2CDMG	1RCVC|28CDMG|38FEWX|45AART|6RCR|78VULN|8BPWR|9LIT|aDMG
12	45724 44221	   	180.24	ACR|3VULN|3DMG|1ZMB	1RPLT|2MBVNT|39aDMG|4RCR|59aFEWX|6LWND|7ZMB|89aVULN|9aBPWR
13	42142 22326	 * 	179.77	ACR|2DMG|3ZMB|1AART|1VULN|1ASPD	1RPLT|2aDMG|39aZMB|4RCR|5ASPD|6VULN|7aERES|8AART|aBPWR
14	36216 32118	 * 	179.17	DCR|3VULN|2DMG|1AART	139BEXP|2MBVNT|4MLV|5AART|69DMG|7RCR|89aVULN|9BPWR
15	36216 32113	   	177.16	DCR|2VULN|2DMG|1AART|1CDMG	139BEXP|2MBVNT|4MLV|5AART|69DMG|7RCR|89VULN|9BPWR|aCDMG
16	42334 35221	   	176.28	ACR|3VULN|3DMG|1DUR	1RPLT|29aDMG|39aFEWX|4RCR|5BEXP|6DUR|7RMIN|89aVULN|9aBPWR
17	42335 33221	   	176.18	ACR|3VULN|3DMG|1DUR	1RPLT|29aDMG|39aFEWX|4RCR|5RMIN|6DUST|7DUR|89aVULN|9aBPWR
18	12352 21636	 * 	176.03	DCR|3VULN|2AART|2CDMG	1RCVC|28CDMG|38FEWX|45AART|6RCR|78aVULN|8BPWR|9DMSP
