0	Index      	 *	Score 	Summary	Detail	
1	13133 34336	 * 	199.51	DCR|3VULN|3DMG|3ZMB	19aDMG|2BEXP|39aZMB|4FEWX|5DUST|6RCR|7MBVNT|89aVULN|9aBPWR
2	32133 25452	 * 	192.47	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|239VULN|4ASPD|5ZMB|6AART|7RCR|8BELT|aDMG
3	32143 15362	 * 	191.43	DCR|3VULN|2DMG|1AART|2CDMG	17CDMG|239VULN|47BEXP|57DMG|6AART|7BPWR|8FEWX|aRCR
4	34133 15362	   	191.43	DCR|3VULN|2DMG|1AART|2CDMG	17CDMG|24BEXP|379VULN|57DMG|6AART|7BPWR|8FEWX|aRCR
5	11141 52235	 * 	191.08	DCR|3VULN|3DMG|2CDMG	139DMG|2aCDMG|4RPLT|58aVULN|6RCR|7aLWND|aBPWR
6	14343 15331	   	190.97	DCR|3DMG|2VULN|2CDMG|1ZMB|1DUR	168DMG|2BELT|3BEXP|48VULN|58CDMG|7RCR|8BPWR|9ZMB|aDUR
7	58338 32324	 * 	188.57	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1MBVNT|29DMG|3LIT|4AART|5aVULN|6FLTHEA|7RCR|8ZMB
8	33144 22362	 * 	188.37	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DUR|3459VULN|6AART|7DMG|8FEWX|aRCR
9	32133 25462	 * 	188.27	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|69AART|7RCR|8BELT|aDMG
10	33112 55323	   	187.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1aCDMG|2DUR|3aVULN|467DUST|5AART|8RCR|9aDMG|aBPWR
11	32114 16263	   	187.33	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2359VULN|4LEGI|6MLV|7RCR|8AART|aDMG
12	11135 22512	 * 	187.32	DCR|3DMG|2VULN|1AART|1CDMG	137DMG|2CDMG|4RMIN|58VULN|6AART|9RCR|aMLV
13	11135 22513	   	187.32	DCR|3DMG|2VULN|1AART|1CDMG	137DMG|2CDMG|4RMIN|58VULN|6AART|9RCR|aRPLT
14	11135 22514	   	187.32	DCR|3DMG|2VULN|1AART|1CDMG	137DMG|2CDMG|4RMIN|58VULN|6AART|9RCR|aRCVC
15	11135 22515	   	187.22	DCR|3DMG|2VULN|1AART|1CDMG	137DMG|2CDMG|4RMIN|58VULN|6AART|9RCR|aCANHEL
16	32114 25143	   	186.95	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	18CDMG|235VULN|4LEGI|6AART|7ZMB|9RCR|aDMG
17	58338 32344	 * 	186.63	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1MBVNT|2DMG|3LIT|4AART|59aVULN|6FLTHEA|7RCR|8ZMB
18	33121 36663	   	186.58	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	14CDMG|2DUR|369VULN|5MLV|7RCR|8AART|aDMG
19	32133 25264	   	186.51	DCR|4VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|239aVULN|4ASPD|5ZMB|6AART|7RCR|8CGEN
20	32133 25524	   	186.51	DCR|4VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|238aVULN|4ASPD|5ZMB|6AART|7RCR|9CGEN
21	58114 44472	 * 	186.51	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	1MBVNT|29DMG|39ZMB|4BEXP|5MLV|6RCR|7AART|89VULN|9BPWR|aASPD
22	58134 44472	   	186.51	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	1MBVNT|29DMG|39ZMB|4FEWX|5MLV|6RCR|7AART|89VULN|9BPWR|aASPD
23	11115 31365	   	184.92	DCR|3DMG|2VULN|1AART|1CDMG	137DMG|2CDMG|4CGEN|56VULN|8LIT|9RCR|aAART
24	33232 55152	   	184.70	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1CDMG|2aDUR|3LWND|4BEXP|5AART|6aVULN|7CGEN|8aDMG|9RCR|aBPWR
25	11115 33642	   	184.51	DCR|3VULN|3DMG|1CDMG|1ASPD	138DMG|2CDMG|48CGEN|568VULN|7RPLT|8BPWR|9RCR|aASPD
26	32133 46431	   	184.46	DCR|3VULN|2DMG|1CDMG|1ZMB|1ASPD	1CDMG|238VULN|4ASPD|5ZMB|6LSRICY|7RCR|9aDMG
27	11115 31451	   	184.31	DCR|3VULN|3DMG|1CDMG|1ASPD	137DMG|2CDMG|4CGEN|568VULN|9RCR|aASPD
28	14141 11115	 * 	184.21	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	17DMG|2BELT|3LEGI|47VULN|567DUR|7BPWR|8AART|9CDMG|aRCR
29	14343 15332	   	184.03	DCR|3DMG|2VULN|2CDMG|1ZMB	168DMG|2BELT|3BEXP|48VULN|58CDMG|7RCR|8BPWR|9ZMB|aRMIN
30	14343 15333	   	183.93	DCR|3DMG|2VULN|2CDMG|1ZMB	168DMG|2BELT|3BEXP|48VULN|58CDMG|7RCR|8BPWR|9ZMB|aDUST
31	11362 12552	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1aDMG|2CDMG|3aDUR|4TLV|5BEXP|6AART|7LEGI|8aVULN|9RCR|aBPWR
32	32133 25321	   	183.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8BEXP|9DMG|aDUR
33	12133 33456	   	183.75	DCR|3DMG|2VULN|3ZMB	18aDMG|2LHND|389ZMB|4FEWX|5DUST|6RCR|78VULN|8BPWR
34	13133 33456	   	183.75	DCR|3DMG|2VULN|3ZMB	18aDMG|2BEXP|389ZMB|4FEWX|5DUST|6RCR|78VULN|8BPWR
35	32114 22541	   	183.73	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2358VULN|4LEGI|6AART|7DMG|9RCR|aFEWX
36	32114 22542	   	183.73	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2358VULN|4LEGI|6AART|7DMG|9RCR|aCGEN
37	32114 22543	   	183.63	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2358VULN|4LEGI|6AART|7DMG|9RCR|aNUKE
38	33144 22141	   	182.98	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	18CDMG|2DUR|345VULN|6AART|7DMG|9RCR|aFEWX
