0	Index      	 *	Score 	Summary	Detail	
1	13348 41423	 * 	200.85	DCR|4VULN|3DMG|3DUR|2RCVC	15RCVC|278DMG|378DUR|4MBVNT|678aVULN|78BPWR|9RCR
2	13348 41427	   	197.75	DCR|3VULN|3DMG|3DUR|1ZMB|2RCVC	15RCVC|278DMG|378DUR|4MBVNT|678VULN|78BPWR|9RCR|aZMB
3	13522 41211	 * 	197.28	ACR|4VULN|3DMG|2DUR	1RCVC|27aDMG|367aVULN|47BEXP|5RCR|7aBPWR|8MLV|9aDUR
4	13522 41611	   	197.18	ACR|4VULN|3DMG|2DUR	1RCVC|27aDMG|367aVULN|47BEXP|5RCR|7aBPWR|8TLV|9aDUR
5	13532 41211	   	197.08	ACR|4VULN|3DMG|2DUR	1RCVC|27aDMG|367aVULN|47DUST|5RCR|7aBPWR|8MLV|9aDUR
6	13532 41611	   	196.98	ACR|4VULN|3DMG|2DUR	1RCVC|27aDMG|367aVULN|47DUST|5RCR|7aBPWR|8TLV|9aDUR
7	13541 31413	 * 	195.05	DCR|5VULN|3DMG	1RCVC|278DMG|3678aVULN|4MBVNT|578aLHND|78aBPWR|9RCR
8	11252 45111	 * 	193.62	DCR|3DMG|2VULN|1AART|1CDMG	1RCVC|2AART|34VULN|5CDMG|67aDMG|8DLOT|9RCR
9	13541 31414	   	193.13	DCR|4VULN|3DMG|1ZMB	1RCVC|278DMG|3678VULN|4MBVNT|578LHND|78BPWR|9RCR|aZMB
10	13522 41146	 * 	192.89	ACR|4VULN|2DMG|1AART	1RCVC|27DMG|367aVULN|47BEXP|5RCR|7BPWR|8MBVNT|9AART
11	11252 45123	   	191.22	DCR|3DMG|2VULN|1AART|1CDMG	1RCVC|2AART|34VULN|5CDMG|679DMG|8DLOT|aRCR
12	13522 41141	   	189.79	ACR|3VULN|2DMG|1AART|1ZMB	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8MBVNT|9AART|aZMB
13	13532 41141	   	189.59	ACR|3VULN|2DMG|1AART|1ZMB	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9AART|aZMB
14	13541 31411	   	189.06	DCR|4VULN|3DMG|1DUR	1RCVC|278DMG|3678VULN|4MBVNT|578LHND|78BPWR|9RCR|aDUR
15	13544 51411	   	188.76	DCR|4VULN|3DMG|1DUR	1RCVC|278DMG|3678VULN|4MBVNT|5LEGI|78BPWR|9RCR|aDUR
16	62142 51321	 * 	187.63	ACR|2AART|2VULN|2DMG|1CDMG	1CANHEL|2CDMG|37AART|4LHND|5RCR|68DMG|9aVULN
17	62132 51321	   	187.53	ACR|2AART|2VULN|2DMG|1CDMG	1CANHEL|2CDMG|37AART|4LEGI|5RCR|68DMG|9aVULN
18	13348 41421	   	186.75	DCR|3VULN|3DMG|3DUR|2RCVC	15RCVC|278DMG|378DUR|4MBVNT|678VULN|78BPWR|9RCR|aBEXP
19	13348 41422	   	186.75	DCR|3VULN|3DMG|3DUR|2RCVC	15RCVC|278DMG|378DUR|4MBVNT|678VULN|78BPWR|9RCR|aLHND
20	13348 41424	   	186.75	DCR|3VULN|3DMG|3DUR|2RCVC	15RCVC|278DMG|378DUR|4MBVNT|678VULN|78BPWR|9RCR|aLWND
21	13348 41426	   	186.75	DCR|3VULN|3DMG|3DUR|2RCVC	15RCVC|278DMG|378DUR|4MBVNT|678VULN|78BPWR|9RCR|aRPLT
22	13348 41428	   	186.75	DCR|3VULN|3DMG|3DUR|2RCVC	15RCVC|278DMG|378DUR|4MBVNT|678VULN|78BPWR|9RCR|aCGEN
23	64115 12311	   	186.03	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	19CANHEL|2RCR|3CDMG|49DUR|5ERES|6ZMB|79DMG|8AART|9BPWR|aVULN
24	13522 41142	   	185.73	ACR|3VULN|2DMG|1AART|1DUR	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8MBVNT|9AART|aDUR
25	13522 41144	   	185.73	ACR|3VULN|2DMG|1AART|1ASPD	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8MBVNT|9AART|aASPD
26	13322 41435	   	185.63	ACR|3VULN|2DMG|1AART|1DUR	1RCVC|27DMG|3DUR|4BEXP|5RCR|68aVULN|9AART
27	13532 41142	   	185.53	ACR|3VULN|2DMG|1AART|1DUR	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9AART|aDUR
28	13532 41144	   	185.53	ACR|3VULN|2DMG|1AART|1ASPD	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9AART|aASPD
29	13522 41215	   	185.23	ACR|3VULN|2DMG|1AART|1DUR	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8MLV|9DUR|aAART
30	13522 41261	   	185.23	ACR|3VULN|2DMG|1AART|1ASPD	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8MLV|9ASPD|aAART
31	13522 41533	   	185.23	ACR|3VULN|2DMG|1AART|1DUR	1RCVC|27DMG|367VULN|47BEXP|5RCR|7BPWR|8LWND|9DUR|aAART
32	13532 41215	   	185.03	ACR|3VULN|2DMG|1AART|1DUR	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MLV|9DUR|aAART
33	13532 41533	   	185.03	ACR|3VULN|2DMG|1AART|1DUR	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8LWND|9DUR|aAART
34	13532 41118	   	184.93	ACR|3VULN|2DMG|1AART|1ASPD	1RCVC|27DMG|367VULN|47DUST|5RCR|7BPWR|8MBVNT|9ASPD|aAART
35	13548 31413	   	184.90	DCR|4VULN|3DMG|2RCVC	15RCVC|278DMG|378aVULN|4MBVNT|678aLHND|78aBPWR|9RCR
