0	Index      	 *	Score 	Summary	Detail	
1	23142 82242	 * 	190.99	ACR|2VULN|2DMG|1AART|3DUR|1ZMB	1AART|269DUR|3MBVNT|4FEWX|5RCR|79DMG|89VULN|9BPWR|aZMB
2	25225 21513	 * 	187.82	DCR|3DMG|2VULN|1AART|1CDMG	1AART|27ERES|356DMG|46VULN|6BPWR|8CDMG|9LWND|aRCR
3	23315 23451	 * 	187.29	DCR|2AART|2DMG|2VULN|2DUR	17AART|2aDUR|346LWND|5aDMG|8RCR|9aVULN|aBPWR
4	23142 82248	   	186.92	ACR|2VULN|2DMG|1AART|3DUR|1ASPD	1AART|269DUR|3MBVNT|4FEWX|5RCR|79DMG|89VULN|9BPWR|aASPD
5	22623 66123	   	184.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29aLIT|3MLV|4aVULN|5CDMG|6DUR|7aDMG|8RCR|aBPWR
6	25224 32225	 * 	183.41	DCR|5VULN|1AART|1DMG	1AART|2ERES|3DMG|46789VULN|5MBVNT|aRCR
7	45111 14312	 * 	182.78	ACR|4VULN|2DMG|1ZMB|1ASPD|1SELL	1SELL|26DMG|369aVULN|4DMSP|5RCR|6BPWR|7ASPD|8ZMB
8	22623 26213	   	182.06	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aLIT|3MLV|4aVULN|5CDMG|6RCR|78DMG|9aLWND|aBPWR
9	22623 26243	   	182.06	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2aLIT|3MLV|4aVULN|5CDMG|6RCR|78DMG|9aLHND|aBPWR
10	31353 22626	 * 	181.92	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1ERES|2DMSP|3DUR|4RCR|58VULN|6FLTHEA|7aDMG|9AART
11	31353 42522	 * 	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	17ERES|2DMSP|3DUR|4RCR|57VULN|67DMG|7BPWR|8CANHEL|9AART|aCDMG
12	22623 26251	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LIT|3MLV|49VULN|5CDMG|6RCR|78DMG|aLWND
13	22623 26252	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LIT|3MLV|49VULN|5CDMG|6RCR|78DMG|aBEXP
14	22623 26253	   	181.76	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LIT|3MLV|49VULN|5CDMG|6RCR|78DMG|aBASICY
15	25221 13244	   	181.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2ERES|3DMG|48aVULN|5DUR|6CGEN|7RCR|9ZMB
16	23112 68611	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2DUR|3MBVNT|4LWND|5RCR|6ZMB|7aDMG|89VULN
17	23142 68611	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2DUR|3MBVNT|4FEWX|5RCR|6ZMB|7aDMG|89VULN
18	22423 12662	   	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2LIT|3aDMG|48VULN|5DUR|6LHND|7CDMG|9RCR
19	23142 82244	   	181.29	ACR|2VULN|2DMG|1AART|3DUR	1AART|269DUR|3MBVNT|4FEWX|5RCR|79DMG|89VULN|9BPWR|aRCVC
20	23117 18811	   	181.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2DUR|3MBVNT|4LWND|5ZMB|69VULN|7aDMG|8RCR
21	23148 18811	   	181.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2DUR|3MBVNT|4FEWX|5ZMB|69VULN|7aDMG|8RCR
22	21412 23244	 * 	180.70	DCR|3VULN|1AART|2ASPD|2DUR|1ZMB	1AART|2LHND|35ASPD|45DUR|5BPWR|68aVULN|7RCR|9ZMB
23	34322 42362	 * 	180.17	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1ERES|23CDMG|4ASPD|5DUR|6RCR|7DMG|8AART|9aVULN
24	23142 82241	   	179.98	ACR|2VULN|2DMG|1AART|3DUR	1AART|269DUR|3MBVNT|4FEWX|5RCR|79DMG|89VULN|9BPWR|aCGEN
25	23142 82245	   	179.98	ACR|2VULN|2DMG|1AART|3DUR	1AART|269DUR|3MBVNT|4FEWX|5RCR|79DMG|89VULN|9BPWR|aLIT
