0	Index      	 *	Score 	Summary	Detail	
1	52234 22142	 * 	201.99	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	189aVULN|2RCR|3DUR|4AART|5DMG|6RCVC|7CDMG
2	52234 63311	 * 	197.12	ACR|3VULN|2DMG|1AART|2DUR	179VULN|2RCR|38DUR|4AART|5aDMG|6LIT
3	52234 12151	 * 	197.02	ACR|2VULN|1AART|3CDMG|1DMG|2DUR|1ASPD	19VULN|2RCR|39DUR|4AART|5DMG|6FEWX|789CDMG|9BPWR|aASPD
4	52234 32151	   	197.02	ACR|2VULN|1AART|3CDMG|1DMG|2DUR|1ASPD	19VULN|2RCR|39DUR|4AART|5DMG|6LHND|789CDMG|9BPWR|aASPD
5	35534 31311	 * 	195.33	ACR|3VULN|3DMG|3ZMB	18aZMB|267VULN|38aDMG|48aCGEN|5RCR|8aBPWR|9DMSP
6	52334 22142	   	195.05	ACR|4VULN|1AART|1DMG|1CDMG	189aVULN|2RCR|3LHND|4AART|5DMG|6RCVC|7CDMG
7	52334 32142	   	195.05	ACR|4VULN|1AART|1DMG|1CDMG	189aVULN|2RCR|36LHND|4AART|5DMG|7CDMG
8	52222 63411	   	194.68	ACR|4VULN|1AART|1DMG|1ASPD|1DUR	1789VULN|2RCR|3DUR|4ASPD|5AART|6LIT|aDMG
9	35214 21611	 * 	193.57	ACR|4VULN|2DMG|3ZMB	179ZMB|249aVULN|3FEWX|5RCR|6CGEN|89DMG|9BPWR
10	52234 22122	   	193.18	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	18aVULN|2RCR|39DUR|4AART|5DMG|6RCVC|7CDMG
11	52231 12142	   	192.93	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	189aVULN|2RCR|3DUR|4AART|5DMSP|6ZMB|7CDMG
12	52232 12142	   	192.93	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	189aVULN|2RCR|3DUR|4AART|5RCVC|6ZMB|7CDMG
13	52234 63321	 * 	192.91	ACR|2AART|2VULN|2DMG|2DUR	17VULN|2RCR|38DUR|49AART|5aDMG|6LIT
14	52222 63421	 * 	192.02	ACR|3VULN|2AART|1DMG|1ASPD|1DUR	178VULN|2RCR|3DUR|4ASPD|59AART|6LIT|aDMG
15	52234 11214	   	190.53	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	189VULN|2RCR|37DUR|4AART|5DMG|6FEWX|aZMB
16	52234 31214	   	190.53	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	189VULN|2RCR|37DUR|4AART|5DMG|6LHND|aZMB
17	52253 52121	 * 	190.38	ACR|3VULN|2DMG|2CDMG|2DUR	169VULN|2RCR|39DUR|48CDMG|56ERES|69BPWR|79DMG|aLIT
18	52253 52122	   	190.13	ACR|3VULN|2DMG|2CDMG|2DUR|1SELL	169VULN|2RCR|39DUR|48CDMG|56ERES|69BPWR|79DMG|aSELL
19	52234 12152	   	190.08	ACR|2VULN|1AART|3CDMG|1DMG|2DUR	19VULN|2RCR|39DUR|4AART|5DMG|6FEWX|789CDMG|9BPWR|aLHND
20	52234 32152	   	190.08	ACR|2VULN|1AART|3CDMG|1DMG|2DUR	19VULN|2RCR|39DUR|4AART|5DMG|6aLHND|789CDMG|9BPWR
21	52234 32153	   	190.08	ACR|2VULN|1AART|3CDMG|1DMG|2DUR	19VULN|2RCR|39DUR|4AART|5DMG|6LHND|789CDMG|9BPWR|aRCVC
22	52235 12153	   	190.08	ACR|2VULN|1AART|3CDMG|1DMG|2DUR	19VULN|2RCR|39DUR|4AART|5CGEN|6FEWX|789CDMG|9BPWR|aDMG
23	52236 12153	   	190.08	ACR|2VULN|1AART|3CDMG|1DMG|2DUR	19VULN|2RCR|39DUR|4AART|5FEWX|6CGEN|789CDMG|9BPWR|aDMG
24	52234 12252	 * 	190.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2RCR|3DUR|4AART|59DMG|6FEWX|7CDMG|89LWND|9BPWR|aCGEN
25	52234 32252	   	190.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2RCR|3DUR|4AART|59DMG|6LHND|7CDMG|89LWND|9BPWR|aCGEN
26	52234 42122	 * 	189.99	ACR|2AART|2VULN|1DMG|2CDMG|1DUR	19VULN|2RCR|3DUR|4aAART|5DMG|6LWND|78CDMG
27	52234 12153	   	189.98	ACR|2VULN|1AART|3CDMG|1DMG|2DUR	19VULN|2RCR|39DUR|4AART|5DMG|6FEWX|789CDMG|9BPWR|aNUKE
28	52236 32153	   	189.98	ACR|2VULN|1AART|3CDMG|1DMG|2DUR	19VULN|2RCR|39DUR|4AART|5FEWX|6ERES|789CDMG|9BPWR|aDMG
29	52234 12251	   	189.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2RCR|3DUR|4AART|59DMG|6FEWX|7CDMG|89LWND|9BPWR|aERES
30	52234 32251	   	189.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2RCR|3DUR|4AART|59DMG|6LHND|7CDMG|89LWND|9BPWR|aERES
31	52212 12153	   	189.48	ACR|2VULN|1AART|3CDMG|1DMG|2DUR	19VULN|2RCR|39DUR|4CGEN|5AART|6FEWX|789CDMG|9BPWR|aDMG
32	52212 42153	   	189.48	ACR|2VULN|1AART|3CDMG|1DMG|2DUR	19VULN|2RCR|39DUR|4CGEN|5AART|6LWND|789CDMG|9BPWR|aDMG
33	52234 22352	   	189.18	ACR|2AART|2VULN|1DMG|1CDMG|2DUR	19VULN|2RCR|39DUR|4aAART|5DMG|6RCVC|7CDMG|89LWND|9BPWR
34	52214 12153	   	188.88	ACR|2VULN|3CDMG|1AART|1DMG|2DUR	19VULN|2RCR|39DUR|4CGEN|5FEWX|6AART|789CDMG|9BPWR|aDMG
35	52231 32151	 * 	188.63	ACR|4VULN|1AART|2ZMB|2DUR	179aVULN|2RCR|3aDUR|4AART|5DMSP|6BELT|8aZMB|aBPWR
36	52232 32151	   	188.63	ACR|4VULN|1AART|2ZMB|2DUR	179aVULN|2RCR|3aDUR|4AART|5RCVC|6BELT|8aZMB|aBPWR
