0	Index      	 *	Score 	Summary	Detail	
1	53632 21612	 * 	202.27	DCR|3VULN|3DMG|1AART|1FLTHEA	124DMG|24BPWR|34DUST|58aVULN|6FLTHEA|7AART|9RCR
2	23311 52266	 * 	198.42	DCR|3DMG|2VULN|1AART|1CDMG|1ZMB	13VULN|237DMG|3BPWR|4CGEN|5RPLT|6ZMB|8RCR|9CDMG|aAART
3	23522 62325	 * 	196.60	DCR|5VULN|2DMG|1AART	14578VULN|27DMG|37LHND|6DMSP|7BPWR|9AART|aRCR
4	23643 53233	 * 	196.37	DCR|3DMG|2VULN|1AART|3ASPD|1DUR	18VULN|268DMG|37DUST|4DUR|568ASPD|68BPWR|9AART|aRCR
5	23312 46261	   	195.16	DCR|3VULN|3DMG|1AART|1ASPD	13aVULN|237DMG|3BPWR|4CGEN|5LWND|6ASPD|8AART|9RCR
6	23313 36261	   	195.16	DCR|3VULN|3DMG|1AART|1DUR	13aVULN|237DMG|3BPWR|4CGEN|5MLV|6DUR|8AART|9RCR
7	53426 12311	 * 	194.68	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	127DMG|2BPWR|3CDMG|48VULN|5RCR|6DUR|9LHND|aAART
8	53426 12321	   	194.68	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	127DMG|2BPWR|3CDMG|48VULN|5RCR|6DUR|9FEWX|aAART
9	53426 12331	   	194.68	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	127DMG|2BPWR|3CDMG|48VULN|5RCR|6DUR|9BEXP|aAART
10	53422 52211	 * 	193.81	DCR|3VULN|3DMG|2CDMG|2DUR	128DMG|268BPWR|36CDMG|468VULN|5RPLT|78DUR|9MLV|aRCR
11	55333 33353	 * 	191.92	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|2ASPD|1DUR	1DMG|24ASPD|34ZMB|4BPWR|5DUR|6AART|7CDMG|8RCR|9aVULN
12	23342 12261	 * 	191.60	DCR|5VULN|3DMG|1AART|2MSE	1357aVULN|237DMG|37BPWR|4LEGI|67MSE|8AART|9RCR
13	23311 52261	   	190.87	DCR|3VULN|3DMG|1CDMG|1ZMB	13aVULN|237DMG|3BPWR|4CGEN|5RPLT|6ZMB|8RCR|9CDMG
14	21422 43114	 * 	190.39	DCR|3VULN|2AART|1DMG|2CDMG	19aVULN|2SNIHEL|36CDMG|4DMG|57AART|8RCR
15	23342 12266	 * 	189.78	DCR|4VULN|3DMG|1AART|1ZMB|2MSE	1357VULN|237DMG|37BPWR|4LEGI|67MSE|8AART|9RCR|aZMB
16	23362 35632	   	189.73	DCR|5VULN|2DMG|2DUR	1357aVULN|23DMG|3BPWR|4LHND|69DUR|8RCR
17	23342 62213	 * 	189.17	DCR|4VULN|3DMG|1CDMG	1357VULN|237DMG|37BPWR|4LEGI|6DMSP|8CDMG|9RPLT|aRCR
18	23312 16261	   	188.22	DCR|3VULN|3DMG|1AART	13aVULN|237DMG|3BPWR|4CGEN|5LWND|6MLV|8AART|9RCR
19	23325 16261	   	188.22	DCR|3VULN|3DMG|1AART	13aVULN|237DMG|3BPWR|4BEXP|5CGEN|6MLV|8AART|9RCR
20	23335 16261	   	188.22	DCR|3VULN|3DMG|1AART	13aVULN|237DMG|3BPWR|4LWND|5CGEN|6MLV|8AART|9RCR
21	53132 14261	   	188.22	DCR|3VULN|3DMG|1AART	124DMG|24BPWR|34LHND|56aVULN|7BEXP|8AART|9RCR
22	23315 16261	   	188.12	DCR|3VULN|3DMG|1AART	13aVULN|237DMG|3BPWR|4CGEN|5DUST|6MLV|8AART|9RCR
23	23362 35633	   	187.90	DCR|4VULN|2DMG|2DUR|1ZMB	1357VULN|23DMG|3BPWR|4LHND|69DUR|8RCR|aZMB
24	23512 52611	   	187.77	DCR|3VULN|2DMG|1AART|1ZMB	17aVULN|27DMG|37LHND|4RMIN|5AART|6DLOT|7BPWR|8RCR|9ZMB
25	23512 52613	   	187.77	DCR|3DMG|2VULN|1AART|1ZMB	17VULN|27aDMG|37LHND|4RMIN|5AART|6DLOT|7BPWR|8RCR|9ZMB
26	53426 32311	   	187.74	ACR|3DMG|2VULN|1AART|1CDMG	127DMG|2BPWR|3CDMG|48VULN|5RCR|6BEXP|9LHND|aAART
27	53426 32321	   	187.74	ACR|3DMG|2VULN|1AART|1CDMG	127DMG|2BPWR|3CDMG|48VULN|5RCR|6BEXP|9FEWX|aAART
28	53632 21611	   	186.62	DCR|3DMG|2VULN|1AART|1FLTHEA	124DMG|24BPWR|34DUST|58VULN|6FLTHEA|7AART|9RCR|aRPLT
29	53632 21112	   	186.62	DCR|3DMG|2VULN|1AART|1FLTHEA	124DMG|24BPWR|34DUST|5aVULN|6FLTHEA|7AART|8RCVC|9RCR
30	36422 13112	 * 	186.21	DCR|2AART|2DMG|2VULN|1CDMG	16BEXP|2LSRICY|3CDMG|46DMG|57AART|6BPWR|8RCR|9aVULN
31	23311 52633	   	186.07	DCR|3VULN|3DMG|1CDMG|1ZMB	139VULN|237DMG|3BPWR|4CGEN|5RPLT|6ZMB|8CDMG|aRCR
32	32123 11212	 * 	185.78	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA|1ASPD	1BEXP|2AART|39CDMG|47DMG|5ASPD|6FLTHEA|8RCR|aVULN
33	21422 43116	   	185.74	DCR|2AART|2VULN|1DMG|2CDMG|1ZMB	19VULN|2SNIHEL|36CDMG|4DMG|57AART|8RCR|aZMB
34	55333 33331	 * 	185.59	DCR|2DMG|3ZMB|1AART|2ASPD|1CDMG|1DUR	1aDMG|24ASPD|34aZMB|4aBPWR|5DUR|6AART|7CDMG|8RCR|9aBEXP
35	22211 25463	 * 	185.38	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	167VULN|2FEWX|3TLV|4RCR|56DUR|6BPWR|8DMG|9AART|aCDMG
36	23362 35612	   	185.25	DCR|4VULN|2DMG|1CDMG|1DUR	1357VULN|23DMG|3BPWR|4LHND|6DUR|8RCR|9BELT|aCDMG
37	23362 25632	   	185.25	DCR|4VULN|2DMG|1CDMG|1DUR	1357VULN|23DMG|3BPWR|4LHND|6LWND|8RCR|9DUR|aCDMG
38	23452 52221	   	184.77	DCR|3DMG|2VULN|1AART|1ZMB	15VULN|257DMG|39RMIN|4RPLT|5BPWR|6ZMB|8RCR|aAART
39	21613 41132	   	184.68	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	17aVULN|2SNIHEL|3AART|4DMG|5DUR|68CDMG|9RCR
40	21422 23114	   	183.98	DCR|3VULN|2AART|1DMG|1CDMG	19aVULN|26SNIHEL|3CDMG|4DMG|57AART|8RCR
41	36422 13532	   	183.81	DCR|2AART|2DMG|2VULN|1CDMG	16BEXP|2LSRICY|3CDMG|46DMG|57AART|6BPWR|8aVULN|9RCR
42	42123 36353	   	183.30	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1DUST|2AART|3CDMG|46DMG|5ASPD|7MLV|8RCR|9aVULN
43	42123 35353	   	183.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1DUST|2AART|3CDMG|46DMG|5ASPD|7TLV|8RCR|9aVULN
44	23561 32311	 * 	183.12	DCR|3VULN|2DMG|1AART|2ASPD	167VULN|27DMG|3LHND|4LIT|57ASPD|7BPWR|8ERES|9AART|aRCR
45	23311 33552	   	182.92	DCR|4VULN|3DMG	139aVULN|239DMG|39BPWR|4CGEN|5RPLT|6LHND|7RCR|89BEXP
46	21616 41332	   	182.88	DCR|3VULN|2AART|1DMG|1CDMG	17aVULN|2SNIHEL|38AART|4DMG|5LWND|6CDMG|9RCR
47	23323 46513	   	182.86	DCR|3DMG|2VULN|1AART|1DUR|1SELL	13VULN|238DMG|3BPWR|4BEXP|5FEWX|6SELL|7RCR|9DUR|aAART
48	53426 12112	   	182.48	ACR|3DMG|2VULN|1CDMG|1ZMB|1DUR	127DMG|2BPWR|3CDMG|4aVULN|5RCR|6DUR|8ZMB|9LIT
49	23311 52236	   	182.16	DCR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	13VULN|237DMG|3BPWR|4CGEN|5RPLT|6ZMB|8RCR|9ASPD|aCDMG
50	23311 52262	   	182.16	DCR|3DMG|2VULN|1CDMG|1ZMB|1DUR	13VULN|237DMG|3BPWR|4CGEN|5RPLT|6ZMB|8RCR|9CDMG|aDUR
51	53411 35412	 * 	182.07	DCR|3DMG|3ZMB|1AART|2CDMG	129DMG|29BPWR|39CDMG|4RPLT|589ZMB|6AART|7MBVNT|aRCR
52	51325 41332	   	181.78	DCR|3VULN|2AART|1DMG|1CDMG	1DMG|2LHND|3LSRICY|47aVULN|58AART|6CDMG|9RCR
53	21422 11332	   	181.68	DCR|3VULN|2AART|1DMG|1CDMG	17aVULN|2SNIHEL|3CDMG|4DMG|58AART|6LWND|9RCR
54	23311 52265	   	181.53	DCR|3DMG|2VULN|2CDMG|1ZMB	13VULN|237DMG|3BPWR|4CGEN|5RPLT|6ZMB|8RCR|9aCDMG
55	32162 63433	   	181.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2AART|3CDMG|45aVULN|6ASPD|7RMIN|8RCR|9DMG
56	53132 13227	   	181.07	DCR|3DMG|2VULN|1AART|1ZMB	124DMG|24BPWR|34LHND|56VULN|7MBVNT|8AART|9ZMB|aRCR
57	23553 32611	   	180.57	DCR|3VULN|2DMG|1AART|1ZMB	167VULN|27DMG|3LHND|4ZMB|57LIT|7BPWR|8ERES|9AART|aRCR
58	23313 25662	   	180.52	DCR|4VULN|3DMG	1379VULN|239DMG|39BPWR|4CGEN|5MLV|69LHND|8RCR|aBEXP
59	23361 32632	   	180.52	DCR|4VULN|3DMG	139aVULN|23aDMG|3aBPWR|4LHND|5LWND|6RMIN|7aLIT|8RCR
60	23313 25661	   	180.42	DCR|4VULN|3DMG	1379VULN|239DMG|39BPWR|4CGEN|5MLV|69LHND|8RCR|aERES
61	23313 25663	   	180.42	DCR|4VULN|3DMG	1379VULN|239DMG|39BPWR|4CGEN|5MLV|69LHND|8RCR|aDLOT
62	21422 45222	 * 	180.33	DCR|2VULN|1AART|3CDMG|1DMG|1ZMB	1aVULN|2SNIHEL|369CDMG|4DMG|5AART|7ZMB|8RCR
63	53426 31312	 * 	180.29	ACR|3VULN|3DMG|1CDMG	12aDMG|2aBPWR|3CDMG|48aVULN|5RCR|6BEXP|7ERES|9aMLV
64	53426 32332	   	180.19	ACR|3VULN|3DMG|1CDMG	127DMG|2BPWR|3CDMG|48aVULN|5RCR|69BEXP
65	22211 15463	   	179.99	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	167VULN|2FEWX|3TLV|4RCR|5DUR|8DMG|9AART|aCDMG
66	23316 62134	   	179.77	DCR|3VULN|3DMG|1CDMG	139VULN|23aDMG|3BPWR|4CGEN|5FEWX|6CDMG|7LSRREG|8RCR
67	23315 62133	   	179.67	DCR|3VULN|3DMG|1CDMG	139VULN|23aDMG|3BPWR|4CGEN|5DUST|6CDMG|7LSRREG|8RCR
68	23315 64133	   	179.67	DCR|3VULN|3DMG|1CDMG	139VULN|23aDMG|3BPWR|4CGEN|5DUST|6CDMG|7BASICY|8RCR
69	23362 35342	   	179.63	DCR|5VULN|2DMG|1DUR	13578VULN|23DMG|3BPWR|4LHND|6DUR|9FEWX|aRCR
70	23362 35352	   	179.63	DCR|5VULN|2DMG|1DUR	13578VULN|23DMG|3BPWR|4LHND|6DUR|9BEXP|aRCR
71	23355 62133	   	179.57	DCR|3VULN|3DMG|1CDMG	139VULN|23aDMG|3BPWR|4ERES|5DUST|6CDMG|7LSRREG|8RCR
72	23312 46262	   	179.51	DCR|3DMG|2VULN|1AART|1ASPD	13VULN|237DMG|3BPWR|4CGEN|5LWND|6ASPD|8AART|9RCR|aFEWX
73	23312 46263	   	179.51	DCR|3DMG|2VULN|1AART|1ASPD	13VULN|237DMG|3BPWR|4CGEN|5LWND|6ASPD|8AART|9RCR|aDMSP
74	23313 36262	   	179.51	DCR|3DMG|2VULN|1AART|1DUR	13VULN|237DMG|3BPWR|4CGEN|5MLV|6DUR|8AART|9RCR|aFEWX
75	23313 36264	   	179.51	DCR|3DMG|2VULN|1AART|1DUR	13VULN|237DMG|3BPWR|4aCGEN|5MLV|6DUR|8AART|9RCR
76	23313 36266	   	179.51	DCR|3DMG|2VULN|1AART|1DUR	13VULN|237DMG|3BPWR|4CGEN|5MLV|6DUR|8AART|9RCR|aLIT
77	32123 11252	   	179.46	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ASPD	1BEXP|2AART|3CDMG|47DMG|5ASPD|6FLTHEA|8RCR|9CGEN|aVULN
78	23313 36263	   	179.41	DCR|3DMG|2VULN|1AART|1DUR	13VULN|237DMG|3BPWR|4CGEN|5MLV|6DUR|8AART|9RCR|aLEGI
