0	Index      	 *	Score 	Summary	Detail	
1	21425 33363	 * 	189.02	DCR|3VULN|2DMG|1AART|1CDMG	129ERES|3RMIN|459VULN|69DMG|7AART|8RCR|9BPWR|aCDMG
2	23425 33362	   	186.11	DCR|3VULN|2DMG|1AART|1DUR	19ERES|2RCVC|3RMIN|459VULN|69DMG|7AART|8RCR|9BPWR|aDUR
3	31336 53362	   	185.21	DCR|3VULN|2DMG|1AART|1DUR	1RMIN|269VULN|39ERES|49DMG|5RCVC|7AART|8RCR|9BPWR|aDUR
4	23421 16362	 * 	184.86	DCR|3VULN|3ZMB|1AART|1CDMG	179ERES|2RCVC|3RMIN|479VULN|5AART|679ZMB|79BPWR|8RCR|aCDMG
5	31553 52332	 * 	184.53	ACR|5VULN|1AART|1DMG	1RMIN|23467VULN|3BPWR|5RCR|8AART|9ERES|aDMG
6	31552 32521	 * 	183.83	DCR|4VULN|1AART|1DMG|1CDMG	1RMIN|234aVULN|3BPWR|5CDMG|6AART|7DMG|8LIT|9RCR
7	66221 13513	   	183.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2RCVC|3ASPD|48VULN|5AART|6RCR|7FEWX|9CDMG|aDMG
8	12232 41112	 * 	181.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aLIT|2DUR|3aVULN|4RCR|5ZMB|6AART|7MLV|8aDMG|9RPLT|aBPWR
9	12232 46126	 * 	180.53	ACR|2DMG|2AART|1VULN|2DUR|1ZMB	1aLIT|2aDUR|3VULN|4RCR|5ZMB|69AART|7RPLT|8aDMG|aBPWR
10	23221 13666	   	180.45	DCR|3VULN|3ZMB|1AART|1ASPD	19ERES|2RCVC|3ASPD|49aVULN|5AART|689ZMB|7RCR|9BPWR
11	23425 33361	   	179.17	DCR|3VULN|2DMG|1AART	19ERES|2RCVC|3RMIN|459VULN|69DMG|7AART|8RCR|9BPWR|aLWND
12	23425 33363	   	179.17	DCR|3VULN|2DMG|1AART	19ERES|2RCVC|3RMIN|459VULN|69DMG|7AART|8RCR|9BPWR|aCGEN
13	31336 53361	   	178.27	DCR|3VULN|2DMG|1AART	1RMIN|269VULN|39ERES|49DMG|5RCVC|7AART|8RCR|9BPWR|aLWND
14	31336 53363	   	178.27	DCR|3VULN|2DMG|1AART	1RMIN|269VULN|39ERES|49DMG|5RCVC|7AART|8RCR|9BPWR|aCGEN
15	31553 52311	 * 	178.22	ACR|5VULN|1AART|1FLTHEA	1RMIN|23467VULN|3BPWR|5RCR|8AART|9LWND|aFLTHEA
16	31553 52321	   	178.22	ACR|5VULN|1AART|1FLTHEA	1RMIN|23467VULN|3BPWR|5RCR|8AART|9LHND|aFLTHEA
17	23421 16335	 * 	177.64	DCR|3VULN|1AART|1DMG|2ZMB	17ERES|2RCVC|3RMIN|47aVULN|5AART|67ZMB|7BPWR|8RCR|9DMG
