0	Index      	 *	Score 	Summary	Detail	
1	43415 44532	 * 	183.61	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|2aLIT|34aVULN|5SNIHEL|6DUR|7RCR|8aDMG|9AART|aBPWR
2	46432 11114	 * 	183.26	DCR|2VULN|2DMG|3ZMB|2CDMG	1MBVNT|27DMG|3aVULN|457ZMB|67CDMG|7BPWR|8RCR|9DMSP
3	46432 11124	   	183.26	DCR|2VULN|2DMG|3ZMB|2CDMG	1MBVNT|27DMG|3aVULN|457ZMB|67CDMG|7BPWR|8RCR|9RCVC
4	43424 17622	   	182.32	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1MBVNT|2LIT|38aVULN|4AART|5DMG|6RCR|7ZMB|9ASPD
5	42417 18412	 * 	181.83	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1MBVNT|2LHND|3CDMG|4ZMB|59AART|68VULN|7RCR|aDMG
6	46432 11118	 * 	181.33	DCR|3DMG|3ZMB|1VULN|2CDMG	1MBVNT|27aDMG|3VULN|457ZMB|67CDMG|7BPWR|8RCR|9DMSP
7	46432 11128	   	181.33	DCR|3DMG|3ZMB|1VULN|2CDMG	1MBVNT|27aDMG|3VULN|457ZMB|67CDMG|7BPWR|8RCR|9RCVC
8	46432 11134	   	181.33	DCR|3DMG|3ZMB|1VULN|2CDMG	1MBVNT|27aDMG|3VULN|457ZMB|67CDMG|7BPWR|8RCR|9BEXP
9	46432 11144	   	181.33	DCR|3DMG|3ZMB|1VULN|2CDMG	1MBVNT|27aDMG|3VULN|457ZMB|67CDMG|7BPWR|8RCR|9LWND
10	46432 11171	   	181.33	DCR|3DMG|3ZMB|1VULN|2CDMG	1MBVNT|27aDMG|3VULN|457ZMB|67CDMG|7BPWR|8RCR|9BELT
11	46413 13428	 * 	181.25	DCR|3DMG|2VULN|1CDMG|2DUR	1MBVNT|29aDMG|39VULN|4CGEN|5RPLT|6RCR|7CDMG|89DUR|9BPWR
12	46421 23173	   	180.51	DCR|3VULN|2DMG|1AART|1ASPD	1MBVNT|2aDMG|345VULN|6AART|7FEWX|8ASPD|9RCR
13	43424 17621	   	180.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1MBVNT|2LIT|38VULN|4AART|5DMG|6RCR|7ZMB|9ASPD|aCDMG
14	43424 16442	 * 	179.96	DCR|2VULN|2DMG|1AART|2ASPD	1MBVNT|2aLIT|3aVULN|4AART|58DMG|6RCR|7VENICY|9aASPD|aBPWR
15	43424 16842	   	179.96	DCR|2VULN|2DMG|1AART|2ASPD	1MBVNT|2aLIT|3aVULN|4AART|59DMG|6RCR|7VENICY|8aASPD|aBPWR
16	46432 11354	   	178.93	DCR|3DMG|3ZMB|1VULN|2CDMG	1MBVNT|27aDMG|3VULN|457ZMB|67CDMG|7BPWR|8LWND|9RCR
17	43614 44263	 * 	178.90	DCR|2VULN|2DMG|2AART|1DUR	1MBVNT|29LIT|39DMG|4LHND|5DUR|6aAART|79VULN|8RCR|9BPWR
18	43624 44263	   	178.80	DCR|2VULN|2DMG|2AART|1DUR	1MBVNT|29LIT|39DMG|4DUST|5DUR|6aAART|79VULN|8RCR|9BPWR
19	46433 51114	 * 	178.71	DCR|3VULN|2DMG|3ZMB|1SELL	1MBVNT|27DMG|37aVULN|467ZMB|5SELL|7BPWR|8RCR|9DMSP
20	46433 51124	 * 	178.71	DCR|3VULN|2DMG|3ZMB|1SELL	1MBVNT|27DMG|37aVULN|467ZMB|5SELL|7BPWR|8RCR|9RCVC
21	46433 51134	 * 	178.71	DCR|3DMG|2VULN|3ZMB|1SELL	1MBVNT|27aDMG|37VULN|467ZMB|5SELL|7BPWR|8RCR|9BEXP
22	46433 51144	 * 	178.71	DCR|3DMG|2VULN|3ZMB|1SELL	1MBVNT|27aDMG|37VULN|467ZMB|5SELL|7BPWR|8RCR|9LWND
23	43424 16422	 * 	178.65	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|2aLIT|3aVULN|4AART|58DMG|6RCR|7VENICY|9aDUR|aBPWR
24	43411 65242	   	178.47	DCR|3VULN|2DMG|1AART	1MBVNT|2aLIT|34aVULN|5LHND|6AART|7RCR|8AIRHEA|9aDMG|aBPWR
25	43424 16812	 * 	178.03	DCR|3VULN|1AART|1DMG|2ASPD	1MBVNT|2aLIT|39aVULN|4AART|5DMG|6RCR|7VENICY|8aASPD|aBPWR
