0	Index      	 *	Score 	Summary	Detail	
1	22433 65221	 * 	189.02	DCR|4VULN|3DMG|1ZMB	17aDMG|2DMSP|3ZMB|47BEXP|5678VULN|7BPWR|9RCR
2	22433 65223	 * 	187.02	DCR|4VULN|2DMG|1CDMG|1ZMB	17DMG|2DMSP|3ZMB|47BEXP|5678VULN|7BPWR|9RCR|aCDMG
3	26662 42314	 * 	186.28	DCR|3VULN|3DMG|2CDMG	15aDMG|25LWND|3RPLT|4MBVNT|5aBPWR|67aVULN|8RCR|9aCDMG
4	61415 12213	 * 	186.21	DCR|3VULN|2DMG|1AART|1ASPD	1AART|2RCVC|37DMG|4LWND|57LIT|67aVULN|7BPWR|8RCR|9ASPD
5	22115 12213	   	185.01	DCR|3VULN|2DMG|1AART|1ASPD	17DMG|2DMSP|3AART|4LWND|57LIT|67aVULN|7BPWR|8RCR|9ASPD
6	63621 11234	 * 	184.03	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1AART|2MLV|3CDMG|47VULN|5DUST|6ZMB|8RCR|9DMG|aFLTHEA
7	52526 21213	   	182.41	DCR|3VULN|2DMG|1AART|1ASPD	1LHND|23aVULN|45DMG|6LIT|7AART|8RCR|9ASPD
8	64116 31232	 * 	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2LWND|367VULN|4BEXP|5CDMG|8RCR|9DMG|aDUR
9	64136 31232	   	182.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2LWND|367VULN|4FEWX|5CDMG|8RCR|9DMG|aDUR
10	32544 13132	 * 	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|235VULN|4RCR|6AART|7CDMG|8LHND|9DMG|aDUR
11	61415 12211	   	181.56	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2RCVC|37DMG|4LWND|57LIT|67VULN|7BPWR|8RCR|9ASPD|aZMB
12	32544 22131	 * 	181.14	ACR|4VULN|2DMG|1CDMG	1aFEWX|235aVULN|4RCR|6CDMG|7LEGI|8LWND|9aDMG|aBPWR
13	26434 33231	 * 	181.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2LWND|3DUR|4CGEN|56VULN|7RCR|8CDMG|aAART
14	26662 42331	   	180.42	DCR|4VULN|3DMG	15aDMG|25aLWND|3RPLT|4MBVNT|5aBPWR|679aVULN|8RCR
15	22115 12211	   	180.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	17DMG|2DMSP|3AART|4LWND|57LIT|67VULN|7BPWR|8RCR|9ASPD|aZMB
16	23644 11331	 * 	179.87	DCR|3VULN|3DMG|2ASPD	15aDMG|2LHND|3RPLT|4aASPD|6RMIN|79aVULN|8RCR|aBPWR
