0	Index      	 *	Score 	Summary	Detail	
1	31483 81741	 * 	330.44	DCR|DCR|3VULN|1MLV|1DMG|1ASPD	1MBVNT|2CGEN|35aVULN|4DMG|6MLV|7ASPD|89RCR
2	33513 31741	 * 	324.39	DCR|DCR|4VULN|1DMG|1ASPD	1MBVNT|2LWND|345aVULN|6DMG|7ASPD|89RCR
3	32514 31741	   	324.29	DCR|DCR|4VULN|1DMG|1ASPD	1MBVNT|2DUST|345aVULN|6DMG|7ASPD|89RCR
4	33513 31747	 * 	321.83	DCR|DCR|3VULN|2DMG|1ASPD	1MBVNT|2LWND|345VULN|6aDMG|7ASPD|89RCR
5	32514 31747	   	321.73	DCR|DCR|3VULN|2DMG|1ASPD	1MBVNT|2DUST|345VULN|6aDMG|7ASPD|89RCR
6	33513 31748	   	317.89	DCR|DCR|3VULN|1DMG|1ASPD|1CDMG	1MBVNT|2LWND|345VULN|6DMG|7ASPD|89RCR|aCDMG
7	32514 31748	   	317.79	DCR|DCR|3VULN|1DMG|1ASPD|1CDMG	1MBVNT|2DUST|345VULN|6DMG|7ASPD|89RCR|aCDMG
8	31135 46741	 * 	312.87	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1MBVNT|26CGEN|3TLV|4aVULN|5ASPD|7DMG|89RCR
9	31135 36741	   	312.77	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1MBVNT|2CGEN|3TLV|4aVULN|5ASPD|6AEWIND|7DMG|89RCR
10	32514 31742	   	312.44	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2DUST|345VULN|6DMG|7ASPD|89RCR|aDUR
11	31113 16741	 * 	310.89	DCR|DCR|2VULN|2TLV|1DMG	1MBVNT|24CGEN|34TLV|4BPWR|5ZMB|6aVULN|7DMG|89RCR
12	34553 14741	 * 	308.32	DCR|DCR|2VULN|2DMG|1MLV	1MBVNT|2RMIN|34DMG|4BPWR|5ZMB|6aVULN|7MLV|89RCR
13	31234 86741	   	306.98	DCR|DCR|2VULN|1MLV|1DMG|1ASPD	1MBVNT|2CGEN|3DMSP|4aVULN|5ASPD|6MLV|7DMG|89RCR
14	31486 41741	   	306.98	DCR|DCR|2VULN|1MLV|1DMG|1ASPD	1MBVNT|26CGEN|3aVULN|4DMG|5MLV|7ASPD|89RCR
15	31483 81742	   	306.98	DCR|DCR|2VULN|1MLV|1DMG|1ASPD	1MBVNT|2CGEN|35VULN|4DMG|6MLV|7ASPD|89RCR|aRCVC
16	31483 81743	   	306.98	DCR|DCR|2VULN|1MLV|1DMG|1ASPD	1MBVNT|2CGEN|35VULN|4DMG|6MLV|7ASPD|89RCR|aDMSP
17	31486 31741	   	306.88	DCR|DCR|2VULN|1MLV|1DMG|1ASPD	1MBVNT|2CGEN|3aVULN|4DMG|5MLV|6AEWIND|7ASPD|89RCR
18	31483 81744	   	306.88	DCR|DCR|2VULN|1MLV|1DMG|1ASPD	1MBVNT|2CGEN|35VULN|4DMG|6MLV|7ASPD|89RCR|aAEFRZ
19	33483 45741	   	304.88	DCR|DCR|3VULN|1DMG|1AAC	1MBVNT|26LWND|3AAC|4DMG|57aVULN|89RCR
20	31481 15741	   	304.78	DCR|DCR|3VULN|1DMG|1AAC	1MBVNT|2CGEN|37aVULN|4DMG|5ERES|6AAC|89RCR
21	33513 31742	   	304.24	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2LWND|345VULN|6DMG|7ASPD|89RCR|aRCVC
22	33513 31743	   	304.24	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2LWND|345VULN|6DMG|7ASPD|89RCR|aDMSP
23	33513 31746	   	304.24	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2LWND|345VULN|6DMG|7ASPD|89RCR|aLIT
24	31483 41741	   	304.24	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2CGEN|35aVULN|4DMG|6AME|7ASPD|89RCR
25	32513 31741	   	304.14	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2DUST|34aVULN|5DMSP|6DMG|7ASPD|89RCR
26	32514 31743	   	304.14	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2DUST|345VULN|6DMG|7ASPD|89RCR|aZMB
27	32514 31744	   	304.14	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2DUST|345VULN|6DMG|7ASPD|89RCR|aLIT
28	33513 31744	   	304.14	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2LWND|345VULN|6DMG|7ASPD|89RCR|aAEFRZ
29	33533 31741	   	304.14	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2LWND|35aVULN|4AEFBLL|6DMG|7ASPD|89RCR
30	34153 24741	   	304.14	DCR|DCR|2VULN|1MLV|1DMG|1CDMG|1SELL	1MBVNT|2RMIN|3CDMG|4DMG|5aVULN|6SELL|7MLV|89RCR
31	32512 31741	   	304.04	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|25DUST|34aVULN|6DMG|7ASPD|89RCR
32	32534 31741	   	304.04	DCR|DCR|3VULN|1DMG|1ASPD	1MBVNT|2DUST|35aVULN|4AEFBLL|6DMG|7ASPD|89RCR
