0	Index      	 *	Score 	Summary	Detail	
1	52212 33633	 * 	316.74	DCR|DCR|2MLV|1VULN|1DMG|1CDMG|1SELL	1DMG|2VULN|3RAT|4DUR|5SELL|67MLV|8aRCR|9CDMG
2	24212 63512	 * 	308.72	DCR|DCR|2VULN|1TLV|1MLV	1BBNT|2MLV|3DUR|4AEPOI|59VULN|6aRCR|7CGEN|8TLV
3	24212 66332	 * 	302.34	DCR|DCR|2VULN|2MLV	1BBNT|27MLV|3DUR|4AEPOI|59VULN|6aRCR|8DUST
4	24216 62332	   	302.34	DCR|DCR|2VULN|2MLV	1BBNT|28MLV|3DUR|4AEPOI|5DUST|6aRCR|79VULN
5	13212 65332	 * 	302.27	DCR|DCR|3VULN|1TLV	1LWND|2MDPS|3LHND|4TLV|589VULN|6aRCR|7DUR
6	13216 64332	   	302.27	DCR|DCR|3VULN|1TLV	1LWND|2MDPS|3LHND|4TLV|5DUR|6aRCR|789VULN
7	34513 62332	   	302.17	DCR|DCR|3VULN|1TLV	13BEXP|2TLV|4DUR|5BBNT|6aRCR|789VULN
8	51313 25132	 * 	299.58	DCR|3MLV|2VULN|2DMG|1TLV	1aDMG|2AEFRZ|34aMLV|5LHND|6RPLT|7TLV|8aVULN|9RCR|aBPWR
9	24212 61332	 * 	298.77	DCR|DCR|3VULN|1MLV	1BBNT|2MLV|3DUR|4AEPOI|589VULN|6aRCR|7FEWX
10	24212 62332	   	298.77	DCR|DCR|3VULN|1MLV	1BBNT|2MLV|3DUR|4AEPOI|589VULN|6aRCR|7LHND
11	24214 62332	   	298.77	DCR|DCR|3VULN|1MLV	1BBNT|2MLV|3DUR|4AEPOI|5FEWX|6aRCR|789VULN
12	24212 64332	   	298.67	DCR|DCR|3VULN|1MLV	1BBNT|2MLV|3DUR|4AEPOI|579VULN|6aRCR|8DUST
13	13212 64632	   	293.86	DCR|DCR|3VULN|1TLV	1LWND|2MDPS|3LHND|4TLV|579VULN|6aRCR|8BEXP
14	14513 62332	   	293.86	DCR|DCR|3VULN|1TLV	1LWND|2TLV|34BEXP|5BBNT|6aRCR|789VULN
15	34613 62332	   	293.86	DCR|DCR|3VULN|1TLV	14BEXP|2TLV|3LHND|5BBNT|6aRCR|789VULN
16	52134 16112	 * 	291.59	DCR|2VULN|2MLV|3DMG|1TLV	19aDMG|2aVULN|3LSRICY|4TLV|5BBNT|6MDPS|7RCR|8aMLV|aBPWR
17	51311 32532	 * 	287.79	DCR|DCR|2MLV|1TLV|1DMG	1DMG|2AEFRZ|34MLV|5AEBURN|6aRCR|7TLV|8BLASTR|9RMIN
18	51311 32542	   	287.79	DCR|DCR|2MLV|1TLV|1DMG	1DMG|2AEFRZ|34MLV|5AEBURN|6aRCR|7TLV|8BLASTR|9CGEN
19	21312 63512	   	286.78	DCR|DCR|2VULN|1TLV|2DUR	1BBNT|23DUR|3BPWR|4AME|59VULN|6aRCR|7CGEN|8TLV
