0	Index      	 *	Score 	Summary	Detail	
1	42316 11216	 * 	296.49	DCR|4VULN|2MLV|2DMG	19ERES|2459VULN|3DUR|6RCR|7aMLV|89DMG|9BPWR
2	42316 11212	   	285.95	DCR|4VULN|2DMG|1MLV|1CDMG	19ERES|2459VULN|3DUR|6RCR|7MLV|89DMG|9BPWR|aCDMG
3	42316 21216	   	282.28	DCR|4VULN|2MLV|1AAC|2DUR	1ERES|2456VULN|36DUR|6BPWR|7AAC|8aMLV|9RCR
4	23151 33215	 * 	281.62	DCR|DCR|1VULN|1TLV|1MLV	1AEPOI|2BELT|3RAT|4TLV|5LIT|6VULN|79RCR|8LWND|aMLV
5	23151 33415	   	281.62	DCR|DCR|1VULN|1TLV|1MLV	1AEPOI|2BELT|3RAT|4TLV|5LIT|6VULN|79RCR|8FEWX|aMLV
6	23152 33215	   	281.62	DCR|DCR|1VULN|1TLV|1MLV	1AEPOI|2BELT|3RAT|4TLV|5VULN|6LIT|79RCR|8LWND|aMLV
7	23152 33415	   	281.62	DCR|DCR|1VULN|1TLV|1MLV	1AEPOI|2BELT|3RAT|4TLV|5VULN|6LIT|79RCR|8FEWX|aMLV
8	23642 33215	   	281.62	DCR|DCR|1VULN|1TLV|1MLV	1AEPOI|2BELT|3TLV|4RAT|5VULN|6LIT|79RCR|8LWND|aMLV
9	23641 33215	   	281.62	DCR|DCR|1VULN|1TLV|1MLV	1AEPOI|2BELT|3TLV|4RAT|5LIT|6VULN|79RCR|8LWND|aMLV
10	42316 11215	   	280.61	DCR|4VULN|2DMG|1MLV	19ERES|2459VULN|3DUR|6RCR|7MLV|89DMG|9BPWR|aAART
11	42323 12315	 * 	279.67	DCR|DCR|2VULN|1DMG	1ERES|25VULN|3DUR|4RAT|6RPLT|7aRCR|8DMG|9LSRICY
12	23513 63442	   	278.92	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1AEPOI|2BELT|3LHND|4VULN|5MBVNT|6CDMG|7aRCR|8AAC|9TLV
13	42216 11212	   	277.64	DCR|4VULN|2DMG|1MLV|1CDMG	19ERES|2459VULN|3LWND|6RCR|7MLV|89DMG|9BPWR|aCDMG
14	42616 11212	   	277.64	DCR|4VULN|2DMG|1MLV|1CDMG	19ERES|2459VULN|3FEWX|6RCR|7MLV|89DMG|9BPWR|aCDMG
15	42416 11212	   	277.54	DCR|4VULN|2DMG|1MLV|1CDMG	19ERES|2459VULN|3DUST|6RCR|7MLV|89DMG|9BPWR|aCDMG
16	32123 66532	 * 	276.92	ACR|DCR|2VULN|2DMG|1TLV|1SELL	1SELL|2FEWX|3DUST|4aRCR|59VULN|67DMG|8TLV
17	42323 12415	   	276.50	DCR|DCR|2VULN|1AAC	1ERES|25VULN|3DUR|4RAT|6RPLT|7aRCR|8AAC|9LSRICY
18	23142 33215	 * 	273.71	DCR|DCR|2MLV|1VULN	1AEPOI|2BELT|3RAT|4VULN|5aMLV|6LIT|79RCR|8LWND
19	23142 33415	   	273.71	DCR|DCR|2MLV|1VULN	1AEPOI|2BELT|3RAT|4VULN|5aMLV|6LIT|79RCR|8FEWX
20	23513 63542	   	272.39	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1AEPOI|2BELT|3LHND|4VULN|5MBVNT|6CDMG|7aRCR|8MLV|9ASPD
21	42216 11215	   	272.30	DCR|4VULN|2DMG|1MLV	19ERES|2459VULN|3LWND|6RCR|7MLV|89DMG|9BPWR|aDUR
22	42316 11211	   	272.30	DCR|4VULN|2DMG|1MLV	19ERES|2459VULN|3DUR|6RCR|7MLV|89DMG|9BPWR|aCGEN
23	42316 13216	   	272.30	DCR|4VULN|2DMG|1MLV	19ERES|2459VULN|3DUR|6RCR|7CGEN|89DMG|9BPWR|aMLV
24	42316 11213	   	272.20	DCR|4VULN|2DMG|1MLV	19ERES|2459VULN|3DUR|6RCR|7MLV|89DMG|9BPWR|aAEPOI
25	42316 11214	   	272.20	DCR|4VULN|2DMG|1MLV	19aERES|2459VULN|3DUR|6RCR|7MLV|89DMG|9BPWR
26	42316 21212	   	271.74	DCR|4VULN|1MLV|1AAC|2DUR|1CDMG	1ERES|2456VULN|36DUR|6BPWR|7AAC|8MLV|9RCR|aCDMG
27	16223 12315	   	271.56	DCR|DCR|2VULN|1DMG	1RMIN|2RAT|35LWND|45VULN|5BPWR|6RPLT|7aRCR|8DMG|9MSLREG
28	16533 12315	   	271.56	DCR|DCR|2VULN|1DMG	1RMIN|2RAT|35VULN|45LWND|5BPWR|6RPLT|7aRCR|8DMG|9MSLREG
29	16623 12315	   	271.56	DCR|DCR|2VULN|1DMG	1RMIN|2RAT|35LHND|45VULN|5BPWR|6RPLT|7aRCR|8DMG|9MSLREG
30	42623 12315	   	271.36	DCR|DCR|2VULN|1DMG	1ERES|25VULN|3FEWX|4RAT|6RPLT|7aRCR|8DMG|9LSRICY
31	42423 12315	   	271.26	DCR|DCR|2VULN|1DMG	1ERES|25VULN|3DUST|4RAT|6RPLT|7aRCR|8DMG|9LSRICY
32	12116 43622	 * 	269.92	DCR|3VULN|1TLV|2ASPD|3DUR	1RMIN|28ASPD|368DUR|4TLV|5RAT|78aVULN|8BPWR|9RCR
33	13116 43621	 * 	268.93	DCR|2VULN|3DMG|1TLV|3DUR	1RMIN|268DUR|38aDMG|4TLV|5RAT|78VULN|8BPWR|9RCR
34	42534 11132	 * 	268.71	DCR|2VULN|2MLV|1TLV|1ASPD|1CDMG	13ERES|29VULN|4TLV|57MLV|6RCR|8CDMG|aASPD
35	16223 12415	   	268.39	DCR|DCR|2VULN|1AAC	1RMIN|2RAT|35LWND|45VULN|5BPWR|6RPLT|7aRCR|8AAC|9MSLREG
36	42223 12415	   	268.19	DCR|DCR|2VULN|1AAC	1ERES|25VULN|3LWND|4RAT|6RPLT|7aRCR|8AAC|9LSRICY
37	12116 43621	 * 	266.52	DCR|2VULN|1TLV|2ASPD|1DMG|3DUR	1RMIN|28ASPD|368DUR|4TLV|5RAT|78VULN|8BPWR|9RCR|aDMG
