0	Index      	 *	Score 	Summary	Detail	
1	14652 31221	 * 	309.54	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1ASPD|1CDMG	1AAC|2TBNT|3BBNT|4DMG|5MLV|6aRCR|7ASPD|8CDMG|9VULN
2	23343 11442	 * 	293.45	DCR|DCR|2VULN|1TLV|1AAC	1RCVC|2aVULN|3BBNT|4MBVNT|5TLV|6DMSP|79RCR|8AAC
3	23433 11442	   	293.45	DCR|DCR|2VULN|1TLV|1AAC	1RCVC|2aVULN|3MBVNT|4TBNT|5TLV|6DMSP|79RCR|8AAC
4	62343 11442	   	293.35	DCR|DCR|2VULN|1TLV|1AAC	1AEBURN|2aVULN|3BBNT|4MBVNT|5TLV|6DMSP|79RCR|8AAC
5	62433 11442	   	293.35	DCR|DCR|2VULN|1TLV|1AAC	1AEBURN|2aVULN|3MBVNT|4TBNT|5TLV|6DMSP|79RCR|8AAC
6	14652 33221	   	293.29	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1AAC|2TBNT|3BBNT|4DMG|5MLV|6aRCR|7ZMB|8CDMG|9VULN
7	21671 61442	 * 	291.57	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1RCVC|2TLV|3MBVNT|4AME|5MLV|6BBNT|79RCR|8AAC|aVULN
8	35324 31221	   	289.48	DCR|DCR|1VULN|1MLV|1AAC|1ASPD|1CDMG	1ZMB|2AAC|3BBNT|4MLV|5TBNT|6aRCR|7ASPD|8CDMG|9VULN
9	23343 11445	   	285.43	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1RCVC|2VULN|3BBNT|4MBVNT|5TLV|6DMSP|79RCR|8AAC|aDMG
10	23433 11445	   	285.43	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1RCVC|2VULN|3MBVNT|4TBNT|5TLV|6DMSP|79RCR|8AAC|aDMG
11	62343 11445	   	285.33	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AEBURN|2VULN|3BBNT|4MBVNT|5TLV|6DMSP|79RCR|8AAC|aDMG
12	62433 11445	   	285.33	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AEBURN|2VULN|3MBVNT|4TBNT|5TLV|6DMSP|79RCR|8AAC|aDMG
13	23425 11442	 * 	284.82	DCR|DCR|3VULN|1AAC	1RCVC|24aVULN|3MBVNT|4BPWR|5BBNT|6AME|79RCR|8AAC
14	23425 21142	   	284.82	DCR|DCR|3VULN|1AAC	1RCVC|24aVULN|3MBVNT|4BPWR|5BBNT|6AAC|79RCR|8CGEN
15	62425 11442	   	284.72	DCR|DCR|3VULN|1AAC	14AEBURN|24aVULN|3MBVNT|4BPWR|5BBNT|6AME|79RCR|8AAC
16	62425 21142	   	284.72	DCR|DCR|3VULN|1AAC	14AEBURN|24aVULN|3MBVNT|4BPWR|5BBNT|6AAC|79RCR|8CGEN
17	23324 24132	 * 	284.16	DCR|4VULN|2TLV|2DMG	1RCVC|289aVULN|3BBNT|4BASARM|59TLV|69DMG|7RCR|9BPWR
18	21351 44332	 * 	283.63	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1RCVC|2TLV|3DUR|45MLV|6RCR|7DMG|8ASPD|9aVULN
19	23425 11445	   	281.42	DCR|DCR|2VULN|1DMG|1AAC	1RCVC|24VULN|3MBVNT|4BPWR|5BBNT|6AME|79RCR|8AAC|aDMG
20	23425 21145	   	281.42	DCR|DCR|2VULN|1DMG|1AAC	1RCVC|24VULN|3MBVNT|4BPWR|5BBNT|6AAC|79RCR|8CGEN|aDMG
