0	Index      	 *	Score 	Summary	Detail	
1	31423 16612	 * 	280.74	ACR|DCR|3AAC|1VULN|1TLV|1MLV	1RMIN|29RCR|345AAC|6VULN|7TBNT|8MLV|aTLV
2	35121 31352	 * 	274.99	DCR|3MLV|2TLV|2DMG|1ASPD	1RMIN|2aDMG|3aTLV|4AART|5ZMB|6ASPD|79aMLV|8RCR|aBPWR
3	32112 16124	 * 	269.37	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	1RMIN|2CGEN|3TLV|46DMG|5MLV|79VULN|8RCR|aAAC
4	32151 16124	   	269.37	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	1RMIN|2CGEN|3TLV|4MLV|56DMG|79VULN|8RCR|aAAC
5	34112 16124	   	269.27	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	1RMIN|2ERES|3TLV|46DMG|5MLV|79VULN|8RCR|aAAC
6	35131 16124	   	269.27	DCR|2VULN|2DMG|1TLV|1MLV|1AAC|1NUKE	1RMIN|26DMG|3TLV|4MLV|5NUKE|79VULN|8RCR|aAAC
7	41323 27247	 * 	266.61	DCR|DCR|1VULN|1DMG|1CDMG	1CDMG|2DUST|3VULN|4AART|5MBVNT|6ZMB|7DMG|8DUR|9aRCR
8	12322 74467	 * 	264.66	DCR|DCR|2TLV|2CDMG|1AAC	18FRZICY|2SPLREG|3TBNT|4MBVNT|58CDMG|6AAC|78TLV|8BPWR|9aRCR
9	53235 23212	 * 	263.49	DCR|3MLV|3TLV|1VULN	1AEBURN|235TLV|457MLV|5BPWR|6RPLT|8VULN|9RAT|aRCR
10	53235 22151	 * 	262.10	DCR|2VULN|3TLV|2MLV	1AEBURN|235TLV|45MLV|5BPWR|6RPLT|7ERES|8aVULN|9RCR
11	31361 15153	 * 	260.53	ACR|DCR|2VULN|2TLV	1RMIN|29RCR|3RAT|45TLV|6BEXP|7MDPS|8aVULN
12	12116 32661	 * 	259.70	DCR|DCR|1TLV|1MLV|1DMG	1FRZICY|2SPLREG|3DMG|4MLV|5AEFBLL|69RCR|78CGEN|aTLV
13	53323 34213	   	259.22	DCR|DCR|1TLV|1AAC|1CDMG	1AEBURN|2TLV|3CDMG|4AAC|5AART|6RPLT|7RAT|8ERES|9aRCR
14	35132 46121	 * 	259.07	DCR|2VULN|2MLV|1TLV|1DMG	1RMIN|2DMG|3TLV|45MLV|6CGEN|79VULN|8RCR|aBELT
