0	Index      	 *	Score 	Summary	Detail	
1	54363 21113	 * 	291.66	DCR|4VULN|2MLV|3ASPD	169ASPD|2TBNT|3aMLV|489aVULN|569ERES|69aBPWR|7RCR
2	24312 26623	 * 	281.83	DCR|3VULN|2TLV|1MLV|1AAC|1ASPD	1AEBURN|2MLV|346VULN|5AAC|7RCR|8ASPD|9aTLV
3	33255 41232	 * 	280.13	DCR|DCR|2VULN|1TLV	1FEWX|2RCVC|3aVULN|4DUR|5VENICY|69RCR|7TLV|8ERES
4	33345 41232	   	280.13	DCR|DCR|2VULN|1TLV	1FEWX|2RCVC|3DUR|4aVULN|5VENICY|69RCR|7TLV|8ERES
5	21345 14233	 * 	279.76	DCR|DCR|2VULN|1DMG|2CDMG	1AEBURN|2AME|35VULN|49CDMG|6aRCR|7DMG|8LWND
6	21462 52231	 * 	274.11	DCR|DCR|1VULN|1TLV|1MLV	1AEBURN|245AME|3LSRHEA|6MLV|79RCR|8VULN|aTLV
7	33215 41232	   	271.82	DCR|DCR|2VULN|1TLV	1FEWX|2RCVC|3aVULN|4LWND|5VENICY|69RCR|7TLV|8ERES
8	35315 41232	   	271.82	DCR|DCR|2VULN|1TLV	13FEWX|2aVULN|4LWND|5VENICY|69RCR|7TLV|8ERES
9	36215 41232	   	271.82	DCR|DCR|2VULN|1TLV	12FEWX|3aVULN|4LWND|5VENICY|69RCR|7TLV|8ERES
10	33235 41232	   	271.72	DCR|DCR|2VULN|1TLV	1FEWX|2RCVC|3aVULN|4DUST|5VENICY|69RCR|7TLV|8ERES
11	35335 41232	   	271.72	DCR|DCR|2VULN|1TLV	13FEWX|2aVULN|4DUST|5VENICY|69RCR|7TLV|8ERES
12	36235 41232	   	271.72	DCR|DCR|2VULN|1TLV	12FEWX|3aVULN|4DUST|5VENICY|69RCR|7TLV|8ERES
13	65213 41232	   	271.72	DCR|DCR|2VULN|1TLV	1LWND|2aVULN|3DMSP|4LHND|5MSLREG|69RCR|7TLV|8ERES
14	31435 41232	   	271.62	DCR|DCR|2VULN|1TLV	1FEWX|2BEXP|3aVULN|4AEWIND|5VENICY|69RCR|7TLV|8ERES
15	35235 41232	   	271.62	DCR|DCR|2VULN|1TLV	1FEWX|2aVULN|3LEGI|4AEWIND|5VENICY|69RCR|7TLV|8ERES
16	61413 41232	   	271.62	DCR|DCR|2VULN|1TLV	14LWND|2BEXP|3aVULN|5MSLREG|69RCR|7TLV|8ERES
17	65233 41232	   	271.62	DCR|DCR|2VULN|1TLV	1LWND|2aVULN|3DMSP|4DUST|5MSLREG|69RCR|7TLV|8ERES
18	43235 42332	   	271.52	DCR|DCR|2VULN|1TLV	1ERES|2aVULN|3TLV|4DUST|57MULHEA|69RCR|8LHND
19	21345 15123	   	268.24	DCR|DCR|2VULN|2DUR|1CDMG	1AEBURN|2AME|35VULN|4CDMG|6aRCR|78DUR|9ZMB
20	21462 52232	 * 	268.22	DCR|DCR|2VULN|1MLV	1AEBURN|245AME|3LSRHEA|6MLV|79RCR|8aVULN
21	34552 22231	 * 	268.19	DCR|2VULN|2MLV|1TLV|1ASPD|1CDMG	1FEWX|2CGEN|3CDMG|4TLV|58VULN|69MLV|7RCR|aASPD
22	24312 26521	   	267.66	DCR|3VULN|1TLV|1MLV|1AAC|1ASPD	1AEBURN|2MLV|346VULN|5AAC|7RCR|8RPLT|9TLV|aASPD
23	24312 26621	   	267.66	DCR|3VULN|1TLV|1MLV|1AAC|1ASPD	1AEBURN|2MLV|346VULN|5AAC|7RCR|8ASPD|9TLV|aRMIN
24	24312 26622	   	267.56	DCR|3VULN|1TLV|1MLV|1AAC|1ASPD	1AEBURN|2MLV|346VULN|5AAC|7RCR|8ASPD|9TLV|aBEXP
25	51114 32325	 * 	265.19	DCR|2MLV|1VULN|1TLV|1DMG|1AAC|1ASPD	1ASPD|2BLAICY|3AAC|4LHND|5TLV|6VULN|7aMLV|8DMG|9RCR
26	51134 32325	   	265.19	DCR|2MLV|1VULN|1TLV|1DMG|1AAC|1ASPD	1ASPD|2BLAICY|3AAC|4LWND|5TLV|6VULN|7aMLV|8DMG|9RCR
27	24312 26533	   	265.06	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	1AEBURN|2MLV|346VULN|5AAC|7RCR|8RPLT|9CDMG|aTLV
28	33515 13412	 * 	264.40	DCR|3VULN|2TLV|1DMG|1AAC	159FEWX|2RCVC|3AAC|459VULN|59BPWR|6RAT|7DMG|89TLV|aRCR
29	41332 21633	 * 	263.93	ACR|DCR|2VULN|2MLV	1aERES|2MSLFST|39RCR|4aMLV|5RAT|6LSRICY|7aVULN|8RCVC|aBPWR
30	41332 21533	   	263.83	ACR|DCR|2VULN|2MLV	18aERES|2MSLFST|39RCR|4aMLV|5RAT|6LSRICY|7aVULN|aBPWR
31	51144 32323	 * 	262.27	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG|1AAC	1aASPD|2BLAICY|3AAC|4DUR|5TLV|6VULN|7MLV|8DMG|9RCR
32	65413 32232	 * 	261.67	DCR|DCR|3VULN	1LWND|26aVULN|38AEFBLL|4LHND|5MSLREG|79RCR
