0	Index      	 *	Score 	Summary	Detail	
1	26132 43281	 * 	274.44	DCR|DCR|1VULN|1TLV|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9TLV|aVULN
2	22653 24333	   	271.70	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG|1SELL	1AETHUN|2CDMG|3MLV|4TLV|5DUR|6aRCR|7VULN|8SELL|9FEWX
3	26131 43281	   	258.74	DCR|DCR|1VULN|1TLV|1MSLTOX|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5ERES|6MSLTOX|78RCR|9TLV|aVULN
4	22633 52211	 * 	258.19	DCR|DCR|2VULN|1MLV|1CDMG	1AETHUN|2CDMG|3MLV|4LIT|5BBNT|6aRCR|78VULN|9RPLT
5	26132 33281	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6SPLJET|78RCR|9TLV|aVULN
6	23425 15333	 * 	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1AETHUN|2aRCR|3FEWX|4DMG|5LWND|68VULN|7MLV|9TLV
7	22153 24333	   	256.00	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1SELL	1AETHUN|2CDMG|3ERES|4TLV|5DUR|6aRCR|7VULN|8SELL|9FEWX
8	22153 24363	   	256.00	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1SELL	1AETHUN|2CDMG|3ERES|4TLV|5DUR|6aRCR|7VULN|8SELL|9LHND
9	22153 24343	   	255.90	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1SELL	1AETHUN|2CDMG|3ERES|4TLV|5DUR|6aRCR|7VULN|8SELL|9DUST
10	32142 33212	 * 	255.84	DCR|DCR|1VULN|1TLV|1DMG	1SPLREG|2VULN|3BBNT|4ASPD|5DUST|6DMG|78RCR|9RAT|aTLV
11	62142 33212	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1MULHEA|2VULN|3BBNT|4ASPD|5DUST|6DMG|78RCR|9RAT|aTLV
12	25115 52211	 * 	254.90	DCR|DCR|2VULN|1TLV|1SELL	1AETHUN|2TBNT|3TLV|4LIT|5SELL|6aRCR|78VULN|9RPLT
13	23322 15333	   	250.58	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1AAC	1AETHUN|2aRCR|3AAC|4DUR|5FEWX|68VULN|7MLV|9TLV
14	23325 15333	   	250.58	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1AAC	1AETHUN|2aRCR|3AAC|4DUR|5LWND|68VULN|7MLV|9TLV
15	23362 45333	   	250.58	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1AAC	1AETHUN|2aRCR|3AAC|48VULN|5FEWX|6DUR|7MLV|9TLV
16	23323 15333	   	250.48	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1AAC	1AETHUN|2aRCR|3AAC|4DUR|5DUST|68VULN|7MLV|9TLV
17	23332 15333	   	250.48	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1AAC	1AETHUN|2aRCR|3AAC|4LEGI|5DUR|68VULN|7MLV|9TLV
18	23363 45333	   	250.48	ACR|DCR|2VULN|1TLV|1MLV|1DUR|1AAC	1AETHUN|2aRCR|3AAC|48VULN|5DUST|6DUR|7MLV|9TLV
19	32112 33232	 * 	249.00	DCR|DCR|2VULN|1DMG|1AAC	1aSPLREG|2aVULN|3BBNT|4AAC|5DUST|6DMG|78RCR|9aFEWX|aBPWR
20	32112 33252	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	1aSPLREG|2aVULN|3BBNT|4AAC|5DUST|6DMG|78RCR|9aBEXP|aBPWR
21	62112 33232	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	1aMULHEA|2aVULN|3BBNT|4AAC|5DUST|6DMG|78RCR|9aFEWX|aBPWR
22	62112 33252	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	1aMULHEA|2aVULN|3BBNT|4AAC|5DUST|6DMG|78RCR|9aBEXP|aBPWR
23	32112 33212	   	248.90	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1SPLREG|2VULN|3BBNT|4AAC|5DUST|6DMG|78RCR|9RAT|aTLV
24	62112 33212	   	248.90	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1MULHEA|2VULN|3BBNT|4AAC|5DUST|6DMG|78RCR|9RAT|aTLV
25	26132 43246	 * 	248.67	DCR|DCR|2DUR|1DMG|1MSLTOX|1MLV	1AETHUN|2RAT|39DUR|4MBVNT|5MLV|6MSLTOX|78RCR|aDMG
26	26132 43212	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9BOSS|aVULN
27	26132 43251	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9VULN|aLHND
28	26132 43252	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1DUR	1AETHUN|2RAT|3DUR|4MBVNT|5MLV|6MSLTOX|78RCR|9VULN|aRMIN
