0	Index      	 *	Score 	Summary	Detail	
1	13212 66232	 * 	275.11	DCR|DCR|2VULN|1TLV|1DMG	1BEXP|2TLV|37VULN|4DLOT|5DMG|6LSRREG|8aRCR|9DUST
2	13336 51163	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1BEXP|2TLV|3DMG|4VULN|5DUST|6BOSS|7DUR|8aRCR|9LHND
3	43331 51163	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DUST|2TLV|3DMG|4VULN|5BEXP|6BOSS|7DUR|8aRCR|9LHND
4	22213 62553	 * 	257.04	DCR|DCR|1VULN|2MLV|1TLV	1CGEN|2MDPS|35MLV|45ZMB|5BPWR|6VULN|7aRCR|8LIT|9TLV
5	13216 66232	   	255.04	DCR|DCR|2VULN|1TLV	1BEXP|2TLV|37VULN|4DLOT|5ZMB|6LSRREG|8aRCR|9DUST
6	21252 22543	   	251.58	DCR|DCR|2VULN|1MLV	1CGEN|23VULN|4RMIN|5MLV|6MDPS|7aRCR|8LIT|9ASPD
7	21262 22543	   	251.48	DCR|DCR|2VULN|1MLV	1CGEN|23VULN|4AME|5MLV|6MDPS|7aRCR|8LIT|9ASPD
8	31261 22543	   	251.38	DCR|DCR|1VULN|1TLV|1MLV	1AEBURN|2TLV|3MLV|4VULN|5ERES|6MDPS|7aRCR|8LIT|9ASPD
9	21155 22143	 * 	250.80	DCR|DCR|1VULN|2MLV|1DMG	1CGEN|2VULN|3RMIN|4MDPS|59MLV|6DMG|7LIT|8aRCR
10	22221 11443	   	250.80	DCR|DCR|1VULN|2MLV|1DMG	1CGEN|2MDPS|39MLV|4RMIN|5VULN|6aRCR|7LIT|8DMG
11	22221 22143	   	250.80	DCR|DCR|1VULN|2MLV|1DMG	1CGEN|2MDPS|39MLV|4RMIN|5VULN|6DMG|7LIT|8aRCR
12	21116 12553	   	249.20	DCR|DCR|1VULN|1TLV|1DMG	1CGEN|2VULN|3RMIN|4LWND|5DMG|6LHND|7aRCR|8LIT|9TLV
13	21316 12553	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	1CGEN|2VULN|3ERES|4LWND|5DMG|6LHND|7aRCR|8LIT|9TLV
14	21211 34243	   	248.90	DCR|DCR|2VULN|1DMG	1CGEN|23VULN|4DUST|5MBVNT|6LIT|7DMG|8aRCR|9TBNT
15	31561 22163	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1AEBURN|2TLV|3MDPS|4DUST|5VULN|6DMG|7LIT|8aRCR|9LHND
16	33341 31123	   	248.80	DCR|DCR|2VULN|1DMG	1AEBURN|2BOSS|3TBNT|47VULN|59ERES|6DMG|8aRCR
17	33341 31133	   	248.80	DCR|DCR|2VULN|1DMG	1AEBURN|2BOSS|3TBNT|47VULN|5ERES|6DMG|8aRCR|9DUST
18	43261 34243	   	248.80	DCR|DCR|1VULN|1TLV|1DMG	14DUST|2TLV|3VULN|5MBVNT|6LIT|7DMG|8aRCR|9TBNT
