0	Index      	 *	Score 	Summary	Detail	
1	13142 31532	 * 	255.04	DCR|DCR|2VULN|1TLV	1TSLFST|2TLV|3RPLT|4VENFST|5AETHUN|6aRCR|79VULN|8FEWX
2	13141 32232	 * 	252.82	DCR|DCR|2TLV|1VULN|1DUR	1TSLFST|27TLV|3RPLT|4VENFST|5DUST|6aRCR|8DUR|9VULN
3	43141 32632	   	245.09	DCR|DCR|1VULN|1TLV|1MSLTOX	1ERES|2MSLTOX|3RPLT|4VENFST|5DUST|6aRCR|7TLV|8CGEN|9VULN
4	13141 31252	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1TSLFST|2TLV|3RPLT|4VENFST|5DUST|6aRCR|7VULN|8DUR|9RCVC
5	13141 34232	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1TSLFST|2TLV|3RPLT|4VENFST|5DUST|6aRCR|7DMSP|8DUR|9VULN
6	13141 35232	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1TSLFST|2TLV|3RPLT|4VENFST|5DUST|6aRCR|7RCVC|8DUR|9VULN
7	13141 36232	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1TSLFST|2TLV|3RPLT|4VENFST|57DUST|6aRCR|8DUR|9VULN
8	13141 32632	   	239.17	DCR|DCR|2TLV|1VULN	1TSLFST|27TLV|3RPLT|4VENFST|5DUST|6aRCR|8FEWX|9VULN
9	13142 31642	   	239.17	DCR|DCR|2TLV|1VULN	1TSLFST|28TLV|3RPLT|4VENFST|5AETHUN|6aRCR|7VULN|9LWND
10	13142 31132	   	239.07	DCR|DCR|2TLV|1VULN	19TSLFST|29TLV|3RPLT|4VENFST|5AETHUN|6aRCR|7VULN|89DUST|9BPWR
11	61236 22153	 * 	237.45	DCR|DCR|3DUR|1MLV|1CDMG	1RAT|248DUR|3MLV|5CDMG|6DUST|7aRCR|9AME
12	42131 52412	 * 	234.87	ACR|DCR|2VULN|1TLV|1DUR	1ERES|28RCR|3CGEN|4TLV|5DUR|6DUST|79VULN|aRCVC
13	63223 84742	   	234.87	ACR|DCR|2VULN|1TLV|1DUR	1RAT|2MDPS|3DUR|4MBVNT|59RCR|67VULN|8LHND|aTLV
14	42131 52411	   	234.77	ACR|DCR|2VULN|1TLV|1DUR	1aERES|28RCR|3CGEN|4TLV|5DUR|6DUST|79VULN
15	42131 52413	   	234.77	ACR|DCR|2VULN|1TLV|1DUR	1ERES|28RCR|3CGEN|4TLV|5DUR|6DUST|79VULN|aBBNT
16	23313 55623	 * 	233.29	DCR|3VULN|3DMG|1AART	13aLIT|23aDMG|3aBPWR|4AEBURN|5FEWX|67aVULN|8RCR|9AART
17	61236 22235	   	232.94	DCR|DCR|2DUR|1MLV|1CDMG	1RAT|24DUR|3MLV|5CDMG|6DUST|7aRCR|8ASPD|9SPLARM
18	43141 31252	   	232.54	DCR|DCR|1VULN|1MSLTOX|1DUR	1ERES|2MSLTOX|3RPLT|4VENFST|5DUST|6aRCR|7VULN|8DUR|9RCVC
19	43141 34232	   	232.54	DCR|DCR|1VULN|1MSLTOX|1DUR	1ERES|2MSLTOX|3RPLT|4VENFST|5DUST|6aRCR|7DMSP|8DUR|9VULN
20	43141 35232	   	232.54	DCR|DCR|1VULN|1MSLTOX|1DUR	1ERES|2MSLTOX|3RPLT|4VENFST|5DUST|6aRCR|7RCVC|8DUR|9VULN
