0	Index      	 *	Score 	Summary	Detail	
1	61133 15234	 * 	278.46	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1DMG|2DMSP|3TLV|4MLV|5BEXP|6VULN|7DUR|8RAT|9aRCR
2	23161 24613	 * 	271.95	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1LIT|2MLV|37VULN|4LWND|5DUR|6CDMG|8aRCR|9BBNT
3	61111 32344	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2DMSP|3TLV|4BEXP|5RAT|6aRCR|7AME|8VULN|9DUR
4	61161 32314	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1DMG|2DMSP|3TLV|4DUR|5RAT|6aRCR|7AME|8VULN|9AETHUN
5	23114 24613	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG	1LIT|2MLV|37VULN|4LHND|5LWND|6CDMG|8aRCR|9BBNT
6	12342 24613	 * 	255.00	DCR|DCR|2VULN|1TLV|1SELL	1LHND|2LWND|37VULN|4TLV|5BOSS|6SELL|8aRCR|9BBNT
7	63221 15134	 * 	254.24	DCR|DCR|2DMG|1VULN|1DUR	18DMG|24BEXP|3RAT|5LWND|6VULN|7DUR|9aRCR
8	42613 13134	   	254.14	DCR|DCR|2DMG|1VULN|1DUR	12LWND|38DMG|4DUST|5RAT|6VULN|7DUR|9aRCR
9	62212 11134	   	254.14	DCR|DCR|2DMG|1VULN|1DUR	18DMG|2DUR|3RAT|4FEWX|5DMSP|6VULN|7LEGI|9aRCR
10	62633 12134	   	254.14	DCR|DCR|2DMG|1VULN|1DUR	18DMG|2DUR|3LWND|4AEFBLL|5RAT|6VULN|7BEXP|9aRCR
11	62213 11134	   	254.04	DCR|DCR|2DMG|1VULN|1DUR	18DMG|2DUR|3RAT|4FEWX|5AEFRZ|6VULN|7LEGI|9aRCR
12	62232 11134	   	254.04	DCR|DCR|2DMG|1VULN|1DUR	18DMG|2DUR|3RAT|4DUST|5DMSP|6VULN|7LEGI|9aRCR
13	62233 11134	   	253.94	DCR|DCR|2DMG|1VULN|1DUR	18DMG|2DUR|3RAT|4DUST|5AEFRZ|6VULN|7LEGI|9aRCR
14	61233 15234	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1DMG|2DMSP|3AME|4MLV|5BEXP|6VULN|7DUR|8RAT|9aRCR
15	61111 32314	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DMSP|3TLV|4BEXP|5RAT|6aRCR|7AME|8VULN|9AETHUN
16	61141 31214	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DMSP|3TLV|4VULN|5RAT|6aRCR|7DUST|8AME|9AETHUN
17	61141 32114	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DMSP|3TLV|4VULN|5RAT|6aRCR|7AME|8DUST|9AETHUN
